date,STX stock
2016-09-11,12
2016-09-12,18
2016-09-13,34
2016-09-14,24
2016-09-15,7
2016-09-16,11
2016-09-17,0
2016-09-18,8
2016-09-19,10
2016-09-20,27
2016-09-21,21
2016-09-22,17
2016-09-23,0
2016-09-24,16
2016-09-25,0
2016-09-26,10
2016-09-27,13
2016-09-28,7
2016-09-29,31
2016-09-30,21
2016-10-01,4
2016-10-02,8
2016-10-03,13
2016-10-04,10
2016-10-05,13
2016-10-06,7
2016-10-07,7
2016-10-08,4
2016-10-09,0
2016-10-10,7
2016-10-11,24
2016-10-12,10
2016-10-13,14
2016-10-14,25
2016-10-15,4
2016-10-16,0
2016-10-17,10
2016-10-18,10
2016-10-19,20
2016-10-20,7
2016-10-21,10
2016-10-22,8
2016-10-23,4
2016-10-24,20
2016-10-25,17
2016-10-26,10
2016-10-27,27
2016-10-28,7
2016-10-29,4
2016-10-30,0
2016-10-31,10
2016-11-01,21
2016-11-02,10
2016-11-03,10
2016-11-04,10
2016-11-05,4
2016-11-06,0
2016-11-07,20
2016-11-08,16
2016-11-09,30
2016-11-10,20
2016-11-11,10
2016-11-12,8
2016-11-13,0
2016-11-14,13
2016-11-15,27
2016-11-16,16
2016-11-17,30
2016-11-18,20
2016-11-19,11
2016-11-20,0
2016-11-21,39
2016-11-22,20
2016-11-23,20
2016-11-24,7
2016-11-25,3
2016-11-26,0
2016-11-27,4
2016-11-28,9
2016-11-29,16
2016-11-30,19
2016-12-01,13
2016-12-02,10
2016-12-03,0
2016-12-04,3
2016-12-05,6
2016-12-06,15
2016-12-07,10
2016-12-08,13
2016-12-09,13
2016-12-10,4
2016-12-11,7
2016-12-12,9
2016-12-13,25
2016-12-14,16
2016-12-15,16
2016-12-16,14
2016-12-17,0
2016-12-18,0
2016-12-19,10
2016-12-20,30
2016-12-21,27
2016-12-22,10
2016-12-23,7
2016-12-24,4
2016-12-25,0
2016-12-26,14
2016-12-27,7
2016-12-28,10
2016-12-29,7
2016-12-30,4
2016-12-31,8
2017-01-01,4
2017-01-02,10
2017-01-03,13
2017-01-04,13
2017-01-05,16
2017-01-06,17
2017-01-07,4
2017-01-08,7
2017-01-09,19
2017-01-10,16
2017-01-11,22
2017-01-12,19
2017-01-13,19
2017-01-14,4
2017-01-15,4
2017-01-16,6
2017-01-17,9
2017-01-18,16
2017-01-19,9
2017-01-20,23
2017-01-21,4
2017-01-22,3
2017-01-23,15
2017-01-24,34
2017-01-25,100
2017-01-26,37
2017-01-27,39
2017-01-28,15
2017-01-29,7
2017-01-30,34
2017-01-31,22
2017-02-01,36
2017-02-02,34
2017-02-03,22
2017-02-04,25
2017-02-05,7
2017-02-06,36
2017-02-07,15
2017-02-08,27
2017-02-09,22
2017-02-10,13
2017-02-11,14
2017-02-12,10
2017-02-13,30
2017-02-14,21
2017-02-15,34
2017-02-16,6
2017-02-17,18
2017-02-18,4
2017-02-19,4
2017-02-20,3
2017-02-21,34
2017-02-22,18
2017-02-23,25
2017-02-24,3
2017-02-25,7
2017-02-26,3
2017-02-27,6
2017-02-28,18
2017-03-01,26
2017-03-02,12
2017-03-03,19
2017-03-04,7
2017-03-05,0
2017-03-06,32
2017-03-07,29
2017-03-08,15
2017-03-09,24
2017-03-10,13
2017-03-11,4
2017-03-12,3
2017-03-13,28
2017-03-14,15
2017-03-15,9
2017-03-16,6
2017-03-17,13
2017-03-18,0
2017-03-19,0
2017-03-20,9
2017-03-21,18
2017-03-22,9
2017-03-23,6
2017-03-24,13
2017-03-25,4
2017-03-26,7
2017-03-27,21
2017-03-28,6
2017-03-29,25
2017-03-30,22
2017-03-31,23
2017-04-01,7
2017-04-02,0
2017-04-03,6
2017-04-04,27
2017-04-05,18
2017-04-06,15
2017-04-07,29
2017-04-08,4
2017-04-09,7
2017-04-10,28
2017-04-11,12
2017-04-12,37
2017-04-13,26
2017-04-14,14
2017-04-15,14
2017-04-16,4
2017-04-17,10
2017-04-18,18
2017-04-19,12
2017-04-20,18
2017-04-21,13
2017-04-22,7
2017-04-23,3
2017-04-24,21
2017-04-25,46
2017-04-26,90
2017-04-27,64
2017-04-28,32
2017-04-29,11
2017-04-30,11
2017-05-01,16
2017-05-02,36
2017-05-03,15
2017-05-04,15
2017-05-05,13
2017-05-06,7
2017-05-07,0
2017-05-08,15
2017-05-09,9
2017-05-10,18
2017-05-11,16
2017-05-12,19
2017-05-13,4
2017-05-14,7
2017-05-15,19
2017-05-16,29
2017-05-17,26
2017-05-18,16
2017-05-19,24
2017-05-20,0
2017-05-21,11
2017-05-22,6
2017-05-23,13
2017-05-24,23
2017-05-25,14
2017-05-26,18
2017-05-27,4
2017-05-28,0
2017-05-29,0
