date,STX stock
2014-03-16,0
2014-03-17,38
2014-03-18,56
2014-03-19,38
2014-03-20,38
2014-03-21,20
2014-03-22,22
2014-03-23,22
2014-03-24,28
2014-03-25,18
2014-03-26,84
2014-03-27,19
2014-03-28,20
2014-03-29,0
2014-03-30,22
2014-03-31,47
2014-04-01,38
2014-04-02,38
2014-04-03,38
2014-04-04,30
2014-04-05,23
2014-04-06,0
2014-04-07,37
2014-04-08,19
2014-04-09,19
2014-04-10,29
2014-04-11,40
2014-04-12,0
2014-04-13,23
2014-04-14,38
2014-04-15,58
2014-04-16,29
2014-04-17,30
2014-04-18,44
2014-04-19,24
2014-04-20,24
2014-04-21,31
2014-04-22,28
2014-04-23,38
2014-04-24,0
2014-04-25,30
2014-04-26,23
2014-04-27,0
2014-04-28,38
2014-04-29,28
2014-04-30,67
2014-05-01,42
2014-05-02,21
2014-05-03,23
2014-05-04,0
2014-05-05,19
2014-05-06,38
2014-05-07,19
2014-05-08,29
2014-05-09,20
2014-05-10,23
2014-05-11,22
2014-05-12,19
2014-05-13,47
2014-05-14,0
2014-05-15,38
2014-05-16,30
2014-05-17,23
2014-05-18,23
2014-05-19,38
2014-05-20,19
2014-05-21,31
2014-05-22,0
2014-05-23,0
2014-05-24,51
2014-05-25,0
2014-05-26,21
2014-05-27,20
2014-05-28,21
2014-05-29,0
2014-05-30,22
2014-05-31,0
2014-06-01,0
2014-06-02,41
2014-06-03,0
2014-06-04,21
2014-06-05,63
2014-06-06,67
2014-06-07,0
2014-06-08,26
2014-06-09,32
2014-06-10,21
2014-06-11,0
2014-06-12,43
2014-06-13,22
2014-06-14,0
2014-06-15,25
2014-06-16,42
2014-06-17,31
2014-06-18,43
2014-06-19,65
2014-06-20,0
2014-06-21,26
2014-06-22,0
2014-06-23,32
2014-06-24,32
2014-06-25,0
2014-06-26,43
2014-06-27,0
2014-06-28,0
2014-06-29,26
2014-06-30,0
2014-07-01,43
2014-07-02,0
2014-07-03,22
2014-07-04,0
2014-07-05,26
2014-07-06,0
2014-07-07,0
2014-07-08,21
2014-07-09,0
2014-07-10,43
2014-07-11,34
2014-07-12,26
2014-07-13,25
2014-07-14,21
2014-07-15,52
2014-07-16,44
2014-07-17,76
2014-07-18,22
2014-07-19,66
2014-07-20,26
2014-07-21,42
2014-07-22,21
2014-07-23,0
2014-07-24,22
2014-07-25,34
2014-07-26,27
2014-07-27,0
2014-07-28,43
2014-07-29,22
2014-07-30,0
2014-07-31,32
2014-08-01,68
2014-08-02,39
2014-08-03,26
2014-08-04,21
2014-08-05,53
2014-08-06,0
2014-08-07,46
2014-08-08,23
2014-08-09,26
2014-08-10,25
2014-08-11,21
2014-08-12,42
2014-08-13,42
2014-08-14,22
2014-08-15,0
2014-08-16,38
2014-08-17,25
2014-08-18,42
2014-08-19,21
2014-08-20,42
2014-08-21,0
2014-08-22,22
2014-08-23,25
2014-08-24,0
2014-08-25,21
2014-08-26,21
2014-08-27,21
2014-08-28,43
2014-08-29,22
2014-08-30,50
2014-08-31,24
2014-09-01,21
2014-09-02,30
2014-09-03,61
2014-09-04,41
2014-09-05,64
2014-09-06,25
2014-09-07,0
2014-09-08,30
2014-09-09,39
2014-09-10,20
2014-09-11,20
2014-09-12,31
2014-09-13,0
2014-09-14,0
2014-09-15,60
2014-09-16,40
2014-09-17,40
2014-09-18,61
2014-09-19,31
2014-09-20,0
2014-09-21,0
2014-09-22,39
2014-09-23,20
2014-09-24,100
2014-09-25,20
2014-09-26,21
2014-09-27,24
2014-09-28,0
2014-09-29,49
2014-09-30,49
2014-10-01,0
2014-10-02,20
2014-10-03,22
2014-10-04,24
2014-10-05,0
2014-10-06,20
2014-10-07,20
2014-10-08,20
2014-10-09,20
2014-10-10,52
2014-10-11,24
2014-10-12,0
2014-10-13,49
2014-10-14,29
2014-10-15,59
2014-10-16,59
2014-10-17,20
2014-10-18,35
2014-10-19,0
2014-10-20,29
2014-10-21,58
2014-10-22,0
2014-10-23,20
2014-10-24,52
2014-10-25,24
2014-10-26,0
2014-10-27,58
2014-10-28,39
2014-10-29,39
2014-10-30,40
2014-10-31,31
2014-11-01,0
2014-11-02,23
2014-11-03,0
2014-11-04,48
2014-11-05,48
2014-11-06,48
2014-11-07,41
2014-11-08,46
2014-11-09,23
2014-11-10,19
2014-11-11,39
2014-11-12,29
2014-11-13,38
2014-11-14,50
2014-11-15,23
2014-11-16,22
2014-11-17,38
2014-11-18,62
2014-11-19,50
2014-11-20,0
2014-11-21,30
2014-11-22,23
2014-11-23,22
2014-11-24,28
2014-11-25,38
2014-11-26,38
2014-11-27,0
2014-11-28,0
2014-11-29,23
2014-11-30,22
2014-12-01,56
