date,STX stock
2017-01-19,9
2017-01-20,9
2017-01-21,3
2017-01-22,3
2017-01-23,12
2017-01-24,30
2017-01-25,100
2017-01-26,42
2017-01-27,34
2017-01-28,14
2017-01-29,7
2017-01-30,21
2017-01-31,24
2017-02-01,41
2017-02-02,36
2017-02-03,31
2017-02-04,24
2017-02-05,7
2017-02-06,32
2017-02-07,15
2017-02-08,23
2017-02-09,9
2017-02-10,22
2017-02-11,7
2017-02-12,7
2017-02-13,29
2017-02-14,26
2017-02-15,30
2017-02-16,18
2017-02-17,18
2017-02-18,7
2017-02-19,0
2017-02-20,9
2017-02-21,29
2017-02-22,21
2017-02-23,24
2017-02-24,22
2017-02-25,10
2017-02-26,7
2017-02-27,14
2017-02-28,17
2017-03-01,22
2017-03-02,17
2017-03-03,21
2017-03-04,7
2017-03-05,7
2017-03-06,23
2017-03-07,17
2017-03-08,9
2017-03-09,40
2017-03-10,24
2017-03-11,10
2017-03-12,3
2017-03-13,22
2017-03-14,15
2017-03-15,9
2017-03-16,12
2017-03-17,9
2017-03-18,3
2017-03-19,0
2017-03-20,9
2017-03-21,14
2017-03-22,12
2017-03-23,21
2017-03-24,15
2017-03-25,7
2017-03-26,3
2017-03-27,15
2017-03-28,6
2017-03-29,18
2017-03-30,9
2017-03-31,25
2017-04-01,7
2017-04-02,0
2017-04-03,6
2017-04-04,21
2017-04-05,12
2017-04-06,18
2017-04-07,21
2017-04-08,0
2017-04-09,7
2017-04-10,24
2017-04-11,27
2017-04-12,21
2017-04-13,19
2017-04-14,10
2017-04-15,3
2017-04-16,0
2017-04-17,6
2017-04-18,32
2017-04-19,9
2017-04-20,21
2017-04-21,6
2017-04-22,7
2017-04-23,3
2017-04-24,21
2017-04-25,44
2017-04-26,76
2017-04-27,68
2017-04-28,25
2017-04-29,17
2017-04-30,10
2017-05-01,29
2017-05-02,18
2017-05-03,12
2017-05-04,12
2017-05-05,19
2017-05-06,7
2017-05-07,0
2017-05-08,15
2017-05-09,18
2017-05-10,24
2017-05-11,12
2017-05-12,25
2017-05-13,3
2017-05-14,3
2017-05-15,16
2017-05-16,31
2017-05-17,25
2017-05-18,13
2017-05-19,16
2017-05-20,0
2017-05-21,7
2017-05-22,19
2017-05-23,9
2017-05-24,22
2017-05-25,6
2017-05-26,27
2017-05-27,0
2017-05-28,0
2017-05-29,3
2017-05-30,19
2017-05-31,9
2017-06-01,32
2017-06-02,17
2017-06-03,0
2017-06-04,4
2017-06-05,3
2017-06-06,12
2017-06-07,15
2017-06-08,12
2017-06-09,6
2017-06-10,4
2017-06-11,4
2017-06-12,21
2017-06-13,9
2017-06-14,22
2017-06-15,16
2017-06-16,10
2017-06-17,8
2017-06-18,0
2017-06-19,19
2017-06-20,3
2017-06-21,3
2017-06-22,12
2017-06-23,16
2017-06-24,0
2017-06-25,0
2017-06-26,19
2017-06-27,22
2017-06-28,6
2017-06-29,16
2017-06-30,27
2017-07-01,7
2017-07-02,4
2017-07-03,3
2017-07-04,13
2017-07-05,0
2017-07-06,19
2017-07-07,20
2017-07-08,8
2017-07-09,4
2017-07-10,22
2017-07-11,13
2017-07-12,16
2017-07-13,13
2017-07-14,27
2017-07-15,4
2017-07-16,4
2017-07-17,10
2017-07-18,19
2017-07-19,6
2017-07-20,6
2017-07-21,10
2017-07-22,0
2017-07-23,4
2017-07-24,19
2017-07-25,85
2017-07-26,41
2017-07-27,28
2017-07-28,30
2017-07-29,11
2017-07-30,0
2017-07-31,19
2017-08-01,18
2017-08-02,18
2017-08-03,18
2017-08-04,26
2017-08-05,7
2017-08-06,7
2017-08-07,15
2017-08-08,9
2017-08-09,15
2017-08-10,9
2017-08-11,13
2017-08-12,0
2017-08-13,7
2017-08-14,22
2017-08-15,25
2017-08-16,9
2017-08-17,12
2017-08-18,13
2017-08-19,10
2017-08-20,0
2017-08-21,12
2017-08-22,12
2017-08-23,31
2017-08-24,12
2017-08-25,20
2017-08-26,0
2017-08-27,0
2017-08-28,15
2017-08-29,12
2017-08-30,9
2017-08-31,15
2017-09-01,26
2017-09-02,7
2017-09-03,0
2017-09-04,6
2017-09-05,18
2017-09-06,15
2017-09-07,12
2017-09-08,13
2017-09-09,17
2017-09-10,7
2017-09-11,12
2017-09-12,12
2017-09-13,21
2017-09-14,9
2017-09-15,22
2017-09-16,4
2017-09-17,7
2017-09-18,21
2017-09-19,27
2017-09-20,9
2017-09-21,18
2017-09-22,29
2017-09-23,14
2017-09-24,0
2017-09-25,21
2017-09-26,15
2017-09-27,33
2017-09-28,9
2017-09-29,19
2017-09-30,10
2017-10-01,7
2017-10-02,18
2017-10-03,30
2017-10-04,48
2017-10-05,33
2017-10-06,16
