date,STX stock
2015-08-18,0
2015-08-19,5
2015-08-20,25
2015-08-21,11
2015-08-22,12
2015-08-23,12
2015-08-24,15
2015-08-25,25
2015-08-26,5
2015-08-27,10
2015-08-28,16
2015-08-29,12
2015-08-30,6
2015-08-31,0
2015-09-01,19
2015-09-02,15
2015-09-03,5
2015-09-04,15
2015-09-05,0
2015-09-06,0
2015-09-07,15
2015-09-08,5
2015-09-09,5
2015-09-10,15
2015-09-11,0
2015-09-12,0
2015-09-13,6
2015-09-14,5
2015-09-15,5
2015-09-16,5
2015-09-17,0
2015-09-18,5
2015-09-19,0
2015-09-20,6
2015-09-21,24
2015-09-22,10
2015-09-23,10
2015-09-24,35
2015-09-25,5
2015-09-26,17
2015-09-27,0
2015-09-28,23
2015-09-29,9
2015-09-30,24
2015-10-01,5
2015-10-02,30
2015-10-03,11
2015-10-04,0
2015-10-05,14
2015-10-06,5
2015-10-07,19
2015-10-08,0
2015-10-09,10
2015-10-10,0
2015-10-11,6
2015-10-12,20
2015-10-13,14
2015-10-14,9
2015-10-15,19
2015-10-16,15
2015-10-17,0
2015-10-18,0
2015-10-19,23
2015-10-20,23
2015-10-21,24
2015-10-22,38
2015-10-23,15
2015-10-24,0
2015-10-25,5
2015-10-26,9
2015-10-27,5
2015-10-28,19
2015-10-29,14
2015-10-30,20
2015-10-31,6
2015-11-01,6
2015-11-02,5
2015-11-03,14
2015-11-04,5
2015-11-05,0
2015-11-06,0
2015-11-07,5
2015-11-08,5
2015-11-09,14
2015-11-10,5
2015-11-11,0
2015-11-12,14
2015-11-13,5
2015-11-14,5
2015-11-15,0
2015-11-16,14
2015-11-17,14
2015-11-18,14
2015-11-19,0
2015-11-20,5
2015-11-21,5
2015-11-22,5
2015-11-23,5
2015-11-24,5
2015-11-25,5
2015-11-26,5
2015-11-27,5
2015-11-28,0
2015-11-29,5
2015-11-30,5
2015-12-01,5
2015-12-02,9
2015-12-03,19
2015-12-04,10
2015-12-05,0
2015-12-06,11
2015-12-07,9
2015-12-08,5
2015-12-09,9
2015-12-10,14
2015-12-11,15
2015-12-12,0
2015-12-13,5
2015-12-14,9
2015-12-15,19
2015-12-16,5
2015-12-17,20
2015-12-18,5
2015-12-19,12
2015-12-20,6
2015-12-21,0
2015-12-22,5
2015-12-23,5
2015-12-24,18
2015-12-25,0
2015-12-26,0
2015-12-27,0
2015-12-28,5
2015-12-29,15
2015-12-30,11
2015-12-31,0
2016-01-01,6
2016-01-02,0
2016-01-03,11
2016-01-04,5
2016-01-05,20
2016-01-06,5
2016-01-07,5
2016-01-08,16
2016-01-09,6
2016-01-10,6
2016-01-11,25
2016-01-12,5
2016-01-13,10
2016-01-14,15
2016-01-15,10
2016-01-16,12
2016-01-17,0
2016-01-18,5
2016-01-19,20
2016-01-20,15
2016-01-21,5
2016-01-22,0
2016-01-23,0
2016-01-24,6
2016-01-25,10
2016-01-26,10
2016-01-27,15
2016-01-28,10
2016-01-29,31
2016-01-30,34
2016-01-31,6
2016-02-01,45
2016-02-02,20
2016-02-03,10
2016-02-04,15
2016-02-05,31
2016-02-06,0
2016-02-07,0
2016-02-08,10
2016-02-09,10
2016-02-10,20
2016-02-11,15
2016-02-12,15
2016-02-13,0
2016-02-14,0
2016-02-15,10
2016-02-16,20
2016-02-17,15
2016-02-18,10
2016-02-19,15
2016-02-20,6
2016-02-21,5
2016-02-22,14
2016-02-23,10
2016-02-24,15
2016-02-25,25
2016-02-26,25
2016-02-27,17
2016-02-28,5
2016-02-29,24
2016-03-01,5
2016-03-02,14
2016-03-03,24
2016-03-04,30
2016-03-05,11
2016-03-06,0
2016-03-07,14
2016-03-08,19
2016-03-09,5
2016-03-10,35
2016-03-11,5
2016-03-12,11
2016-03-13,5
2016-03-14,10
2016-03-15,29
2016-03-16,29
2016-03-17,10
2016-03-18,5
2016-03-19,0
2016-03-20,6
2016-03-21,15
2016-03-22,25
2016-03-23,5
2016-03-24,5
2016-03-25,6
2016-03-26,6
2016-03-27,6
2016-03-28,10
2016-03-29,0
2016-03-30,15
2016-03-31,25
2016-04-01,10
2016-04-02,6
2016-04-03,6
2016-04-04,29
2016-04-05,24
2016-04-06,19
2016-04-07,0
2016-04-08,21
2016-04-09,11
2016-04-10,6
2016-04-11,24
2016-04-12,5
2016-04-13,15
2016-04-14,100
2016-04-15,52
2016-04-16,12
2016-04-17,11
2016-04-18,29
2016-04-19,39
2016-04-20,29
2016-04-21,25
2016-04-22,21
2016-04-23,0
2016-04-24,0
2016-04-25,5
2016-04-26,34
2016-04-27,34
2016-04-28,25
2016-04-29,77
2016-04-30,17
2016-05-01,12
2016-05-02,55
2016-05-03,20
2016-05-04,40
