date,Shire PLC,isPartial
2014-07-24,5,False
2014-07-25,8,False
2014-07-26,6,False
2014-07-27,6,False
2014-07-28,8,False
2014-07-29,5,False
2014-07-30,10,False
2014-07-31,10,False
2014-08-01,5,False
2014-08-02,6,False
2014-08-03,0,False
2014-08-04,8,False
2014-08-05,5,False
2014-08-06,15,False
2014-08-07,11,False
2014-08-08,8,False
2014-08-09,0,False
2014-08-10,12,False
2014-08-11,0,False
2014-08-12,5,False
2014-08-13,5,False
2014-08-14,5,False
2014-08-15,5,False
2014-08-16,0,False
2014-08-17,0,False
2014-08-18,0,False
2014-08-19,5,False
2014-08-20,0,False
2014-08-21,0,False
2014-08-22,0,False
2014-08-23,6,False
2014-08-24,6,False
2014-08-25,5,False
2014-08-26,5,False
2014-08-27,7,False
2014-08-28,5,False
2014-08-29,5,False
2014-08-30,0,False
2014-08-31,6,False
2014-09-01,0,False
2014-09-02,0,False
2014-09-03,7,False
2014-09-04,5,False
2014-09-05,5,False
2014-09-06,0,False
2014-09-07,0,False
2014-09-08,9,False
2014-09-09,5,False
2014-09-10,5,False
2014-09-11,12,False
2014-09-12,10,False
2014-09-13,0,False
2014-09-14,6,False
2014-09-15,5,False
2014-09-16,7,False
2014-09-17,0,False
2014-09-18,0,False
2014-09-19,5,False
2014-09-20,0,False
2014-09-21,0,False
2014-09-22,5,False
2014-09-23,9,False
2014-09-24,5,False
2014-09-25,7,False
2014-09-26,0,False
2014-09-27,6,False
2014-09-28,6,False
2014-09-29,5,False
2014-09-30,14,False
2014-10-01,0,False
2014-10-02,0,False
2014-10-03,13,False
2014-10-04,6,False
2014-10-05,0,False
2014-10-06,0,False
2014-10-07,14,False
2014-10-08,0,False
2014-10-09,5,False
2014-10-10,10,False
2014-10-11,0,False
2014-10-12,6,False
2014-10-13,14,False
2014-10-14,7,False
2014-10-15,100,False
2014-10-16,38,False
2014-10-17,19,False
2014-10-18,6,False
2014-10-19,6,False
2014-10-20,23,False
2014-10-21,14,False
2014-10-22,14,False
2014-10-23,7,False
2014-10-24,10,False
2014-10-25,6,False
2014-10-26,5,False
2014-10-27,9,False
2014-10-28,5,False
2014-10-29,14,False
2014-10-30,7,False
2014-10-31,5,False
2014-11-01,0,False
2014-11-02,5,False
2014-11-03,7,False
2014-11-04,7,False
2014-11-05,7,False
2014-11-06,9,False
2014-11-07,0,False
2014-11-08,0,False
2014-11-09,5,False
2014-11-10,5,False
2014-11-11,14,False
2014-11-12,9,False
2014-11-13,5,False
2014-11-14,12,False
2014-11-15,0,False
2014-11-16,5,False
2014-11-17,9,False
2014-11-18,10,False
2014-11-19,5,False
2014-11-20,9,False
2014-11-21,5,False
2014-11-22,0,False
2014-11-23,0,False
2014-11-24,4,False
2014-11-25,7,False
2014-11-26,5,False
2014-11-27,0,False
2014-11-28,10,False
2014-11-29,0,False
2014-11-30,5,False
2014-12-01,18,False
2014-12-02,4,False
2014-12-03,5,False
2014-12-04,9,False
2014-12-05,9,False
2014-12-06,0,False
2014-12-07,5,False
2014-12-08,5,False
2014-12-09,9,False
2014-12-10,9,False
2014-12-11,9,False
2014-12-12,7,False
2014-12-13,0,False
2014-12-14,5,False
2014-12-15,9,False
2014-12-16,5,False
2014-12-17,5,False
2014-12-18,10,False
2014-12-19,5,False
2014-12-20,6,False
2014-12-21,6,False
2014-12-22,0,False
2014-12-23,0,False
2014-12-24,6,False
2014-12-25,0,False
2014-12-26,0,False
2014-12-27,0,False
2014-12-28,0,False
2014-12-29,0,False
2014-12-30,5,False
2014-12-31,6,False
2015-01-01,0,False
