date,Shire PLC,isPartial
2016-05-04,16,False
2016-05-05,65,False
2016-05-06,17,False
2016-05-07,19,False
2016-05-08,0,False
2016-05-09,16,False
2016-05-10,31,False
2016-05-11,46,False
2016-05-12,47,False
2016-05-13,16,False
2016-05-14,18,False
2016-05-15,0,False
2016-05-16,0,False
2016-05-17,0,False
2016-05-18,15,False
2016-05-19,0,False
2016-05-20,50,False
2016-05-21,0,False
2016-05-22,0,False
2016-05-23,16,False
2016-05-24,47,False
2016-05-25,31,False
2016-05-26,17,False
2016-05-27,0,False
2016-05-28,0,False
2016-05-29,0,False
2016-05-30,16,False
2016-05-31,0,False
2016-06-01,16,False
2016-06-02,48,False
2016-06-03,50,False
2016-06-04,19,False
2016-06-05,0,False
2016-06-06,31,False
2016-06-07,32,False
2016-06-08,16,False
2016-06-09,16,False
2016-06-10,33,False
2016-06-11,18,False
2016-06-12,18,False
2016-06-13,31,False
2016-06-14,31,False
2016-06-15,0,False
2016-06-16,47,False
2016-06-17,33,False
2016-06-18,0,False
2016-06-19,0,False
2016-06-20,16,False
2016-06-21,0,False
2016-06-22,16,False
2016-06-23,33,False
2016-06-24,0,False
2016-06-25,19,False
2016-06-26,19,False
2016-06-27,32,False
2016-06-28,32,False
2016-06-29,0,False
2016-06-30,82,False
2016-07-01,17,False
2016-07-02,19,False
2016-07-03,0,False
2016-07-04,34,False
2016-07-05,0,False
2016-07-06,17,False
2016-07-07,17,False
2016-07-08,35,False
2016-07-09,0,False
2016-07-10,39,False
2016-07-11,0,False
2016-07-12,0,False
2016-07-13,17,False
2016-07-14,16,False
2016-07-15,0,False
2016-07-16,0,False
2016-07-17,0,False
2016-07-18,0,False
2016-07-19,17,False
2016-07-20,17,False
2016-07-21,17,False
2016-07-22,35,False
2016-07-23,0,False
2016-07-24,20,False
2016-07-25,0,False
2016-07-26,17,False
2016-07-27,17,False
2016-07-28,17,False
2016-07-29,18,False
2016-07-30,0,False
2016-07-31,19,False
2016-08-01,34,False
2016-08-02,100,False
2016-08-03,17,False
2016-08-04,51,False
2016-08-05,0,False
2016-08-06,0,False
2016-08-07,0,False
2016-08-08,0,False
2016-08-09,51,False
2016-08-10,18,False
2016-08-11,0,False
2016-08-12,18,False
2016-08-13,20,False
2016-08-14,0,False
2016-08-15,37,False
2016-08-16,0,False
2016-08-17,18,False
2016-08-18,18,False
2016-08-19,0,False
2016-08-20,20,False
2016-08-21,0,False
2016-08-22,0,False
2016-08-23,53,False
2016-08-24,0,False
2016-08-25,0,False
2016-08-26,0,False
2016-08-27,0,False
2016-08-28,0,False
2016-08-29,16,False
2016-08-30,50,False
2016-08-31,16,False
2016-09-01,33,False
2016-09-02,0,False
2016-09-03,0,False
