date,ISRG stock
2017-05-29,7
2017-05-30,3
2017-05-31,10
2017-06-01,10
2017-06-02,17
2017-06-03,0
2017-06-04,0
2017-06-05,0
2017-06-06,6
2017-06-07,16
2017-06-08,6
2017-06-09,7
2017-06-10,4
2017-06-11,4
2017-06-12,6
2017-06-13,16
2017-06-14,16
2017-06-15,0
2017-06-16,10
2017-06-17,4
2017-06-18,0
2017-06-19,0
2017-06-20,6
2017-06-21,6
2017-06-22,6
2017-06-23,7
2017-06-24,0
2017-06-25,0
2017-06-26,10
2017-06-27,3
2017-06-28,3
2017-06-29,10
2017-06-30,10
2017-07-01,4
2017-07-02,0
2017-07-03,3
2017-07-04,7
2017-07-05,17
2017-07-06,7
2017-07-07,10
2017-07-08,0
2017-07-09,4
2017-07-10,7
2017-07-11,7
2017-07-12,13
2017-07-13,3
2017-07-14,7
2017-07-15,4
2017-07-16,0
2017-07-17,7
2017-07-18,10
2017-07-19,17
2017-07-20,27
2017-07-21,59
2017-07-22,19
2017-07-23,0
2017-07-24,13
2017-07-25,3
2017-07-26,3
2017-07-27,7
2017-07-28,14
2017-07-29,4
2017-07-30,4
2017-07-31,10
2017-08-01,3
2017-08-02,15
2017-08-03,13
2017-08-04,3
2017-08-05,4
2017-08-06,0
2017-08-07,0
2017-08-08,3
2017-08-09,3
2017-08-10,3
2017-08-11,10
2017-08-12,0
2017-08-13,0
2017-08-14,7
2017-08-15,10
2017-08-16,6
2017-08-17,13
2017-08-18,10
2017-08-19,7
2017-08-20,7
2017-08-21,6
2017-08-22,19
2017-08-23,13
2017-08-24,6
2017-08-25,10
2017-08-26,0
2017-08-27,0
2017-08-28,10
2017-08-29,6
2017-08-30,6
2017-08-31,13
2017-09-01,3
2017-09-02,4
2017-09-03,0
2017-09-04,0
2017-09-05,6
2017-09-06,13
2017-09-07,6
2017-09-08,23
2017-09-09,0
2017-09-10,7
2017-09-11,19
2017-09-12,12
2017-09-13,9
2017-09-14,6
2017-09-15,7
2017-09-16,0
2017-09-17,0
2017-09-18,6
2017-09-19,19
2017-09-20,6
2017-09-21,16
2017-09-22,7
2017-09-23,7
2017-09-24,4
2017-09-25,16
2017-09-26,16
2017-09-27,16
2017-09-28,9
2017-09-29,3
2017-09-30,4
2017-10-01,0
2017-10-02,16
2017-10-03,22
2017-10-04,28
2017-10-05,19
2017-10-06,100
2017-10-07,14
2017-10-08,14
2017-10-09,28
2017-10-10,3
2017-10-11,12
2017-10-12,32
2017-10-13,26
2017-10-14,11
2017-10-15,11
2017-10-16,12
2017-10-17,18
2017-10-18,18
2017-10-19,38
2017-10-20,55
2017-10-21,14
2017-10-22,0
2017-10-23,6
2017-10-24,15
2017-10-25,6
2017-10-26,6
2017-10-27,6
2017-10-28,4
2017-10-29,10
2017-10-30,3
2017-10-31,19
2017-11-01,19
2017-11-02,3
2017-11-03,6
2017-11-04,3
2017-11-05,3
2017-11-06,15
2017-11-07,12
2017-11-08,6
2017-11-09,18
2017-11-10,9
2017-11-11,7
2017-11-12,3
2017-11-13,6
2017-11-14,9
2017-11-15,15
2017-11-16,18
2017-11-17,22
2017-11-18,0
2017-11-19,0
2017-11-20,12
2017-11-21,12
2017-11-22,15
2017-11-23,3
2017-11-24,6
2017-11-25,0
2017-11-26,0
2017-11-27,12
2017-11-28,12
2017-11-29,3
2017-11-30,18
2017-12-01,25
2017-12-02,7
2017-12-03,3
2017-12-04,6
2017-12-05,21
2017-12-06,15
2017-12-07,12
2017-12-08,6
2017-12-09,4
2017-12-10,7
2017-12-11,6
2017-12-12,21
2017-12-13,15
2017-12-14,12
2017-12-15,26
2017-12-16,11
2017-12-17,10
2017-12-18,15
2017-12-19,6
2017-12-20,10
2017-12-21,13
2017-12-22,17
2017-12-23,11
2017-12-24,0
2017-12-25,4
2017-12-26,10
2017-12-27,10
2017-12-28,7
2017-12-29,0
2017-12-30,0
2017-12-31,0
2018-01-01,4
2018-01-02,13
2018-01-03,9
2018-01-04,6
2018-01-05,16
2018-01-06,0
2018-01-07,10
2018-01-08,21
2018-01-09,15
2018-01-10,45
2018-01-11,36
2018-01-12,19
2018-01-13,7
2018-01-14,3
2018-01-15,9
2018-01-16,6
2018-01-17,17
2018-01-18,9
2018-01-19,12
2018-01-20,3
2018-01-21,0
2018-01-22,9
2018-01-23,29
2018-01-24,23
2018-01-25,53
2018-01-26,55
2018-01-27,10
2018-01-28,0
2018-01-29,12
2018-01-30,18
2018-01-31,3
2018-02-01,12
2018-02-02,15
2018-02-03,10
2018-02-04,7
2018-02-05,17
2018-02-06,23
2018-02-07,11
2018-02-08,23
2018-02-09,27
2018-02-10,7
2018-02-11,3
2018-02-12,12
2018-02-13,9
