date,ISRG stock
2011-09-18,0
2011-09-19,0
2011-09-20,0
2011-09-21,37
2011-09-22,0
2011-09-23,39
2011-09-24,0
2011-09-25,0
2011-09-26,0
2011-09-27,0
2011-09-28,0
2011-09-29,0
2011-09-30,40
2011-10-01,0
2011-10-02,0
2011-10-03,0
2011-10-04,37
2011-10-05,37
2011-10-06,0
2011-10-07,39
2011-10-08,0
2011-10-09,0
2011-10-10,0
2011-10-11,35
2011-10-12,36
2011-10-13,37
2011-10-14,39
2011-10-15,0
2011-10-16,0
2011-10-17,36
2011-10-18,36
2011-10-19,72
2011-10-20,0
2011-10-21,39
2011-10-22,0
2011-10-23,0
2011-10-24,36
2011-10-25,0
2011-10-26,36
2011-10-27,37
2011-10-28,39
2011-10-29,0
2011-10-30,44
2011-10-31,0
2011-11-01,38
2011-11-02,36
2011-11-03,0
2011-11-04,0
2011-11-05,44
2011-11-06,0
2011-11-07,0
2011-11-08,0
2011-11-09,36
2011-11-10,36
2011-11-11,0
2011-11-12,0
2011-11-13,87
2011-11-14,0
2011-11-15,36
2011-11-16,0
2011-11-17,0
2011-11-18,0
2011-11-19,0
2011-11-20,0
2011-11-21,0
2011-11-22,0
2011-11-23,0
2011-11-24,0
2011-11-25,0
2011-11-26,0
2011-11-27,0
2011-11-28,0
2011-11-29,0
2011-11-30,35
2011-12-01,0
2011-12-02,0
2011-12-03,0
2011-12-04,0
2011-12-05,0
2011-12-06,0
2011-12-07,0
2011-12-08,0
2011-12-09,38
2011-12-10,0
2011-12-11,0
2011-12-12,0
2011-12-13,35
2011-12-14,0
2011-12-15,0
2011-12-16,38
2011-12-17,0
2011-12-18,44
2011-12-19,36
2011-12-20,0
2011-12-21,0
2011-12-22,38
2011-12-23,0
2011-12-24,0
2011-12-25,52
2011-12-26,0
2011-12-27,0
2011-12-28,38
2011-12-29,0
2011-12-30,0
2011-12-31,0
2012-01-01,0
2012-01-02,0
2012-01-03,0
2012-01-04,35
2012-01-05,70
2012-01-06,0
2012-01-07,0
2012-01-08,0
2012-01-09,0
2012-01-10,67
2012-01-11,0
2012-01-12,0
2012-01-13,0
2012-01-14,0
2012-01-15,0
2012-01-16,0
2012-01-17,0
2012-01-18,0
2012-01-19,100
2012-01-20,69
2012-01-21,0
2012-01-22,0
2012-01-23,0
2012-01-24,0
2012-01-25,0
2012-01-26,0
2012-01-27,35
2012-01-28,0
2012-01-29,0
2012-01-30,0
2012-01-31,0
2012-02-01,0
2012-02-02,66
2012-02-03,0
2012-02-04,0
2012-02-05,0
2012-02-06,33
2012-02-07,33
2012-02-08,33
2012-02-09,0
2012-02-10,0
2012-02-11,39
2012-02-12,0
2012-02-13,32
2012-02-14,33
2012-02-15,33
2012-02-16,0
2012-02-17,35
2012-02-18,0
2012-02-19,0
2012-02-20,0
2012-02-21,0
2012-02-22,0
2012-02-23,66
2012-02-24,0
2012-02-25,40
2012-02-26,39
2012-02-27,0
2012-02-28,0
2012-02-29,65
2012-03-01,34
2012-03-02,0
2012-03-03,0
2012-03-04,0
2012-03-05,34
2012-03-06,32
2012-03-07,0
2012-03-08,0
2012-03-09,0
2012-03-10,0
2012-03-11,0
2012-03-12,97
2012-03-13,98
2012-03-14,0
2012-03-15,33
2012-03-16,0
2012-03-17,0
2012-03-18,0
2012-03-19,33
2012-03-20,33
2012-03-21,0
2012-03-22,33
2012-03-23,0
2012-03-24,0
2012-03-25,0
2012-03-26,65
2012-03-27,0
2012-03-28,33
2012-03-29,33
2012-03-30,35
2012-03-31,40
2012-04-01,40
2012-04-02,0
2012-04-03,0
2012-04-04,0
2012-04-05,68
2012-04-06,0
2012-04-07,0
2012-04-08,0
2012-04-09,0
2012-04-10,34
2012-04-11,64
2012-04-12,0
2012-04-13,34
2012-04-14,0
2012-04-15,0
2012-04-16,0
2012-04-17,64
2012-04-18,64
2012-04-19,32
2012-04-20,34
2012-04-21,0
2012-04-22,0
2012-04-23,0
2012-04-24,32
2012-04-25,32
2012-04-26,32
2012-04-27,0
2012-04-28,0
2012-04-29,0
2012-04-30,0
2012-05-01,36
2012-05-02,0
2012-05-03,0
2012-05-04,69
2012-05-05,0
2012-05-06,0
2012-05-07,0
2012-05-08,32
2012-05-09,32
2012-05-10,65
2012-05-11,0
2012-05-12,40
2012-05-13,40
2012-05-14,0
2012-05-15,0
2012-05-16,64
2012-05-17,68
2012-05-18,0
2012-05-19,41
2012-05-20,0
2012-05-21,0
2012-05-22,32
2012-05-23,0
2012-05-24,32
2012-05-25,0
2012-05-26,0
2012-05-27,41
2012-05-28,0
2012-05-29,0
2012-05-30,31
2012-05-31,0
2012-06-01,100
2012-06-02,0
2012-06-03,0
2012-06-04,0
