date,ISRG stock
2015-12-26,0
2015-12-27,0
2015-12-28,13
2015-12-29,26
2015-12-30,0
2015-12-31,44
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,32
2016-01-05,13
2016-01-06,0
2016-01-07,51
2016-01-08,0
2016-01-09,0
2016-01-10,0
2016-01-11,12
2016-01-12,12
2016-01-13,19
2016-01-14,12
2016-01-15,39
2016-01-16,15
2016-01-17,0
2016-01-18,13
2016-01-19,12
2016-01-20,19
2016-01-21,38
2016-01-22,20
2016-01-23,0
2016-01-24,0
2016-01-25,19
2016-01-26,43
2016-01-27,12
2016-01-28,13
2016-01-29,26
2016-01-30,14
2016-01-31,14
2016-02-01,12
2016-02-02,12
2016-02-03,19
2016-02-04,38
2016-02-05,26
2016-02-06,22
2016-02-07,0
2016-02-08,26
2016-02-09,13
2016-02-10,25
2016-02-11,13
2016-02-12,13
2016-02-13,0
2016-02-14,0
2016-02-15,0
2016-02-16,25
2016-02-17,12
2016-02-18,37
2016-02-19,25
2016-02-20,14
2016-02-21,0
2016-02-22,24
2016-02-23,24
2016-02-24,25
2016-02-25,13
2016-02-26,13
2016-02-27,14
2016-02-28,14
2016-02-29,12
2016-03-01,12
2016-03-02,30
2016-03-03,18
2016-03-04,13
2016-03-05,14
2016-03-06,14
2016-03-07,12
2016-03-08,12
2016-03-09,12
2016-03-10,25
2016-03-11,26
2016-03-12,0
2016-03-13,0
2016-03-14,12
2016-03-15,12
2016-03-16,12
2016-03-17,13
2016-03-18,13
2016-03-19,0
2016-03-20,14
2016-03-21,37
2016-03-22,13
2016-03-23,19
2016-03-24,0
2016-03-25,0
2016-03-26,0
2016-03-27,15
2016-03-28,19
2016-03-29,12
2016-03-30,25
2016-03-31,19
2016-04-01,13
2016-04-02,14
2016-04-03,14
2016-04-04,18
2016-04-05,25
2016-04-06,12
2016-04-07,31
2016-04-08,39
2016-04-09,0
2016-04-10,0
2016-04-11,0
2016-04-12,31
2016-04-13,0
2016-04-14,13
2016-04-15,26
2016-04-16,0
2016-04-17,0
2016-04-18,12
2016-04-19,43
2016-04-20,62
2016-04-21,31
2016-04-22,32
2016-04-23,0
2016-04-24,14
2016-04-25,37
2016-04-26,24
2016-04-27,25
2016-04-28,19
2016-04-29,13
2016-04-30,15
2016-05-01,0
2016-05-02,32
2016-05-03,31
2016-05-04,13
2016-05-05,13
2016-05-06,26
2016-05-07,0
2016-05-08,0
2016-05-09,13
2016-05-10,19
2016-05-11,31
2016-05-12,19
2016-05-13,13
2016-05-14,15
2016-05-15,14
2016-05-16,12
2016-05-17,24
2016-05-18,31
2016-05-19,13
2016-05-20,13
2016-05-21,0
2016-05-22,0
2016-05-23,12
2016-05-24,12
2016-05-25,25
2016-05-26,0
2016-05-27,27
2016-05-28,0
2016-05-29,15
2016-05-30,0
2016-05-31,13
2016-06-01,13
2016-06-02,19
2016-06-03,0
2016-06-04,30
2016-06-05,0
2016-06-06,25
2016-06-07,0
2016-06-08,13
2016-06-09,26
2016-06-10,0
2016-06-11,0
2016-06-12,14
2016-06-13,12
2016-06-14,0
2016-06-15,25
2016-06-16,12
2016-06-17,26
2016-06-18,15
2016-06-19,0
2016-06-20,12
2016-06-21,25
2016-06-22,25
2016-06-23,26
2016-06-24,13
2016-06-25,0
2016-06-26,0
2016-06-27,25
2016-06-28,25
2016-06-29,13
2016-06-30,19
2016-07-01,13
2016-07-02,15
2016-07-03,15
2016-07-04,0
2016-07-05,20
2016-07-06,20
2016-07-07,14
2016-07-08,21
2016-07-09,16
2016-07-10,15
2016-07-11,27
2016-07-12,40
2016-07-13,47
2016-07-14,19
2016-07-15,14
2016-07-16,0
2016-07-17,0
2016-07-18,13
2016-07-19,80
2016-07-20,100
2016-07-21,41
2016-07-22,28
2016-07-23,16
2016-07-24,0
2016-07-25,13
2016-07-26,20
2016-07-27,13
2016-07-28,13
2016-07-29,0
2016-07-30,16
2016-07-31,0
2016-08-01,13
2016-08-02,20
2016-08-03,13
2016-08-04,34
2016-08-05,29
2016-08-06,0
2016-08-07,0
2016-08-08,20
2016-08-09,14
2016-08-10,14
2016-08-11,14
2016-08-12,15
2016-08-13,16
2016-08-14,0
2016-08-15,15
2016-08-16,14
2016-08-17,0
2016-08-18,28
2016-08-19,0
2016-08-20,16
2016-08-21,0
2016-08-22,14
2016-08-23,0
2016-08-24,14
2016-08-25,13
2016-08-26,14
2016-08-27,15
2016-08-28,0
2016-08-29,26
2016-08-30,13
2016-08-31,13
2016-09-01,52
2016-09-02,0
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,13
2016-09-07,26
2016-09-08,0
2016-09-09,14
2016-09-10,0
2016-09-11,0
