date,AAPL stock
2010-08-24,25
2010-08-25,3
2010-08-26,34
2010-08-27,32
2010-08-28,11
2010-08-29,7
2010-08-30,11
2010-08-31,8
2010-09-01,16
2010-09-02,17
2010-09-03,17
2010-09-04,7
2010-09-05,4
2010-09-06,3
2010-09-07,13
2010-09-08,24
2010-09-09,30
2010-09-10,20
2010-09-11,7
2010-09-12,10
2010-09-13,19
2010-09-14,29
2010-09-15,19
2010-09-16,25
2010-09-17,29
2010-09-18,7
2010-09-19,3
2010-09-20,22
2010-09-21,21
2010-09-22,30
2010-09-23,34
2010-09-24,17
2010-09-25,10
2010-09-26,0
2010-09-27,41
2010-09-28,13
2010-09-29,18
2010-09-30,34
2010-10-01,17
2010-10-02,7
2010-10-03,7
2010-10-04,15
2010-10-05,29
2010-10-06,19
2010-10-07,33
2010-10-08,11
2010-10-09,7
2010-10-10,7
2010-10-11,19
2010-10-12,29
2010-10-13,57
2010-10-14,21
2010-10-15,30
2010-10-16,3
2010-10-17,3
2010-10-18,43
2010-10-19,53
2010-10-20,38
2010-10-21,31
2010-10-22,46
2010-10-23,7
2010-10-24,13
2010-10-25,18
2010-10-26,38
2010-10-27,28
2010-10-28,28
2010-10-29,30
2010-10-30,3
2010-10-31,7
2010-11-01,21
2010-11-02,20
2010-11-03,17
2010-11-04,30
2010-11-05,22
2010-11-06,16
2010-11-07,12
2010-11-08,17
2010-11-09,35
2010-11-10,38
2010-11-11,26
2010-11-12,29
2010-11-13,6
2010-11-14,3
2010-11-15,25
2010-11-16,32
2010-11-17,40
2010-11-18,46
2010-11-19,35
2010-11-20,13
2010-11-21,6
2010-11-22,27
2010-11-23,27
2010-11-24,22
2010-11-25,3
2010-11-26,8
2010-11-27,3
2010-11-28,0
2010-11-29,24
2010-11-30,14
2010-12-01,20
2010-12-02,30
2010-12-03,24
2010-12-04,9
2010-12-05,9
2010-12-06,22
2010-12-07,17
2010-12-08,10
2010-12-09,23
2010-12-10,21
2010-12-11,3
2010-12-12,6
2010-12-13,22
2010-12-14,30
2010-12-15,41
2010-12-16,29
2010-12-17,16
2010-12-18,16
2010-12-19,0
2010-12-20,13
2010-12-21,18
2010-12-22,16
2010-12-23,20
2010-12-24,7
2010-12-25,0
2010-12-26,10
2010-12-27,11
2010-12-28,33
2010-12-29,19
2010-12-30,23
2010-12-31,13
2011-01-01,7
2011-01-02,3
2011-01-03,33
2011-01-04,32
2011-01-05,30
2011-01-06,28
2011-01-07,23
2011-01-08,12
2011-01-09,12
2011-01-10,38
2011-01-11,38
2011-01-12,43
2011-01-13,14
2011-01-14,27
2011-01-15,3
2011-01-16,3
2011-01-17,91
2011-01-18,100
2011-01-19,71
2011-01-20,49
2011-01-21,32
2011-01-22,20
2011-01-23,9
2011-01-24,29
2011-01-25,16
2011-01-26,16
2011-01-27,28
2011-01-28,37
2011-01-29,3
2011-01-30,3
2011-01-31,27
2011-02-01,25
2011-02-02,38
2011-02-03,16
2011-02-04,31
2011-02-05,11
2011-02-06,8
2011-02-07,18
2011-02-08,9
2011-02-09,27
2011-02-10,33
2011-02-11,32
2011-02-12,6
2011-02-13,8
2011-02-14,25
2011-02-15,27
2011-02-16,27
2011-02-17,39
2011-02-18,24
2011-02-19,11
2011-02-20,0
2011-02-21,16
2011-02-22,47
2011-02-23,54
2011-02-24,41
2011-02-25,26
2011-02-26,3
2011-02-27,5
2011-02-28,27
2011-03-01,20
2011-03-02,32
2011-03-03,42
2011-03-04,29
2011-03-05,6
2011-03-06,11
2011-03-07,35
2011-03-08,30
2011-03-09,25
2011-03-10,9
2011-03-11,37
2011-03-12,14
2011-03-13,8
2011-03-14,38
2011-03-15,27
2011-03-16,38
2011-03-17,27
2011-03-18,34
2011-03-19,3
2011-03-20,8
2011-03-21,36
2011-03-22,14
2011-03-23,39
2011-03-24,30
2011-03-25,17
2011-03-26,6
2011-03-27,6
2011-03-28,16
2011-03-29,25
2011-03-30,14
2011-03-31,23
2011-04-01,12
2011-04-02,9
2011-04-03,0
2011-04-04,22
2011-04-05,16
2011-04-06,32
2011-04-07,28
2011-04-08,31
2011-04-09,6
2011-04-10,12
2011-04-11,53
2011-04-12,29
2011-04-13,16
2011-04-14,35
2011-04-15,15
2011-04-16,3
2011-04-17,3
2011-04-18,27
2011-04-19,16
2011-04-20,60
2011-04-21,50
2011-04-22,24
2011-04-23,12
2011-04-24,9
2011-04-25,37
2011-04-26,7
2011-04-27,36
2011-04-28,25
2011-04-29,24
2011-04-30,6
2011-05-01,6
2011-05-02,27
2011-05-03,22
2011-05-04,25
2011-05-05,18
2011-05-06,17
2011-05-07,12
2011-05-08,3
2011-05-09,20
2011-05-10,16
2011-05-11,11
