date,AAPL stock
2016-09-11,3
2016-09-12,33
2016-09-13,36
2016-09-14,43
2016-09-15,47
2016-09-16,48
2016-09-17,10
2016-09-18,3
2016-09-19,38
2016-09-20,31
2016-09-21,30
2016-09-22,32
2016-09-23,35
2016-09-24,7
2016-09-25,7
2016-09-26,23
2016-09-27,29
2016-09-28,29
2016-09-29,27
2016-09-30,29
2016-10-01,7
2016-10-02,6
2016-10-03,26
2016-10-04,23
2016-10-05,22
2016-10-06,27
2016-10-07,18
2016-10-08,5
2016-10-09,4
2016-10-10,29
2016-10-11,42
2016-10-12,41
2016-10-13,27
2016-10-14,25
2016-10-15,6
2016-10-16,5
2016-10-17,27
2016-10-18,23
2016-10-19,27
2016-10-20,31
2016-10-21,24
2016-10-22,9
2016-10-23,7
2016-10-24,30
2016-10-25,70
2016-10-26,62
2016-10-27,44
2016-10-28,28
2016-10-29,6
2016-10-30,5
2016-10-31,21
2016-11-01,27
2016-11-02,28
2016-11-03,28
2016-11-04,26
2016-11-05,4
2016-11-06,3
2016-11-07,25
2016-11-08,28
2016-11-09,54
2016-11-10,31
2016-11-11,34
2016-11-12,7
2016-11-13,5
2016-11-14,34
2016-11-15,30
2016-11-16,28
2016-11-17,26
2016-11-18,27
2016-11-19,5
2016-11-20,2
2016-11-21,26
2016-11-22,30
2016-11-23,29
2016-11-24,9
2016-11-25,16
2016-11-26,3
2016-11-27,1
2016-11-28,20
2016-11-29,22
2016-11-30,18
2016-12-01,23
2016-12-02,22
2016-12-03,6
2016-12-04,4
2016-12-05,22
2016-12-06,23
2016-12-07,25
2016-12-08,24
2016-12-09,25
2016-12-10,8
2016-12-11,3
2016-12-12,22
2016-12-13,26
2016-12-14,25
2016-12-15,23
2016-12-16,24
2016-12-17,6
2016-12-18,2
2016-12-19,18
2016-12-20,23
2016-12-21,20
2016-12-22,23
2016-12-23,20
2016-12-24,6
2016-12-25,4
2016-12-26,5
2016-12-27,20
2016-12-28,18
2016-12-29,20
2016-12-30,24
2016-12-31,5
2017-01-01,4
2017-01-02,6
2017-01-03,23
2017-01-04,22
2017-01-05,21
2017-01-06,26
2017-01-07,6
2017-01-08,3
2017-01-09,25
2017-01-10,25
2017-01-11,26
2017-01-12,24
2017-01-13,18
2017-01-14,5
2017-01-15,5
2017-01-16,6
2017-01-17,23
2017-01-18,26
2017-01-19,18
2017-01-20,16
2017-01-21,4
2017-01-22,4
2017-01-23,21
2017-01-24,26
2017-01-25,33
2017-01-26,30
2017-01-27,25
2017-01-28,11
2017-01-29,4
2017-01-30,29
2017-01-31,75
2017-02-01,100
2017-02-02,42
2017-02-03,39
2017-02-04,9
2017-02-05,2
2017-02-06,25
2017-02-07,40
2017-02-08,39
2017-02-09,32
2017-02-10,34
2017-02-11,7
2017-02-12,5
2017-02-13,44
2017-02-14,41
2017-02-15,54
2017-02-16,43
2017-02-17,30
2017-02-18,9
2017-02-19,4
2017-02-20,9
2017-02-21,31
2017-02-22,35
2017-02-23,33
2017-02-24,24
2017-02-25,7
2017-02-26,5
2017-02-27,28
2017-02-28,34
2017-03-01,43
2017-03-02,43
2017-03-03,38
2017-03-04,11
2017-03-05,6
2017-03-06,28
2017-03-07,32
2017-03-08,27
2017-03-09,29
2017-03-10,31
2017-03-11,9
2017-03-12,5
2017-03-13,27
2017-03-14,20
2017-03-15,27
2017-03-16,28
2017-03-17,34
2017-03-18,8
2017-03-19,7
2017-03-20,32
2017-03-21,32
2017-03-22,35
2017-03-23,29
2017-03-24,25
2017-03-25,8
2017-03-26,4
2017-03-27,30
2017-03-28,38
2017-03-29,37
2017-03-30,24
2017-03-31,30
2017-04-01,7
2017-04-02,5
2017-04-03,33
2017-04-04,27
2017-04-05,40
2017-04-06,32
2017-04-07,20
2017-04-08,7
2017-04-09,3
2017-04-10,27
2017-04-11,36
2017-04-12,29
2017-04-13,27
2017-04-14,13
2017-04-15,5
2017-04-16,3
2017-04-17,29
2017-04-18,25
2017-04-19,23
2017-04-20,30
2017-04-21,26
2017-04-22,5
2017-04-23,4
2017-04-24,27
2017-04-25,30
2017-04-26,31
2017-04-27,28
2017-04-28,30
2017-04-29,8
2017-04-30,6
2017-05-01,42
2017-05-02,86
2017-05-03,64
2017-05-04,43
2017-05-05,39
2017-05-06,11
2017-05-07,6
2017-05-08,63
2017-05-09,63
2017-05-10,50
2017-05-11,39
2017-05-12,43
2017-05-13,9
2017-05-14,8
2017-05-15,45
2017-05-16,41
2017-05-17,55
2017-05-18,48
2017-05-19,35
2017-05-20,8
2017-05-21,7
2017-05-22,40
2017-05-23,28
2017-05-24,43
2017-05-25,41
2017-05-26,39
2017-05-27,6
2017-05-28,5
2017-05-29,8
