date,AAPL stock
2017-05-29,8
2017-05-30,29
2017-05-31,25
2017-06-01,27
2017-06-02,34
2017-06-03,6
2017-06-04,3
2017-06-05,44
2017-06-06,37
2017-06-07,28
2017-06-08,26
2017-06-09,46
2017-06-10,11
2017-06-11,6
2017-06-12,44
2017-06-13,44
2017-06-14,41
2017-06-15,34
2017-06-16,30
2017-06-17,9
2017-06-18,6
2017-06-19,33
2017-06-20,39
2017-06-21,28
2017-06-22,29
2017-06-23,31
2017-06-24,5
2017-06-25,6
2017-06-26,26
2017-06-27,27
2017-06-28,26
2017-06-29,25
2017-06-30,32
2017-07-01,5
2017-07-02,3
2017-07-03,24
2017-07-04,15
2017-07-05,30
2017-07-06,29
2017-07-07,25
2017-07-08,5
2017-07-09,4
2017-07-10,27
2017-07-11,21
2017-07-12,23
2017-07-13,28
2017-07-14,33
2017-07-15,4
2017-07-16,4
2017-07-17,24
2017-07-18,29
2017-07-19,32
2017-07-20,23
2017-07-21,23
2017-07-22,5
2017-07-23,4
2017-07-24,29
2017-07-25,35
2017-07-26,37
2017-07-27,36
2017-07-28,29
2017-07-29,5
2017-07-30,5
2017-07-31,37
2017-08-01,84
2017-08-02,100
2017-08-03,47
2017-08-04,37
2017-08-05,10
2017-08-06,7
2017-08-07,35
2017-08-08,45
2017-08-09,35
2017-08-10,37
2017-08-11,35
2017-08-12,9
2017-08-13,6
2017-08-14,30
2017-08-15,34
2017-08-16,28
2017-08-17,33
2017-08-18,29
2017-08-19,6
2017-08-20,3
2017-08-21,23
2017-08-22,29
2017-08-23,25
2017-08-24,24
2017-08-25,23
2017-08-26,7
2017-08-27,3
2017-08-28,22
2017-08-29,31
2017-08-30,32
2017-08-31,34
2017-09-01,35
2017-09-02,5
2017-09-03,5
2017-09-04,6
2017-09-05,28
2017-09-06,25
2017-09-07,27
2017-09-08,26
2017-09-09,4
2017-09-10,4
2017-09-11,38
2017-09-12,78
2017-09-13,58
2017-09-14,37
2017-09-15,36
2017-09-16,10
2017-09-17,7
2017-09-18,29
2017-09-19,30
2017-09-20,30
2017-09-21,35
2017-09-22,41
2017-09-23,13
2017-09-24,6
2017-09-25,41
2017-09-26,43
2017-09-27,42
2017-09-28,40
2017-09-29,31
2017-09-30,8
2017-10-01,3
2017-10-02,35
2017-10-03,24
2017-10-04,25
2017-10-05,25
2017-10-06,27
2017-10-07,6
2017-10-08,2
2017-10-09,23
2017-10-10,24
2017-10-11,29
2017-10-12,27
2017-10-13,25
2017-10-14,6
2017-10-15,4
2017-10-16,26
2017-10-17,37
2017-10-18,25
2017-10-19,39
2017-10-20,30
2017-10-21,5
2017-10-22,4
2017-10-23,25
2017-10-24,31
2017-10-25,26
2017-10-26,37
2017-10-27,51
2017-10-28,15
2017-10-29,7
2017-10-30,43
2017-10-31,46
2017-11-01,50
2017-11-02,83
2017-11-03,85
2017-11-04,13
2017-11-05,6
2017-11-06,46
2017-11-07,42
2017-11-08,41
2017-11-09,39
2017-11-10,34
2017-11-11,8
2017-11-12,5
2017-11-13,34
2017-11-14,29
2017-11-15,35
2017-11-16,36
2017-11-17,33
2017-11-18,4
2017-11-19,6
2017-11-20,26
2017-11-21,30
2017-11-22,35
2017-11-23,10
2017-11-24,18
2017-11-25,6
2017-11-26,5
2017-11-27,25
2017-11-28,32
2017-11-29,40
2017-11-30,35
2017-12-01,34
2017-12-02,9
2017-12-03,6
2017-12-04,36
2017-12-05,34
2017-12-06,29
2017-12-07,26
2017-12-08,29
2017-12-09,6
2017-12-10,4
2017-12-11,30
2017-12-12,32
2017-12-13,29
2017-12-14,27
2017-12-15,33
2017-12-16,7
2017-12-17,7
2017-12-18,26
2017-12-19,39
2017-12-20,31
2017-12-21,32
2017-12-22,33
2017-12-23,6
2017-12-24,2
2017-12-25,3
2017-12-26,35
2017-12-27,41
2017-12-28,37
2017-12-29,34
2017-12-30,9
2017-12-31,5
2018-01-01,6
2018-01-02,32
2018-01-03,31
2018-01-04,34
2018-01-05,35
2018-01-06,6
2018-01-07,4
2018-01-08,33
2018-01-09,36
2018-01-10,27
2018-01-11,28
2018-01-12,41
2018-01-13,11
2018-01-14,4
2018-01-15,12
2018-01-16,30
2018-01-17,32
2018-01-18,45
2018-01-19,29
2018-01-20,5
2018-01-21,2
2018-01-22,30
2018-01-23,36
2018-01-24,32
2018-01-25,33
2018-01-26,45
2018-01-27,12
2018-01-28,6
2018-01-29,44
2018-01-30,52
2018-01-31,51
2018-02-01,84
2018-02-02,99
2018-02-03,17
2018-02-04,11
2018-02-05,60
2018-02-06,84
2018-02-07,54
2018-02-08,46
2018-02-09,58
2018-02-10,13
2018-02-11,8
2018-02-12,54
2018-02-13,49
