date,AAPL stock
2017-10-06,23
2017-10-07,4
2017-10-08,3
2017-10-09,23
2017-10-10,23
2017-10-11,27
2017-10-12,22
2017-10-13,29
2017-10-14,5
2017-10-15,3
2017-10-16,30
2017-10-17,33
2017-10-18,27
2017-10-19,38
2017-10-20,34
2017-10-21,7
2017-10-22,4
2017-10-23,26
2017-10-24,28
2017-10-25,25
2017-10-26,32
2017-10-27,44
2017-10-28,10
2017-10-29,7
2017-10-30,45
2017-10-31,48
2017-11-01,46
2017-11-02,89
2017-11-03,96
2017-11-04,9
2017-11-05,7
2017-11-06,46
2017-11-07,40
2017-11-08,41
2017-11-09,40
2017-11-10,31
2017-11-11,7
2017-11-12,6
2017-11-13,27
2017-11-14,24
2017-11-15,33
2017-11-16,36
2017-11-17,34
2017-11-18,7
2017-11-19,4
2017-11-20,26
2017-11-21,30
2017-11-22,34
2017-11-23,11
2017-11-24,22
2017-11-25,8
2017-11-26,3
2017-11-27,26
2017-11-28,33
2017-11-29,38
2017-11-30,39
2017-12-01,35
2017-12-02,8
2017-12-03,5
2017-12-04,38
2017-12-05,34
2017-12-06,29
2017-12-07,30
2017-12-08,30
2017-12-09,7
2017-12-10,3
2017-12-11,29
2017-12-12,33
2017-12-13,28
2017-12-14,30
2017-12-15,26
2017-12-16,9
2017-12-17,3
2017-12-18,31
2017-12-19,36
2017-12-20,24
2017-12-21,31
2017-12-22,31
2017-12-23,7
2017-12-24,5
2017-12-25,6
2017-12-26,34
2017-12-27,36
2017-12-28,31
2017-12-29,31
2017-12-30,8
2017-12-31,7
2018-01-01,6
2018-01-02,27
2018-01-03,34
2018-01-04,32
2018-01-05,33
2018-01-06,7
2018-01-07,7
2018-01-08,33
2018-01-09,26
2018-01-10,31
2018-01-11,28
2018-01-12,35
2018-01-13,9
2018-01-14,3
2018-01-15,14
2018-01-16,31
2018-01-17,42
2018-01-18,40
2018-01-19,33
2018-01-20,9
2018-01-21,2
2018-01-22,22
2018-01-23,40
2018-01-24,37
2018-01-25,43
2018-01-26,43
2018-01-27,12
2018-01-28,7
2018-01-29,51
2018-01-30,50
2018-01-31,56
2018-02-01,89
2018-02-02,100
2018-02-03,18
2018-02-04,7
2018-02-05,65
2018-02-06,80
2018-02-07,51
2018-02-08,57
2018-02-09,55
2018-02-10,10
2018-02-11,6
2018-02-12,49
2018-02-13,44
2018-02-14,47
2018-02-15,60
2018-02-16,47
2018-02-17,9
2018-02-18,6
2018-02-19,14
2018-02-20,43
2018-02-21,37
2018-02-22,36
2018-02-23,39
2018-02-24,8
2018-02-25,4
2018-02-26,44
2018-02-27,42
2018-02-28,42
2018-03-01,40
2018-03-02,41
2018-03-03,4
2018-03-04,4
2018-03-05,37
2018-03-06,40
2018-03-07,34
2018-03-08,32
2018-03-09,40
2018-03-10,8
2018-03-11,6
2018-03-12,39
2018-03-13,37
2018-03-14,28
2018-03-15,28
2018-03-16,25
2018-03-17,9
2018-03-18,4
2018-03-19,32
2018-03-20,34
2018-03-21,34
2018-03-22,39
2018-03-23,32
2018-03-24,12
2018-03-25,4
2018-03-26,44
2018-03-27,48
2018-03-28,43
2018-03-29,36
2018-03-30,17
2018-03-31,2
2018-04-01,4
2018-04-02,38
2018-04-03,44
2018-04-04,41
2018-04-05,33
2018-04-06,35
2018-04-07,8
2018-04-08,6
