date,GOOGL stock
2015-12-26,2
2015-12-27,2
2015-12-28,18
2015-12-29,18
2015-12-30,20
2015-12-31,22
2016-01-01,0
2016-01-02,5
2016-01-03,2
2016-01-04,25
2016-01-05,12
2016-01-06,19
2016-01-07,12
2016-01-08,22
2016-01-09,15
2016-01-10,6
2016-01-11,19
2016-01-12,19
2016-01-13,10
2016-01-14,17
2016-01-15,24
2016-01-16,9
2016-01-17,6
2016-01-18,8
2016-01-19,9
2016-01-20,30
2016-01-21,31
2016-01-22,18
2016-01-23,9
2016-01-24,6
2016-01-25,13
2016-01-26,17
2016-01-27,21
2016-01-28,40
2016-01-29,32
2016-01-30,15
2016-01-31,8
2016-02-01,74
2016-02-02,79
2016-02-03,72
2016-02-04,36
2016-02-05,45
2016-02-06,4
2016-02-07,15
2016-02-08,38
2016-02-09,31
2016-02-10,34
2016-02-11,27
2016-02-12,35
2016-02-13,2
2016-02-14,4
2016-02-15,2
2016-02-16,15
2016-02-17,20
2016-02-18,21
2016-02-19,21
2016-02-20,2
2016-02-21,4
2016-02-22,20
2016-02-23,11
2016-02-24,30
2016-02-25,21
2016-02-26,18
2016-02-27,2
2016-02-28,4
2016-02-29,18
2016-03-01,24
2016-03-02,18
2016-03-03,17
2016-03-04,12
2016-03-05,11
2016-03-06,6
2016-03-07,11
2016-03-08,30
2016-03-09,15
2016-03-10,17
2016-03-11,23
2016-03-12,4
2016-03-13,4
2016-03-14,15
2016-03-15,24
2016-03-16,11
2016-03-17,25
2016-03-18,20
2016-03-19,2
2016-03-20,2
2016-03-21,17
2016-03-22,23
2016-03-23,17
2016-03-24,4
2016-03-25,13
2016-03-26,7
2016-03-27,7
2016-03-28,16
2016-03-29,15
2016-03-30,15
2016-03-31,23
2016-04-01,12
2016-04-02,2
2016-04-03,0
2016-04-04,15
2016-04-05,7
2016-04-06,13
2016-04-07,17
2016-04-08,20
2016-04-09,0
2016-04-10,2
2016-04-11,11
2016-04-12,15
2016-04-13,17
2016-04-14,25
2016-04-15,10
2016-04-16,2
2016-04-17,2
2016-04-18,24
2016-04-19,19
2016-04-20,28
2016-04-21,46
2016-04-22,71
2016-04-23,4
2016-04-24,6
2016-04-25,30
2016-04-26,28
2016-04-27,41
2016-04-28,44
2016-04-29,30
2016-04-30,2
2016-05-01,4
2016-05-02,19
2016-05-03,19
2016-05-04,23
2016-05-05,24
2016-05-06,32
2016-05-07,4
2016-05-08,2
2016-05-09,17
2016-05-10,26
2016-05-11,32
2016-05-12,15
2016-05-13,19
2016-05-14,4
2016-05-15,13
2016-05-16,19
2016-05-17,17
2016-05-18,20
2016-05-19,25
2016-05-20,14
2016-05-21,4
2016-05-22,7
2016-05-23,15
2016-05-24,19
2016-05-25,37
2016-05-26,10
2016-05-27,28
2016-05-28,4
2016-05-29,7
2016-05-30,4
2016-05-31,17
2016-06-01,23
2016-06-02,19
2016-06-03,22
2016-06-04,2
2016-06-05,0
2016-06-06,6
2016-06-07,25
2016-06-08,13
2016-06-09,15
2016-06-10,12
2016-06-11,11
2016-06-12,0
2016-06-13,11
2016-06-14,17
2016-06-15,9
2016-06-16,17
2016-06-17,32
2016-06-18,11
2016-06-19,7
2016-06-20,28
2016-06-21,17
2016-06-22,9
2016-06-23,22
2016-06-24,59
2016-06-25,11
2016-06-26,11
2016-06-27,29
2016-06-28,27
2016-06-29,23
2016-06-30,24
2016-07-01,14
2016-07-02,9
2016-07-03,2
2016-07-04,12
2016-07-05,20
2016-07-06,16
2016-07-07,25
2016-07-08,23
2016-07-09,5
2016-07-10,7
2016-07-11,22
2016-07-12,36
2016-07-13,14
2016-07-14,27
2016-07-15,19
2016-07-16,5
2016-07-17,5
2016-07-18,38
2016-07-19,26
2016-07-20,39
2016-07-21,12
2016-07-22,21
2016-07-23,2
2016-07-24,0
2016-07-25,18
2016-07-26,28
2016-07-27,40
2016-07-28,100
2016-07-29,91
2016-07-30,16
2016-07-31,7
2016-08-01,26
2016-08-02,32
2016-08-03,26
2016-08-04,31
2016-08-05,24
2016-08-06,0
2016-08-07,7
2016-08-08,23
2016-08-09,12
2016-08-10,15
2016-08-11,11
2016-08-12,11
2016-08-13,5
2016-08-14,5
2016-08-15,13
2016-08-16,25
2016-08-17,17
2016-08-18,15
2016-08-19,9
2016-08-20,5
2016-08-21,2
2016-08-22,8
2016-08-23,10
2016-08-24,12
2016-08-25,18
2016-08-26,8
2016-08-27,5
2016-08-28,0
2016-08-29,12
2016-08-30,12
2016-08-31,8
2016-09-01,4
2016-09-02,6
2016-09-03,5
2016-09-04,9
2016-09-05,6
2016-09-06,13
2016-09-07,14
2016-09-08,20
2016-09-09,10
2016-09-10,5
2016-09-11,0
