date,GOOGL stock
2018-02-13,68
2018-02-14,80
2018-02-15,55
2018-02-16,94
2018-02-17,25
2018-02-18,6
2018-02-19,14
2018-02-20,54
2018-02-21,61
2018-02-22,57
2018-02-23,70
2018-02-24,19
2018-02-25,9
2018-02-26,67
2018-02-27,92
2018-02-28,77
2018-03-01,50
2018-03-02,83
2018-03-03,28
2018-03-04,12
2018-03-05,57
2018-03-06,67
2018-03-07,46
2018-03-08,60
2018-03-09,65
2018-03-10,27
2018-03-11,28
2018-03-12,53
2018-03-13,67
2018-03-14,40
2018-03-15,53
2018-03-16,50
2018-03-17,9
2018-03-18,9
2018-03-19,77
2018-03-20,78
2018-03-21,83
2018-03-22,100
2018-03-23,67
2018-03-24,19
2018-03-25,12
2018-03-26,65
2018-03-27,88
2018-03-28,87
2018-03-29,98
2018-03-30,15
2018-03-31,10
2018-04-01,13
2018-04-02,83
2018-04-03,94
2018-04-04,94
2018-04-05,77
2018-04-06,74
2018-04-07,12
2018-04-08,9
2018-04-09,64
