date,GOOGL stock
2016-09-11,0
2016-09-12,16
2016-09-13,12
2016-09-14,12
2016-09-15,20
2016-09-16,12
2016-09-17,7
2016-09-18,2
2016-09-19,13
2016-09-20,15
2016-09-21,24
2016-09-22,18
2016-09-23,17
2016-09-24,2
2016-09-25,2
2016-09-26,18
2016-09-27,13
2016-09-28,14
2016-09-29,10
2016-09-30,14
2016-10-01,7
2016-10-02,2
2016-10-03,19
2016-10-04,25
2016-10-05,31
2016-10-06,24
2016-10-07,16
2016-10-08,0
2016-10-09,4
2016-10-10,23
2016-10-11,21
2016-10-12,10
2016-10-13,12
2016-10-14,22
2016-10-15,4
2016-10-16,4
2016-10-17,21
2016-10-18,25
2016-10-19,15
2016-10-20,17
2016-10-21,24
2016-10-22,9
2016-10-23,7
2016-10-24,15
2016-10-25,29
2016-10-26,39
2016-10-27,53
2016-10-28,48
2016-10-29,0
2016-10-30,4
2016-10-31,18
2016-11-01,38
2016-11-02,29
2016-11-03,34
2016-11-04,18
2016-11-05,0
2016-11-06,11
2016-11-07,22
2016-11-08,17
2016-11-09,50
2016-11-10,47
2016-11-11,44
2016-11-12,9
2016-11-13,9
2016-11-14,55
2016-11-15,31
2016-11-16,30
2016-11-17,31
2016-11-18,29
2016-11-19,2
2016-11-20,2
2016-11-21,17
2016-11-22,38
2016-11-23,21
2016-11-24,6
2016-11-25,14
2016-11-26,4
2016-11-27,4
2016-11-28,23
2016-11-29,27
2016-11-30,22
2016-12-01,22
2016-12-02,21
2016-12-03,8
2016-12-04,6
2016-12-05,15
2016-12-06,21
2016-12-07,28
2016-12-08,26
2016-12-09,29
2016-12-10,4
2016-12-11,8
2016-12-12,31
2016-12-13,25
2016-12-14,26
2016-12-15,19
2016-12-16,27
2016-12-17,7
2016-12-18,6
2016-12-19,10
2016-12-20,14
2016-12-21,18
2016-12-22,26
2016-12-23,15
2016-12-24,5
2016-12-25,2
2016-12-26,10
2016-12-27,16
2016-12-28,12
2016-12-29,16
2016-12-30,19
2016-12-31,9
2017-01-01,2
2017-01-02,0
2017-01-03,19
2017-01-04,17
2017-01-05,23
2017-01-06,39
2017-01-07,4
2017-01-08,8
2017-01-09,18
2017-01-10,29
2017-01-11,13
2017-01-12,23
2017-01-13,17
2017-01-14,6
2017-01-15,10
2017-01-16,2
2017-01-17,16
2017-01-18,16
2017-01-19,18
2017-01-20,17
2017-01-21,4
2017-01-22,8
2017-01-23,21
2017-01-24,46
2017-01-25,39
2017-01-26,71
2017-01-27,67
2017-01-28,10
2017-01-29,2
2017-01-30,30
2017-01-31,32
2017-02-01,56
2017-02-02,47
2017-02-03,40
2017-02-04,4
2017-02-05,8
2017-02-06,22
2017-02-07,44
2017-02-08,28
2017-02-09,28
2017-02-10,28
2017-02-11,6
2017-02-12,8
2017-02-13,16
2017-02-14,40
2017-02-15,20
2017-02-16,16
2017-02-17,14
2017-02-18,18
2017-02-19,10
2017-02-20,18
2017-02-21,18
2017-02-22,23
2017-02-23,23
2017-02-24,20
2017-02-25,10
2017-02-26,4
2017-02-27,24
2017-02-28,33
2017-03-01,27
2017-03-02,27
2017-03-03,27
2017-03-04,12
2017-03-05,4
2017-03-06,18
2017-03-07,20
2017-03-08,22
2017-03-09,15
2017-03-10,24
2017-03-11,0
2017-03-12,4
2017-03-13,23
2017-03-14,17
2017-03-15,26
2017-03-16,27
2017-03-17,18
2017-03-18,6
2017-03-19,8
2017-03-20,26
2017-03-21,19
2017-03-22,33
2017-03-23,34
2017-03-24,20
2017-03-25,10
2017-03-26,12
2017-03-27,33
2017-03-28,19
2017-03-29,25
2017-03-30,20
2017-03-31,17
2017-04-01,8
2017-04-02,2
2017-04-03,28
2017-04-04,28
2017-04-05,22
2017-04-06,16
2017-04-07,29
2017-04-08,8
2017-04-09,2
2017-04-10,9
2017-04-11,29
2017-04-12,20
2017-04-13,11
2017-04-14,8
2017-04-15,4
2017-04-16,6
2017-04-17,26
2017-04-18,33
2017-04-19,21
2017-04-20,21
2017-04-21,31
2017-04-22,4
2017-04-23,10
2017-04-24,23
2017-04-25,47
2017-04-26,28
2017-04-27,81
2017-04-28,100
2017-04-29,14
2017-04-30,6
2017-05-01,53
2017-05-02,45
2017-05-03,30
2017-05-04,34
2017-05-05,27
2017-05-06,12
2017-05-07,10
2017-05-08,30
2017-05-09,40
2017-05-10,23
2017-05-11,25
2017-05-12,29
2017-05-13,12
2017-05-14,19
2017-05-15,18
2017-05-16,26
2017-05-17,30
2017-05-18,34
2017-05-19,27
2017-05-20,4
2017-05-21,6
2017-05-22,19
2017-05-23,29
2017-05-24,45
2017-05-25,47
2017-05-26,63
2017-05-27,9
2017-05-28,7
2017-05-29,10
