date,GOOGL stock
2015-04-10,18
2015-04-11,0
2015-04-12,3
2015-04-13,8
2015-04-14,11
2015-04-15,16
2015-04-16,19
2015-04-17,20
2015-04-18,7
2015-04-19,0
2015-04-20,8
2015-04-21,3
2015-04-22,14
2015-04-23,22
2015-04-24,17
2015-04-25,22
2015-04-26,3
2015-04-27,13
2015-04-28,22
2015-04-29,13
2015-04-30,20
2015-05-01,6
2015-05-02,6
2015-05-03,3
2015-05-04,5
2015-05-05,3
2015-05-06,8
2015-05-07,17
2015-05-08,14
2015-05-09,3
2015-05-10,0
2015-05-11,11
2015-05-12,8
2015-05-13,14
2015-05-14,11
2015-05-15,17
2015-05-16,0
2015-05-17,3
2015-05-18,5
2015-05-19,8
2015-05-20,8
2015-05-21,6
2015-05-22,12
2015-05-23,3
2015-05-24,7
2015-05-25,3
2015-05-26,8
2015-05-27,13
2015-05-28,0
2015-05-29,3
2015-05-30,7
2015-05-31,3
2015-06-01,19
2015-06-02,8
2015-06-03,14
2015-06-04,11
2015-06-05,3
2015-06-06,0
2015-06-07,3
2015-06-08,8
2015-06-09,3
2015-06-10,8
2015-06-11,3
2015-06-12,6
2015-06-13,7
2015-06-14,0
2015-06-15,3
2015-06-16,16
2015-06-17,5
2015-06-18,6
2015-06-19,14
2015-06-20,0
2015-06-21,0
2015-06-22,14
2015-06-23,5
2015-06-24,11
2015-06-25,11
2015-06-26,6
2015-06-27,3
2015-06-28,0
2015-06-29,8
2015-06-30,11
2015-07-01,8
2015-07-02,8
2015-07-03,0
2015-07-04,3
2015-07-05,0
2015-07-06,5
2015-07-07,8
2015-07-08,5
2015-07-09,14
2015-07-10,17
2015-07-11,0
2015-07-12,0
2015-07-13,0
2015-07-14,11
2015-07-15,8
2015-07-16,59
2015-07-17,85
2015-07-18,28
2015-07-19,14
2015-07-20,52
2015-07-21,33
2015-07-22,28
2015-07-23,41
2015-07-24,14
2015-07-25,16
2015-07-26,10
2015-07-27,30
2015-07-28,11
2015-07-29,19
2015-07-30,5
2015-07-31,9
2015-08-01,10
2015-08-02,0
2015-08-03,3
2015-08-04,8
2015-08-05,25
2015-08-06,8
2015-08-07,6
2015-08-08,10
2015-08-09,0
2015-08-10,57
2015-08-11,100
2015-08-12,57
2015-08-13,31
2015-08-14,23
2015-08-15,13
2015-08-16,3
2015-08-17,5
2015-08-18,22
2015-08-19,11
2015-08-20,38
2015-08-21,31
2015-08-22,10
2015-08-23,3
2015-08-24,47
2015-08-25,34
2015-08-26,45
2015-08-27,40
2015-08-28,28
2015-08-29,0
2015-08-30,6
2015-08-31,16
2015-09-01,21
2015-09-02,11
2015-09-03,21
2015-09-04,19
2015-09-05,0
2015-09-06,0
2015-09-07,6
2015-09-08,23
2015-09-09,31
2015-09-10,5
2015-09-11,11
2015-09-12,12
2015-09-13,6
2015-09-14,13
2015-09-15,21
2015-09-16,21
2015-09-17,18
2015-09-18,8
2015-09-19,0
2015-09-20,3
2015-09-21,8
2015-09-22,0
2015-09-23,16
2015-09-24,13
2015-09-25,8
2015-09-26,0
2015-09-27,6
2015-09-28,13
2015-09-29,13
2015-09-30,28
2015-10-01,26
2015-10-02,11
2015-10-03,6
2015-10-04,12
2015-10-05,20
2015-10-06,28
2015-10-07,21
2015-10-08,13
2015-10-09,19
2015-10-10,12
2015-10-11,3
2015-10-12,24
2015-10-13,28
2015-10-14,23
2015-10-15,39
2015-10-16,21
2015-10-17,6
2015-10-18,3
2015-10-19,33
2015-10-20,37
2015-10-21,23
2015-10-22,49
2015-10-23,94
2015-10-24,33
2015-10-25,9
2015-10-26,27
2015-10-27,13
2015-10-28,35
2015-10-29,23
2015-10-30,24
2015-10-31,18
2015-11-01,3
2015-11-02,18
2015-11-03,20
2015-11-04,17
2015-11-05,13
2015-11-06,27
2015-11-07,3
2015-11-08,3
2015-11-09,20
2015-11-10,10
2015-11-11,8
2015-11-12,26
2015-11-13,21
2015-11-14,15
2015-11-15,0
2015-11-16,15
2015-11-17,13
2015-11-18,5
2015-11-19,23
2015-11-20,18
2015-11-21,15
2015-11-22,6
2015-11-23,20
2015-11-24,25
2015-11-25,5
2015-11-26,0
2015-11-27,11
2015-11-28,6
2015-11-29,9
2015-11-30,10
2015-12-01,25
2015-12-02,18
2015-12-03,13
2015-12-04,21
2015-12-05,3
2015-12-06,6
2015-12-07,17
2015-12-08,15
2015-12-09,20
2015-12-10,13
2015-12-11,13
2015-12-12,3
2015-12-13,0
2015-12-14,15
2015-12-15,5
2015-12-16,18
2015-12-17,21
2015-12-18,14
2015-12-19,0
2015-12-20,6
2015-12-21,5
2015-12-22,25
2015-12-23,17
2015-12-24,23
2015-12-25,0
2015-12-26,6
