date,Illumina,isPartial
2014-03-16,53,False
2014-03-17,73,False
2014-03-18,91,False
2014-03-19,57,False
2014-03-20,56,False
2014-03-21,78,False
2014-03-22,39,False
2014-03-23,30,False
2014-03-24,86,False
2014-03-25,66,False
2014-03-26,77,False
2014-03-27,74,False
2014-03-28,68,False
2014-03-29,49,False
2014-03-30,40,False
2014-03-31,59,False
2014-04-01,77,False
2014-04-02,82,False
2014-04-03,81,False
2014-04-04,67,False
2014-04-05,33,False
2014-04-06,39,False
2014-04-07,70,False
2014-04-08,56,False
2014-04-09,61,False
2014-04-10,61,False
2014-04-11,80,False
2014-04-12,43,False
2014-04-13,36,False
2014-04-14,56,False
2014-04-15,68,False
2014-04-16,63,False
2014-04-17,74,False
2014-04-18,52,False
2014-04-19,48,False
2014-04-20,40,False
2014-04-21,39,False
2014-04-22,60,False
2014-04-23,70,False
2014-04-24,90,False
2014-04-25,58,False
2014-04-26,46,False
2014-04-27,67,False
2014-04-28,67,False
2014-04-29,70,False
2014-04-30,62,False
2014-05-01,58,False
2014-05-02,66,False
2014-05-03,41,False
2014-05-04,48,False
2014-05-05,63,False
2014-05-06,65,False
2014-05-07,69,False
2014-05-08,74,False
2014-05-09,55,False
2014-05-10,37,False
2014-05-11,40,False
2014-05-12,61,False
2014-05-13,74,False
2014-05-14,63,False
2014-05-15,65,False
2014-05-16,60,False
2014-05-17,50,False
2014-05-18,38,False
2014-05-19,55,False
2014-05-20,56,False
2014-05-21,67,False
2014-05-22,58,False
2014-05-23,41,False
2014-05-24,38,False
2014-05-25,36,False
2014-05-26,54,False
2014-05-27,98,False
2014-05-28,70,False
2014-05-29,60,False
2014-05-30,37,False
2014-05-31,34,False
2014-06-01,28,False
2014-06-02,52,False
2014-06-03,86,False
2014-06-04,57,False
2014-06-05,66,False
2014-06-06,70,False
2014-06-07,27,False
2014-06-08,33,False
2014-06-09,45,False
2014-06-10,78,False
2014-06-11,59,False
2014-06-12,57,False
2014-06-13,48,False
2014-06-14,28,False
2014-06-15,34,False
2014-06-16,66,False
2014-06-17,49,False
2014-06-18,58,False
2014-06-19,75,False
2014-06-20,44,False
2014-06-21,45,False
2014-06-22,43,False
2014-06-23,65,False
2014-06-24,53,False
2014-06-25,70,False
2014-06-26,69,False
2014-06-27,62,False
2014-06-28,25,False
2014-06-29,24,False
2014-06-30,73,False
2014-07-01,69,False
2014-07-02,58,False
2014-07-03,59,False
2014-07-04,46,False
2014-07-05,23,False
2014-07-06,29,False
2014-07-07,51,False
2014-07-08,64,False
2014-07-09,80,False
2014-07-10,51,False
2014-07-11,72,False
2014-07-12,50,False
2014-07-13,42,False
2014-07-14,63,False
2014-07-15,88,False
2014-07-16,77,False
2014-07-17,68,False
2014-07-18,47,False
2014-07-19,31,False
2014-07-20,41,False
2014-07-21,55,False
2014-07-22,91,False
2014-07-23,74,False
2014-07-24,49,False
2014-07-25,52,False
2014-07-26,41,False
2014-07-27,39,False
2014-07-28,59,False
2014-07-29,66,False
2014-07-30,78,False
2014-07-31,65,False
2014-08-01,71,False
2014-08-02,34,False
2014-08-03,33,False
2014-08-04,80,False
2014-08-05,55,False
2014-08-06,59,False
2014-08-07,70,False
2014-08-08,60,False
2014-08-09,27,False
2014-08-10,26,False
2014-08-11,63,False
2014-08-12,61,False
2014-08-13,61,False
2014-08-14,54,False
2014-08-15,42,False
2014-08-16,34,False
2014-08-17,36,False
2014-08-18,55,False
2014-08-19,54,False
2014-08-20,51,False
2014-08-21,69,False
2014-08-22,41,False
2014-08-23,37,False
2014-08-24,23,False
2014-08-25,89,False
2014-08-26,71,False
2014-08-27,63,False
2014-08-28,73,False
2014-08-29,63,False
2014-08-30,35,False
2014-08-31,38,False
2014-09-01,42,False
2014-09-02,64,False
2014-09-03,80,False
2014-09-04,72,False
2014-09-05,60,False
2014-09-06,32,False
2014-09-07,43,False
2014-09-08,87,False
2014-09-09,100,False
2014-09-10,69,False
2014-09-11,79,False
2014-09-12,64,False
2014-09-13,64,False
2014-09-14,58,False
2014-09-15,76,False
2014-09-16,55,False
2014-09-17,83,False
2014-09-18,81,False
2014-09-19,66,False
2014-09-20,45,False
2014-09-21,40,False
2014-09-22,62,False
2014-09-23,62,False
2014-09-24,56,False
2014-09-25,87,False
2014-09-26,81,False
2014-09-27,27,False
2014-09-28,26,False
2014-09-29,59,False
2014-09-30,64,False
2014-10-01,74,False
2014-10-02,69,False
2014-10-03,56,False
2014-10-04,40,False
2014-10-05,41,False
2014-10-06,67,False
2014-10-07,64,False
2014-10-08,57,False
2014-10-09,65,False
2014-10-10,62,False
2014-10-11,43,False
2014-10-12,45,False
2014-10-13,88,False
2014-10-14,84,False
2014-10-15,71,False
2014-10-16,55,False
2014-10-17,63,False
2014-10-18,43,False
2014-10-19,31,False
2014-10-20,57,False
2014-10-21,82,False
2014-10-22,73,False
2014-10-23,78,False
2014-10-24,75,False
2014-10-25,32,False
2014-10-26,43,False
2014-10-27,74,False
2014-10-28,56,False
2014-10-29,69,False
2014-10-30,74,False
2014-10-31,64,False
2014-11-01,48,False
2014-11-02,38,False
2014-11-03,64,False
2014-11-04,56,False
2014-11-05,75,False
2014-11-06,52,False
2014-11-07,84,False
2014-11-08,53,False
2014-11-09,28,False
2014-11-10,67,False
2014-11-11,74,False
2014-11-12,79,False
2014-11-13,83,False
2014-11-14,64,False
2014-11-15,37,False
2014-11-16,40,False
2014-11-17,80,False
2014-11-18,76,False
2014-11-19,86,False
2014-11-20,73,False
2014-11-21,87,False
2014-11-22,43,False
2014-11-23,43,False
2014-11-24,76,False
2014-11-25,58,False
2014-11-26,56,False
2014-11-27,41,False
2014-11-28,45,False
2014-11-29,32,False
2014-11-30,33,False
2014-12-01,57,False
