date,Check Point Software,isPartial
2013-06-29,0,False
2013-06-30,25,False
2013-07-01,0,False
2013-07-02,40,False
2013-07-03,62,False
2013-07-04,22,False
2013-07-05,22,False
2013-07-06,52,False
2013-07-07,25,False
2013-07-08,62,False
2013-07-09,61,False
2013-07-10,41,False
2013-07-11,21,False
2013-07-12,66,False
2013-07-13,0,False
2013-07-14,0,False
2013-07-15,41,False
2013-07-16,41,False
2013-07-17,0,False
2013-07-18,42,False
2013-07-19,43,False
2013-07-20,76,False
2013-07-21,0,False
2013-07-22,20,False
2013-07-23,20,False
2013-07-24,42,False
2013-07-25,21,False
2013-07-26,86,False
2013-07-27,25,False
2013-07-28,25,False
2013-07-29,41,False
2013-07-30,20,False
2013-07-31,41,False
2013-08-01,42,False
2013-08-02,22,False
2013-08-03,25,False
2013-08-04,0,False
2013-08-05,21,False
2013-08-06,0,False
2013-08-07,42,False
2013-08-08,0,False
2013-08-09,43,False
2013-08-10,25,False
2013-08-11,25,False
2013-08-12,20,False
2013-08-13,20,False
2013-08-14,41,False
2013-08-15,22,False
2013-08-16,22,False
2013-08-17,0,False
2013-08-18,25,False
2013-08-19,20,False
2013-08-20,0,False
2013-08-21,0,False
2013-08-22,21,False
2013-08-23,21,False
2013-08-24,49,False
2013-08-25,24,False
2013-08-26,98,False
2013-08-27,39,False
2013-08-28,60,False
2013-08-29,80,False
2013-08-30,0,False
2013-08-31,24,False
2013-09-01,0,False
2013-09-02,0,False
2013-09-03,19,False
2013-09-04,59,False
2013-09-05,100,False
2013-09-06,0,False
2013-09-07,0,False
2013-09-08,23,False
2013-09-09,39,False
2013-09-10,57,False
2013-09-11,19,False
2013-09-12,0,False
2013-09-13,20,False
2013-09-14,0,False
2013-09-15,0,False
2013-09-16,38,False
2013-09-17,19,False
2013-09-18,0,False
2013-09-19,39,False
2013-09-20,41,False
2013-09-21,23,False
2013-09-22,23,False
2013-09-23,19,False
2013-09-24,77,False
2013-09-25,39,False
2013-09-26,20,False
2013-09-27,0,False
2013-09-28,0,False
2013-09-29,23,False
2013-09-30,19,False
2013-10-01,0,False
2013-10-02,39,False
2013-10-03,20,False
2013-10-04,81,False
2013-10-05,0,False
2013-10-06,22,False
2013-10-07,38,False
2013-10-08,38,False
2013-10-09,78,False
2013-10-10,39,False
2013-10-11,20,False
2013-10-12,0,False
2013-10-13,23,False
2013-10-14,0,False
2013-10-15,57,False
2013-10-16,59,False
2013-10-17,0,False
2013-10-18,41,False
2013-10-19,0,False
2013-10-20,22,False
2013-10-21,0,False
2013-10-22,0,False
2013-10-23,38,False
2013-10-24,38,False
2013-10-25,0,False
2013-10-26,46,False
2013-10-27,22,False
2013-10-28,19,False
2013-10-29,37,False
2013-10-30,19,False
2013-10-31,59,False
2013-11-01,21,False
2013-11-02,23,False
2013-11-03,0,False
2013-11-04,56,False
2013-11-05,56,False
2013-11-06,56,False
2013-11-07,38,False
2013-11-08,39,False
2013-11-09,0,False
2013-11-10,22,False
2013-11-11,38,False
2013-11-12,56,False
2013-11-13,57,False
2013-11-14,19,False
2013-11-15,59,False
2013-11-16,22,False
2013-11-17,0,False
2013-11-18,93,False
2013-11-19,19,False
2013-11-20,19,False
2013-11-21,56,False
2013-11-22,58,False
2013-11-23,0,False
2013-11-24,0,False
2013-11-25,74,False
2013-11-26,0,False
2013-11-27,37,False
2013-11-28,40,False
2013-11-29,20,False
2013-11-30,45,False
2013-12-01,21,False
2013-12-02,0,False
2013-12-03,37,False
2013-12-04,18,False
2013-12-05,56,False
2013-12-06,0,False
2013-12-07,0,False
2013-12-08,0,False
2013-12-09,19,False
2013-12-10,0,False
2013-12-11,56,False
2013-12-12,19,False
2013-12-13,60,False
2013-12-14,0,False
2013-12-15,0,False
2013-12-16,19,False
2013-12-17,0,False
2013-12-18,19,False
2013-12-19,20,False
2013-12-20,21,False
2013-12-21,0,False
2013-12-22,24,False
2013-12-23,0,False
2013-12-24,0,False
2013-12-25,0,False
2013-12-26,0,False
2013-12-27,83,False
2013-12-28,0,False
2013-12-29,0,False
2013-12-30,0,False
2013-12-31,23,False
2014-01-01,24,False
2014-01-02,19,False
2014-01-03,0,False
2014-01-04,43,False
2014-01-05,21,False
2014-01-06,18,False
2014-01-07,0,False
2014-01-08,73,False
2014-01-09,55,False
2014-01-10,19,False
2014-01-11,0,False
2014-01-12,42,False
2014-01-13,18,False
2014-01-14,18,False
2014-01-15,0,False
2014-01-16,0,False
2014-01-17,38,False
2014-01-18,43,False
2014-01-19,0,False
2014-01-20,54,False
2014-01-21,0,False
2014-01-22,0,False
2014-01-23,72,False
2014-01-24,56,False
2014-01-25,0,False
2014-01-26,0,False
2014-01-27,18,False
2014-01-28,18,False
2014-01-29,0,False
2014-01-30,55,False
2014-01-31,19,False
2014-02-01,21,False
2014-02-02,0,False
2014-02-03,53,False
2014-02-04,18,False
2014-02-05,35,False
2014-02-06,24,False
2014-02-07,20,False
2014-02-08,0,False
2014-02-09,0,False
2014-02-10,35,False
2014-02-11,18,False
2014-02-12,53,False
2014-02-13,18,False
2014-02-14,18,False
2014-02-15,0,False
2014-02-16,20,False
2014-02-17,54,False
2014-02-18,0,False
2014-02-19,0,False
2014-02-20,54,False
2014-02-21,19,False
2014-02-22,41,False
2014-02-23,0,False
2014-02-24,17,False
2014-02-25,0,False
2014-02-26,35,False
2014-02-27,36,False
2014-02-28,0,False
2014-03-01,21,False
2014-03-02,21,False
2014-03-03,18,False
2014-03-04,0,False
2014-03-05,36,False
2014-03-06,18,False
2014-03-07,75,False
2014-03-08,21,False
2014-03-09,21,False
2014-03-10,18,False
2014-03-11,18,False
2014-03-12,36,False
2014-03-13,0,False
2014-03-14,19,False
2014-03-15,0,False
2014-03-16,21,False
