date,Check Point Software,isPartial
2012-10-12,0,False
2012-10-13,0,False
2012-10-14,0,False
2012-10-15,40,False
2012-10-16,0,False
2012-10-17,100,False
2012-10-18,40,False
2012-10-19,0,False
2012-10-20,0,False
2012-10-21,0,False
2012-10-22,0,False
2012-10-23,20,False
2012-10-24,40,False
2012-10-25,21,False
2012-10-26,22,False
2012-10-27,0,False
2012-10-28,0,False
2012-10-29,0,False
2012-10-30,39,False
2012-10-31,0,False
2012-11-01,21,False
2012-11-02,0,False
2012-11-03,48,False
2012-11-04,0,False
2012-11-05,60,False
2012-11-06,0,False
2012-11-07,0,False
2012-11-08,40,False
2012-11-09,42,False
2012-11-10,24,False
2012-11-11,0,False
2012-11-12,60,False
2012-11-13,0,False
2012-11-14,0,False
2012-11-15,20,False
2012-11-16,21,False
2012-11-17,0,False
2012-11-18,0,False
2012-11-19,59,False
2012-11-20,59,False
2012-11-21,0,False
2012-11-22,21,False
2012-11-23,21,False
2012-11-24,24,False
2012-11-25,0,False
2012-11-26,19,False
2012-11-27,19,False
2012-11-28,39,False
2012-11-29,0,False
2012-11-30,61,False
2012-12-01,47,False
2012-12-02,23,False
2012-12-03,19,False
2012-12-04,19,False
2012-12-05,59,False
2012-12-06,20,False
2012-12-07,41,False
2012-12-08,0,False
2012-12-09,0,False
2012-12-10,58,False
2012-12-11,0,False
2012-12-12,20,False
2012-12-13,40,False
2012-12-14,41,False
2012-12-15,0,False
2012-12-16,46,False
2012-12-17,19,False
2012-12-18,20,False
2012-12-19,40,False
2012-12-20,20,False
2012-12-21,0,False
2012-12-22,24,False
2012-12-23,25,False
2012-12-24,0,False
2012-12-25,0,False
2012-12-26,22,False
2012-12-27,21,False
2012-12-28,0,False
2012-12-29,0,False
2012-12-30,0,False
2012-12-31,24,False
2013-01-01,0,False
2013-01-02,0,False
2013-01-03,20,False
2013-01-04,80,False
2013-01-05,0,False
2013-01-06,22,False
2013-01-07,95,False
2013-01-08,57,False
2013-01-09,19,False
2013-01-10,19,False
2013-01-11,0,False
2013-01-12,0,False
2013-01-13,22,False
2013-01-14,19,False
2013-01-15,18,False
2013-01-16,19,False
2013-01-17,19,False
2013-01-18,19,False
2013-01-19,22,False
