date,Biogen,isPartial
2011-01-01,5,False
2011-01-02,22,False
2011-01-03,31,False
2011-01-04,43,False
2011-01-05,47,False
2011-01-06,24,False
2011-01-07,28,False
2011-01-08,12,False
2011-01-09,16,False
2011-01-10,39,False
2011-01-11,45,False
2011-01-12,29,False
2011-01-13,39,False
2011-01-14,44,False
2011-01-15,12,False
2011-01-16,8,False
2011-01-17,35,False
2011-01-18,60,False
2011-01-19,38,False
2011-01-20,38,False
2011-01-21,23,False
2011-01-22,24,False
2011-01-23,28,False
2011-01-24,28,False
2011-01-25,25,False
2011-01-26,32,False
2011-01-27,35,False
2011-01-28,37,False
2011-01-29,27,False
2011-01-30,19,False
2011-01-31,36,False
2011-02-01,76,False
2011-02-02,39,False
2011-02-03,57,False
2011-02-04,29,False
2011-02-05,23,False
2011-02-06,30,False
2011-02-07,55,False
2011-02-08,50,False
2011-02-09,100,False
2011-02-10,60,False
2011-02-11,33,False
2011-02-12,8,False
2011-02-13,34,False
2011-02-14,71,False
2011-02-15,54,False
2011-02-16,65,False
2011-02-17,41,False
2011-02-18,40,False
2011-02-19,11,False
2011-02-20,31,False
2011-02-21,28,False
2011-02-22,40,False
2011-02-23,34,False
2011-02-24,50,False
2011-02-25,39,False
2011-02-26,19,False
2011-02-27,34,False
2011-02-28,49,False
2011-03-01,64,False
2011-03-02,47,False
2011-03-03,47,False
2011-03-04,63,False
2011-03-05,23,False
2011-03-06,35,False
2011-03-07,22,False
2011-03-08,41,False
2011-03-09,49,False
2011-03-10,25,False
2011-03-11,31,False
2011-03-12,12,False
2011-03-13,19,False
2011-03-14,39,False
2011-03-15,19,False
2011-03-16,55,False
2011-03-17,28,False
2011-03-18,30,False
2011-03-19,8,False
2011-03-20,43,False
2011-03-21,40,False
2011-03-22,37,False
2011-03-23,31,False
2011-03-24,62,False
2011-03-25,37,False
2011-03-26,12,False
2011-03-27,34,False
2011-03-28,46,False
2011-03-29,37,False
2011-03-30,55,False
2011-03-31,40,False
2011-04-01,52,False
2011-04-02,31,False
2011-04-03,8,False
2011-04-04,48,False
2011-04-05,55,False
2011-04-06,40,False
2011-04-07,44,False
2011-04-08,26,False
2011-04-09,12,False
2011-04-10,27,False
2011-04-11,87,False
2011-04-12,82,False
2011-04-13,49,False
2011-04-14,29,False
2011-04-15,23,False
2011-04-16,20,False
2011-04-17,20,False
2011-04-18,34,False
2011-04-19,32,False
2011-04-20,65,False
2011-04-21,93,False
2011-04-22,72,False
2011-04-23,21,False
2011-04-24,39,False
2011-04-25,55,False
2011-04-26,86,False
2011-04-27,37,False
2011-04-28,46,False
2011-04-29,40,False
2011-04-30,12,False
2011-05-01,39,False
2011-05-02,61,False
2011-05-03,61,False
2011-05-04,46,False
2011-05-05,44,False
2011-05-06,40,False
2011-05-07,12,False
2011-05-08,16,False
2011-05-09,40,False
2011-05-10,49,False
2011-05-11,61,False
2011-05-12,62,False
2011-05-13,19,False
2011-05-14,19,False
2011-05-15,4,False
2011-05-16,54,False
2011-05-17,30,False
2011-05-18,49,False
2011-05-19,49,False
2011-05-20,42,False
2011-05-21,31,False
2011-05-22,23,False
2011-05-23,42,False
2011-05-24,36,False
2011-05-25,55,False
2011-05-26,45,False
2011-05-27,20,False
2011-05-28,28,False
2011-05-29,20,False
2011-05-30,19,False
2011-05-31,40,False
2011-06-01,30,False
2011-06-02,45,False
2011-06-03,36,False
2011-06-04,16,False
2011-06-05,15,False
2011-06-06,42,False
2011-06-07,24,False
2011-06-08,55,False
2011-06-09,58,False
2011-06-10,52,False
2011-06-11,24,False
2011-06-12,24,False
2011-06-13,49,False
2011-06-14,50,False
2011-06-15,42,False
2011-06-16,30,False
2011-06-17,39,False
2011-06-18,16,False
2011-06-19,27,False
2011-06-20,51,False
2011-06-21,51,False
2011-06-22,46,False
2011-06-23,45,False
2011-06-24,33,False
2011-06-25,27,False
2011-06-26,28,False
2011-06-27,72,False
2011-06-28,24,False
2011-06-29,49,False
2011-06-30,37,False
2011-07-01,39,False
2011-07-02,16,False
2011-07-03,20,False
2011-07-04,39,False
2011-07-05,22,False
2011-07-06,49,False
2011-07-07,37,False
2011-07-08,52,False
2011-07-09,16,False
2011-07-10,33,False
2011-07-11,55,False
2011-07-12,30,False
2011-07-13,55,False
2011-07-14,63,False
2011-07-15,67,False
2011-07-16,16,False
2011-07-17,12,False
2011-07-18,46,False
2011-07-19,46,False
2011-07-20,58,False
2011-07-21,43,False
2011-07-22,33,False
2011-07-23,23,False
2011-07-24,12,False
2011-07-25,37,False
2011-07-26,55,False
2011-07-27,52,False
2011-07-28,62,False
2011-07-29,43,False
2011-07-30,27,False
2011-07-31,24,False
2011-08-01,40,False
2011-08-02,40,False
2011-08-03,40,False
2011-08-04,52,False
2011-08-05,39,False
2011-08-06,47,False
2011-08-07,19,False
2011-08-08,39,False
2011-08-09,47,False
2011-08-10,43,False
2011-08-11,40,False
2011-08-12,23,False
2011-08-13,19,False
2011-08-14,4,False
2011-08-15,69,False
2011-08-16,64,False
2011-08-17,31,False
2011-08-18,30,False
2011-08-19,16,False
2011-08-20,15,False
2011-08-21,11,False
2011-08-22,32,False
2011-08-23,35,False
2011-08-24,24,False
2011-08-25,35,False
2011-08-26,34,False
2011-08-27,22,False
2011-08-28,4,False
2011-08-29,41,False
2011-08-30,35,False
2011-08-31,38,False
2011-09-01,38,False
2011-09-02,33,False
2011-09-03,29,False
2011-09-04,14,False
2011-09-05,32,False
2011-09-06,51,False
2011-09-07,51,False
2011-09-08,32,False
2011-09-09,51,False
2011-09-10,18,False
2011-09-11,34,False
2011-09-12,50,False
2011-09-13,39,False
2011-09-14,54,False
2011-09-15,57,False
2011-09-16,39,False
2011-09-17,25,False
2011-09-18,27,False
