date,Liberty Interactive,isPartial
2014-03-16,0,False
2014-03-17,53,False
2014-03-18,43,False
2014-03-19,21,False
2014-03-20,55,False
2014-03-21,22,False
2014-03-22,25,False
2014-03-23,25,False
2014-03-24,21,False
2014-03-25,42,False
2014-03-26,21,False
2014-03-27,43,False
2014-03-28,0,False
2014-03-29,25,False
2014-03-30,25,False
2014-03-31,21,False
2014-04-01,32,False
2014-04-02,21,False
2014-04-03,43,False
2014-04-04,45,False
2014-04-05,0,False
2014-04-06,0,False
2014-04-07,21,False
2014-04-08,32,False
2014-04-09,21,False
2014-04-10,0,False
2014-04-11,46,False
2014-04-12,0,False
2014-04-13,0,False
2014-04-14,33,False
2014-04-15,32,False
2014-04-16,33,False
2014-04-17,46,False
2014-04-18,0,False
2014-04-19,0,False
2014-04-20,27,False
2014-04-21,35,False
2014-04-22,32,False
2014-04-23,21,False
2014-04-24,22,False
2014-04-25,23,False
2014-04-26,0,False
2014-04-27,0,False
2014-04-28,21,False
2014-04-29,32,False
2014-04-30,44,False
2014-05-01,0,False
2014-05-02,0,False
2014-05-03,51,False
2014-05-04,0,False
2014-05-05,22,False
2014-05-06,43,False
2014-05-07,0,False
2014-05-08,44,False
2014-05-09,23,False
2014-05-10,50,False
2014-05-11,0,False
2014-05-12,32,False
2014-05-13,21,False
2014-05-14,43,False
2014-05-15,22,False
2014-05-16,22,False
2014-05-17,0,False
2014-05-18,0,False
2014-05-19,42,False
2014-05-20,21,False
2014-05-21,24,False
2014-05-22,24,False
2014-05-23,25,False
2014-05-24,0,False
2014-05-25,0,False
2014-05-26,24,False
2014-05-27,23,False
2014-05-28,58,False
2014-05-29,24,False
2014-05-30,25,False
2014-05-31,0,False
2014-06-01,43,False
2014-06-02,47,False
2014-06-03,47,False
2014-06-04,35,False
2014-06-05,24,False
2014-06-06,25,False
2014-06-07,30,False
2014-06-08,0,False
2014-06-09,36,False
2014-06-10,49,False
2014-06-11,0,False
2014-06-12,24,False
2014-06-13,0,False
2014-06-14,0,False
2014-06-15,0,False
2014-06-16,35,False
2014-06-17,23,False
2014-06-18,0,False
2014-06-19,49,False
2014-06-20,0,False
2014-06-21,60,False
2014-06-22,29,False
2014-06-23,24,False
2014-06-24,24,False
2014-06-25,36,False
2014-06-26,24,False
2014-06-27,0,False
2014-06-28,0,False
2014-06-29,29,False
2014-06-30,24,False
2014-07-01,0,False
2014-07-02,24,False
2014-07-03,0,False
2014-07-04,26,False
2014-07-05,0,False
2014-07-06,29,False
2014-07-07,24,False
2014-07-08,24,False
2014-07-09,24,False
2014-07-10,0,False
2014-07-11,51,False
2014-07-12,0,False
2014-07-13,0,False
2014-07-14,24,False
2014-07-15,24,False
2014-07-16,100,False
2014-07-17,49,False
2014-07-18,0,False
2014-07-19,0,False
2014-07-20,29,False
2014-07-21,24,False
