date,Liberty Interactive,isPartial
2015-04-10,8,False
2015-04-11,0,False
2015-04-12,9,False
2015-04-13,7,False
2015-04-14,0,False
2015-04-15,0,False
2015-04-16,18,False
2015-04-17,7,False
2015-04-18,17,False
2015-04-19,0,False
2015-04-20,7,False
2015-04-21,7,False
2015-04-22,7,False
2015-04-23,0,False
2015-04-24,7,False
2015-04-25,0,False
2015-04-26,0,False
2015-04-27,7,False
2015-04-28,7,False
2015-04-29,0,False
2015-04-30,0,False
2015-05-01,8,False
2015-05-02,9,False
2015-05-03,8,False
2015-05-04,7,False
2015-05-05,7,False
2015-05-06,0,False
2015-05-07,7,False
2015-05-08,15,False
2015-05-09,9,False
2015-05-10,0,False
2015-05-11,7,False
2015-05-12,14,False
2015-05-13,7,False
2015-05-14,0,False
2015-05-15,7,False
2015-05-16,8,False
2015-05-17,0,False
2015-05-18,18,False
2015-05-19,7,False
2015-05-20,7,False
2015-05-21,7,False
2015-05-22,0,False
2015-05-23,9,False
2015-05-24,0,False
2015-05-25,0,False
2015-05-26,10,False
2015-05-27,14,False
2015-05-28,14,False
2015-05-29,7,False
2015-05-30,0,False
2015-05-31,0,False
2015-06-01,7,False
2015-06-02,7,False
2015-06-03,7,False
2015-06-04,7,False
2015-06-05,8,False
2015-06-06,0,False
2015-06-07,9,False
2015-06-08,7,False
2015-06-09,7,False
2015-06-10,7,False
2015-06-11,14,False
2015-06-12,15,False
2015-06-13,0,False
2015-06-14,0,False
2015-06-15,7,False
2015-06-16,0,False
2015-06-17,7,False
2015-06-18,0,False
2015-06-19,15,False
2015-06-20,0,False
2015-06-21,0,False
2015-06-22,0,False
2015-06-23,7,False
2015-06-24,14,False
2015-06-25,7,False
2015-06-26,15,False
2015-06-27,0,False
2015-06-28,0,False
2015-06-29,0,False
2015-06-30,14,False
2015-07-01,18,False
2015-07-02,7,False
2015-07-03,8,False
2015-07-04,0,False
2015-07-05,0,False
2015-07-06,14,False
2015-07-07,0,False
2015-07-08,14,False
2015-07-09,7,False
2015-07-10,0,False
2015-07-11,0,False
2015-07-12,0,False
2015-07-13,0,False
2015-07-14,14,False
2015-07-15,7,False
2015-07-16,15,False
2015-07-17,8,False
2015-07-18,9,False
2015-07-19,0,False
2015-07-20,8,False
2015-07-21,0,False
2015-07-22,0,False
2015-07-23,0,False
2015-07-24,0,False
2015-07-25,0,False
2015-07-26,0,False
2015-07-27,0,False
2015-07-28,0,False
2015-07-29,7,False
2015-07-30,7,False
2015-07-31,0,False
2015-08-01,0,False
2015-08-02,0,False
2015-08-03,7,False
2015-08-04,14,False
2015-08-05,22,False
2015-08-06,7,False
2015-08-07,15,False
2015-08-08,0,False
2015-08-09,9,False
2015-08-10,14,False
2015-08-11,7,False
2015-08-12,7,False
2015-08-13,0,False
2015-08-14,7,False
2015-08-15,0,False
2015-08-16,8,False
2015-08-17,60,False
2015-08-18,39,False
2015-08-19,14,False
2015-08-20,18,False
2015-08-21,7,False
2015-08-22,0,False
2015-08-23,8,False
2015-08-24,7,False
2015-08-25,10,False
2015-08-26,0,False
2015-08-27,0,False
2015-08-28,7,False
2015-08-29,0,False
2015-08-30,8,False
2015-08-31,7,False
2015-09-01,13,False
2015-09-02,7,False
2015-09-03,10,False
2015-09-04,7,False
2015-09-05,8,False
2015-09-06,16,False
2015-09-07,0,False
2015-09-08,7,False
2015-09-09,7,False
2015-09-10,14,False
2015-09-11,7,False
2015-09-12,0,False
2015-09-13,0,False
2015-09-14,7,False
2015-09-15,20,False
2015-09-16,7,False
2015-09-17,10,False
2015-09-18,7,False
2015-09-19,0,False
2015-09-20,8,False
2015-09-21,7,False
2015-09-22,0,False
2015-09-23,0,False
2015-09-24,7,False
2015-09-25,7,False
2015-09-26,8,False
2015-09-27,0,False
2015-09-28,10,False
2015-09-29,10,False
2015-09-30,7,False
2015-10-01,13,False
2015-10-02,11,False
2015-10-03,0,False
2015-10-04,8,False
2015-10-05,0,False
2015-10-06,7,False
2015-10-07,13,False
2015-10-08,0,False
2015-10-09,7,False
2015-10-10,0,False
2015-10-11,8,False
2015-10-12,0,False
2015-10-13,10,False
2015-10-14,7,False
2015-10-15,0,False
2015-10-16,14,False
2015-10-17,0,False
2015-10-18,0,False
2015-10-19,7,False
2015-10-20,6,False
2015-10-21,20,False
2015-10-22,0,False
2015-10-23,0,False
2015-10-24,0,False
2015-10-25,0,False
2015-10-26,0,False
2015-10-27,10,False
2015-10-28,7,False
2015-10-29,10,False
2015-10-30,17,False
2015-10-31,0,False
2015-11-01,0,False
2015-11-02,13,False
2015-11-03,13,False
2015-11-04,7,False
2015-11-05,13,False
2015-11-06,100,False
2015-11-07,12,False
2015-11-08,38,False
2015-11-09,20,False
2015-11-10,10,False
2015-11-11,10,False
2015-11-12,17,False
2015-11-13,14,False
2015-11-14,0,False
2015-11-15,15,False
2015-11-16,7,False
2015-11-17,7,False
2015-11-18,0,False
2015-11-19,10,False
2015-11-20,10,False
2015-11-21,0,False
2015-11-22,8,False
2015-11-23,7,False
2015-11-24,13,False
2015-11-25,7,False
2015-11-26,0,False
2015-11-27,7,False
2015-11-28,8,False
2015-11-29,0,False
2015-11-30,6,False
2015-12-01,0,False
2015-12-02,6,False
2015-12-03,13,False
2015-12-04,0,False
2015-12-05,8,False
2015-12-06,8,False
2015-12-07,7,False
2015-12-08,7,False
2015-12-09,13,False
2015-12-10,10,False
2015-12-11,0,False
2015-12-12,0,False
2015-12-13,0,False
2015-12-14,0,False
2015-12-15,7,False
2015-12-16,7,False
2015-12-17,0,False
2015-12-18,11,False
2015-12-19,8,False
2015-12-20,8,False
2015-12-21,14,False
2015-12-22,0,False
2015-12-23,7,False
2015-12-24,0,False
2015-12-25,0,False
2015-12-26,0,False
