date,Synopsys,isPartial
2015-12-26,18,False
2015-12-27,31,False
2015-12-28,35,False
2015-12-29,35,False
2015-12-30,48,False
2015-12-31,30,False
2016-01-01,25,False
2016-01-02,31,False
2016-01-03,9,False
2016-01-04,66,False
2016-01-05,54,False
2016-01-06,62,False
2016-01-07,23,False
2016-01-08,60,False
2016-01-09,22,False
2016-01-10,30,False
2016-01-11,41,False
2016-01-12,64,False
2016-01-13,57,False
2016-01-14,23,False
2016-01-15,75,False
2016-01-16,26,False
2016-01-17,21,False
2016-01-18,42,False
2016-01-19,53,False
2016-01-20,31,False
2016-01-21,69,False
2016-01-22,71,False
2016-01-23,52,False
2016-01-24,30,False
2016-01-25,72,False
2016-01-26,49,False
2016-01-27,45,False
2016-01-28,58,False
2016-01-29,55,False
2016-01-30,18,False
2016-01-31,17,False
2016-02-01,48,False
2016-02-02,45,False
2016-02-03,76,False
2016-02-04,35,False
2016-02-05,40,False
2016-02-06,35,False
2016-02-07,43,False
2016-02-08,82,False
2016-02-09,66,False
2016-02-10,61,False
2016-02-11,46,False
2016-02-12,59,False
2016-02-13,43,False
2016-02-14,25,False
2016-02-15,72,False
2016-02-16,45,False
2016-02-17,79,False
2016-02-18,60,False
2016-02-19,50,False
2016-02-20,30,False
2016-02-21,25,False
2016-02-22,47,False
2016-02-23,44,False
2016-02-24,59,False
2016-02-25,37,False
2016-02-26,51,False
2016-02-27,43,False
2016-02-28,46,False
2016-02-29,33,False
2016-03-01,62,False
2016-03-02,33,False
2016-03-03,64,False
2016-03-04,61,False
2016-03-05,9,False
2016-03-06,38,False
2016-03-07,37,False
2016-03-08,89,False
2016-03-09,48,False
2016-03-10,60,False
2016-03-11,39,False
2016-03-12,44,False
2016-03-13,8,False
2016-03-14,67,False
2016-03-15,70,False
2016-03-16,59,False
2016-03-17,60,False
2016-03-18,79,False
2016-03-19,73,False
2016-03-20,51,False
2016-03-21,57,False
2016-03-22,100,False
2016-03-23,61,False
2016-03-24,52,False
2016-03-25,46,False
2016-03-26,40,False
2016-03-27,32,False
2016-03-28,59,False
2016-03-29,63,False
2016-03-30,57,False
2016-03-31,52,False
2016-04-01,42,False
2016-04-02,35,False
2016-04-03,13,False
2016-04-04,67,False
2016-04-05,49,False
2016-04-06,34,False
2016-04-07,53,False
2016-04-08,32,False
2016-04-09,22,False
2016-04-10,17,False
2016-04-11,56,False
2016-04-12,60,False
2016-04-13,60,False
2016-04-14,38,False
2016-04-15,32,False
2016-04-16,31,False
2016-04-17,17,False
2016-04-18,64,False
2016-04-19,83,False
2016-04-20,61,False
2016-04-21,66,False
2016-04-22,54,False
2016-04-23,26,False
2016-04-24,30,False
2016-04-25,70,False
2016-04-26,88,False
2016-04-27,56,False
2016-04-28,69,False
2016-04-29,55,False
2016-04-30,18,False
2016-05-01,26,False
2016-05-02,69,False
2016-05-03,67,False
2016-05-04,68,False
2016-05-05,39,False
2016-05-06,12,False
2016-05-07,18,False
2016-05-08,22,False
2016-05-09,53,False
2016-05-10,49,False
2016-05-11,63,False
2016-05-12,30,False
2016-05-13,31,False
2016-05-14,35,False
2016-05-15,43,False
2016-05-16,38,False
2016-05-17,52,False
2016-05-18,56,False
2016-05-19,50,False
2016-05-20,44,False
2016-05-21,31,False
2016-05-22,22,False
2016-05-23,49,False
2016-05-24,45,False
2016-05-25,68,False
2016-05-26,63,False
2016-05-27,56,False
2016-05-28,18,False
2016-05-29,9,False
2016-05-30,69,False
2016-05-31,30,False
2016-06-01,42,False
2016-06-02,81,False
2016-06-03,52,False
2016-06-04,22,False
2016-06-05,31,False
2016-06-06,34,False
2016-06-07,79,False
2016-06-08,53,False
2016-06-09,54,False
2016-06-10,44,False
2016-06-11,26,False
2016-06-12,31,False
2016-06-13,59,False
2016-06-14,59,False
2016-06-15,64,False
2016-06-16,64,False
2016-06-17,40,False
2016-06-18,36,False
2016-06-19,13,False
2016-06-20,61,False
2016-06-21,38,False
2016-06-22,53,False
2016-06-23,52,False
2016-06-24,61,False
2016-06-25,41,False
2016-06-26,27,False
2016-06-27,53,False
2016-06-28,57,False
2016-06-29,50,False
2016-06-30,43,False
2016-07-01,29,False
2016-07-02,14,False
2016-07-03,23,False
2016-07-04,41,False
2016-07-05,37,False
2016-07-06,45,False
2016-07-07,50,False
2016-07-08,47,False
2016-07-09,29,False
2016-07-10,23,False
2016-07-11,40,False
2016-07-12,56,False
2016-07-13,32,False
2016-07-14,39,False
2016-07-15,92,False
2016-07-16,0,False
2016-07-17,33,False
2016-07-18,49,False
2016-07-19,57,False
2016-07-20,53,False
2016-07-21,82,False
2016-07-22,41,False
2016-07-23,23,False
2016-07-24,24,False
2016-07-25,36,False
2016-07-26,56,False
2016-07-27,60,False
2016-07-28,45,False
2016-07-29,34,False
2016-07-30,19,False
2016-07-31,14,False
2016-08-01,28,False
2016-08-02,52,False
2016-08-03,45,False
2016-08-04,65,False
2016-08-05,43,False
2016-08-06,20,False
2016-08-07,20,False
2016-08-08,33,False
2016-08-09,49,False
2016-08-10,50,False
2016-08-11,34,False
2016-08-12,9,False
2016-08-13,15,False
2016-08-14,10,False
2016-08-15,26,False
2016-08-16,59,False
2016-08-17,51,False
2016-08-18,43,False
2016-08-19,63,False
2016-08-20,19,False
2016-08-21,19,False
2016-08-22,46,False
2016-08-23,42,False
2016-08-24,49,False
2016-08-25,57,False
2016-08-26,38,False
2016-08-27,33,False
2016-08-28,23,False
2016-08-29,35,False
2016-08-30,43,False
2016-08-31,56,False
2016-09-01,44,False
2016-09-02,49,False
2016-09-03,9,False
2016-09-04,14,False
2016-09-05,32,False
2016-09-06,47,False
2016-09-07,60,False
2016-09-08,52,False
2016-09-09,62,False
2016-09-10,23,False
2016-09-11,23,False
