date,Synopsys,isPartial
2011-05-11,59,False
2011-05-12,43,False
2011-05-13,37,False
2011-05-14,30,False
2011-05-15,24,False
2011-05-16,35,False
2011-05-17,27,False
2011-05-18,35,False
2011-05-19,71,False
2011-05-20,34,False
2011-05-21,31,False
2011-05-22,39,False
2011-05-23,50,False
2011-05-24,62,False
2011-05-25,55,False
2011-05-26,47,False
2011-05-27,46,False
2011-05-28,5,False
2011-05-29,15,False
2011-05-30,41,False
2011-05-31,51,False
2011-06-01,59,False
2011-06-02,50,False
2011-06-03,64,False
2011-06-04,15,False
2011-06-05,5,False
2011-06-06,35,False
2011-06-07,23,False
2011-06-08,39,False
2011-06-09,27,False
2011-06-10,33,False
2011-06-11,35,False
2011-06-12,20,False
2011-06-13,60,False
2011-06-14,50,False
2011-06-15,70,False
2011-06-16,55,False
2011-06-17,50,False
2011-06-18,20,False
2011-06-19,35,False
2011-06-20,34,False
2011-06-21,35,False
2011-06-22,47,False
2011-06-23,45,False
2011-06-24,21,False
2011-06-25,25,False
2011-06-26,15,False
2011-06-27,43,False
2011-06-28,62,False
2011-06-29,59,False
2011-06-30,44,False
2011-07-01,42,False
2011-07-02,0,False
2011-07-03,31,False
2011-07-04,21,False
2011-07-05,59,False
2011-07-06,48,False
2011-07-07,36,False
2011-07-08,42,False
2011-07-09,36,False
2011-07-10,16,False
2011-07-11,31,False
2011-07-12,35,False
2011-07-13,28,False
2011-07-14,45,False
2011-07-15,47,False
2011-07-16,26,False
2011-07-17,36,False
2011-07-18,20,False
2011-07-19,46,False
2011-07-20,28,False
2011-07-21,40,False
2011-07-22,63,False
2011-07-23,35,False
2011-07-24,30,False
2011-07-25,20,False
2011-07-26,28,False
2011-07-27,47,False
2011-07-28,56,False
2011-07-29,76,False
2011-07-30,30,False
2011-07-31,20,False
2011-08-01,28,False
2011-08-02,40,False
2011-08-03,35,False
2011-08-04,63,False
2011-08-05,41,False
2011-08-06,29,False
2011-08-07,15,False
2011-08-08,37,False
2011-08-09,87,False
2011-08-10,35,False
2011-08-11,63,False
2011-08-12,33,False
2011-08-13,15,False
2011-08-14,25,False
2011-08-15,28,False
2011-08-16,43,False
2011-08-17,39,False
2011-08-18,51,False
2011-08-19,36,False
2011-08-20,44,False
2011-08-21,14,False
2011-08-22,34,False
2011-08-23,56,False
2011-08-24,53,False
2011-08-25,34,False
2011-08-26,56,False
2011-08-27,19,False
2011-08-28,37,False
2011-08-29,19,False
2011-08-30,26,False
2011-08-31,60,False
2011-09-01,35,False
2011-09-02,47,False
2011-09-03,33,False
2011-09-04,27,False
2011-09-05,53,False
2011-09-06,51,False
2011-09-07,44,False
2011-09-08,40,False
2011-09-09,38,False
2011-09-10,41,False
2011-09-11,13,False
2011-09-12,32,False
2011-09-13,32,False
2011-09-14,69,False
2011-09-15,26,False
2011-09-16,35,False
2011-09-17,36,False
2011-09-18,26,False
