date,O'Reilly Automotive,isPartial
2014-12-01,38,False
2014-12-02,0,False
2014-12-03,39,False
2014-12-04,0,False
2014-12-05,41,False
2014-12-06,0,False
2014-12-07,0,False
2014-12-08,40,False
2014-12-09,39,False
2014-12-10,0,False
2014-12-11,40,False
2014-12-12,0,False
2014-12-13,72,False
2014-12-14,47,False
2014-12-15,0,False
2014-12-16,40,False
2014-12-17,0,False
2014-12-18,0,False
2014-12-19,43,False
2014-12-20,49,False
2014-12-21,49,False
2014-12-22,42,False
2014-12-23,43,False
2014-12-24,0,False
2014-12-25,53,False
2014-12-26,47,False
2014-12-27,0,False
2014-12-28,95,False
2014-12-29,0,False
2014-12-30,0,False
2014-12-31,0,False
2015-01-01,50,False
2015-01-02,0,False
2015-01-03,45,False
2015-01-04,0,False
2015-01-05,39,False
2015-01-06,0,False
2015-01-07,38,False
2015-01-08,38,False
2015-01-09,0,False
2015-01-10,0,False
2015-01-11,0,False
2015-01-12,0,False
2015-01-13,0,False
2015-01-14,0,False
2015-01-15,38,False
2015-01-16,78,False
2015-01-17,90,False
2015-01-18,0,False
2015-01-19,0,False
2015-01-20,0,False
2015-01-21,0,False
2015-01-22,38,False
2015-01-23,39,False
2015-01-24,0,False
2015-01-25,0,False
2015-01-26,0,False
2015-01-27,37,False
2015-01-28,37,False
2015-01-29,0,False
2015-01-30,0,False
2015-01-31,0,False
2015-02-01,0,False
2015-02-02,37,False
2015-02-03,0,False
2015-02-04,37,False
2015-02-05,0,False
2015-02-06,0,False
2015-02-07,44,False
2015-02-08,0,False
2015-02-09,0,False
2015-02-10,0,False
2015-02-11,0,False
2015-02-12,0,False
2015-02-13,0,False
2015-02-14,0,False
2015-02-15,45,False
2015-02-16,0,False
2015-02-17,0,False
2015-02-18,0,False
2015-02-19,0,False
2015-02-20,0,False
2015-02-21,0,False
2015-02-22,43,False
2015-02-23,0,False
2015-02-24,0,False
2015-02-25,0,False
2015-02-26,37,False
2015-02-27,38,False
2015-02-28,44,False
2015-03-01,42,False
2015-03-02,0,False
2015-03-03,0,False
2015-03-04,37,False
2015-03-05,37,False
2015-03-06,39,False
2015-03-07,89,False
2015-03-08,0,False
2015-03-09,37,False
2015-03-10,0,False
2015-03-11,37,False
2015-03-12,37,False
2015-03-13,0,False
2015-03-14,0,False
2015-03-15,43,False
2015-03-16,0,False
2015-03-17,38,False
2015-03-18,37,False
2015-03-19,37,False
2015-03-20,0,False
2015-03-21,0,False
2015-03-22,42,False
2015-03-23,0,False
2015-03-24,37,False
2015-03-25,0,False
2015-03-26,0,False
2015-03-27,0,False
2015-03-28,0,False
2015-03-29,0,False
2015-03-30,0,False
2015-03-31,75,False
2015-04-01,57,False
2015-04-02,39,False
2015-04-03,0,False
2015-04-04,0,False
2015-04-05,0,False
2015-04-06,0,False
2015-04-07,0,False
2015-04-08,0,False
2015-04-09,38,False
2015-04-10,0,False
2015-04-11,45,False
2015-04-12,44,False
2015-04-13,37,False
2015-04-14,0,False
2015-04-15,37,False
2015-04-16,0,False
2015-04-17,39,False
2015-04-18,0,False
2015-04-19,66,False
2015-04-20,37,False
2015-04-21,0,False
2015-04-22,0,False
2015-04-23,0,False
2015-04-24,39,False
2015-04-25,44,False
2015-04-26,44,False
2015-04-27,0,False
2015-04-28,37,False
2015-04-29,0,False
2015-04-30,0,False
2015-05-01,63,False
2015-05-02,0,False
2015-05-03,0,False
2015-05-04,0,False
2015-05-05,0,False
2015-05-06,0,False
2015-05-07,0,False
2015-05-08,0,False
2015-05-09,0,False
2015-05-10,0,False
2015-05-11,0,False
2015-05-12,0,False
2015-05-13,0,False
2015-05-14,0,False
2015-05-15,39,False
2015-05-16,0,False
2015-05-17,0,False
2015-05-18,0,False
2015-05-19,0,False
2015-05-20,0,False
2015-05-21,37,False
2015-05-22,39,False
2015-05-23,0,False
2015-05-24,45,False
2015-05-25,0,False
2015-05-26,73,False
2015-05-27,0,False
2015-05-28,55,False
2015-05-29,0,False
2015-05-30,44,False
2015-05-31,44,False
2015-06-01,0,False
2015-06-02,0,False
2015-06-03,74,False
2015-06-04,0,False
2015-06-05,39,False
2015-06-06,45,False
2015-06-07,44,False
2015-06-08,36,False
2015-06-09,36,False
2015-06-10,74,False
2015-06-11,0,False
2015-06-12,39,False
2015-06-13,0,False
2015-06-14,0,False
2015-06-15,54,False
2015-06-16,0,False
2015-06-17,74,False
2015-06-18,75,False
2015-06-19,0,False
2015-06-20,44,False
2015-06-21,45,False
2015-06-22,0,False
2015-06-23,37,False
2015-06-24,37,False
2015-06-25,0,False
2015-06-26,39,False
2015-06-27,0,False
2015-06-28,0,False
2015-06-29,0,False
2015-06-30,0,False
2015-07-01,38,False
2015-07-02,38,False
2015-07-03,40,False
2015-07-04,0,False
2015-07-05,0,False
2015-07-06,37,False
2015-07-07,36,False
2015-07-08,37,False
2015-07-09,38,False
2015-07-10,38,False
2015-07-11,0,False
2015-07-12,0,False
2015-07-13,37,False
2015-07-14,0,False
2015-07-15,0,False
2015-07-16,0,False
2015-07-17,100,False
2015-07-18,0,False
2015-07-19,48,False
2015-07-20,39,False
2015-07-21,0,False
2015-07-22,37,False
2015-07-23,38,False
2015-07-24,0,False
2015-07-25,0,False
2015-07-26,45,False
2015-07-27,0,False
2015-07-28,37,False
2015-07-29,37,False
2015-07-30,38,False
2015-07-31,0,False
2015-08-01,45,False
2015-08-02,45,False
2015-08-03,0,False
2015-08-04,0,False
2015-08-05,38,False
2015-08-06,38,False
2015-08-07,0,False
2015-08-08,0,False
2015-08-09,0,False
2015-08-10,74,False
2015-08-11,37,False
2015-08-12,0,False
2015-08-13,0,False
2015-08-14,77,False
2015-08-15,66,False
2015-08-16,0,False
2015-08-17,0,False
2015-08-18,0,False
