date,O'Reilly Automotive,isPartial
2014-07-24,46,False
2014-07-25,0,False
2014-07-26,56,False
2014-07-27,0,False
2014-07-28,0,False
2014-07-29,46,False
2014-07-30,0,False
2014-07-31,0,False
2014-08-01,0,False
2014-08-02,0,False
2014-08-03,0,False
2014-08-04,30,False
2014-08-05,30,False
2014-08-06,0,False
2014-08-07,0,False
2014-08-08,0,False
2014-08-09,0,False
2014-08-10,36,False
2014-08-11,0,False
2014-08-12,0,False
2014-08-13,0,False
2014-08-14,31,False
2014-08-15,0,False
2014-08-16,0,False
2014-08-17,71,False
2014-08-18,60,False
2014-08-19,30,False
2014-08-20,0,False
2014-08-21,0,False
2014-08-22,0,False
2014-08-23,0,False
2014-08-24,0,False
2014-08-25,29,False
2014-08-26,0,False
2014-08-27,29,False
2014-08-28,0,False
2014-08-29,0,False
2014-08-30,0,False
2014-08-31,35,False
2014-09-01,0,False
2014-09-02,28,False
2014-09-03,28,False
2014-09-04,0,False
2014-09-05,0,False
2014-09-06,35,False
2014-09-07,0,False
2014-09-08,0,False
2014-09-09,28,False
2014-09-10,0,False
2014-09-11,29,False
2014-09-12,30,False
2014-09-13,0,False
2014-09-14,0,False
2014-09-15,0,False
2014-09-16,28,False
2014-09-17,57,False
2014-09-18,0,False
2014-09-19,0,False
2014-09-20,34,False
2014-09-21,0,False
2014-09-22,0,False
2014-09-23,0,False
2014-09-24,28,False
2014-09-25,0,False
2014-09-26,30,False
2014-09-27,0,False
2014-09-28,34,False
2014-09-29,28,False
2014-09-30,28,False
2014-10-01,28,False
2014-10-02,29,False
2014-10-03,30,False
2014-10-04,35,False
2014-10-05,0,False
2014-10-06,0,False
2014-10-07,28,False
2014-10-08,28,False
2014-10-09,0,False
2014-10-10,0,False
2014-10-11,33,False
2014-10-12,0,False
2014-10-13,28,False
2014-10-14,0,False
2014-10-15,55,False
2014-10-16,0,False
2014-10-17,29,False
2014-10-18,34,False
2014-10-19,66,False
2014-10-20,27,False
2014-10-21,27,False
2014-10-22,27,False
2014-10-23,0,False
2014-10-24,29,False
2014-10-25,0,False
2014-10-26,32,False
2014-10-27,0,False
2014-10-28,0,False
2014-10-29,28,False
2014-10-30,28,False
2014-10-31,0,False
2014-11-01,50,False
2014-11-02,0,False
2014-11-03,55,False
2014-11-04,27,False
2014-11-05,0,False
2014-11-06,0,False
2014-11-07,0,False
2014-11-08,0,False
2014-11-09,0,False
2014-11-10,27,False
2014-11-11,55,False
2014-11-12,27,False
2014-11-13,27,False
2014-11-14,28,False
2014-11-15,32,False
2014-11-16,0,False
2014-11-17,27,False
2014-11-18,29,False
2014-11-19,28,False
2014-11-20,0,False
2014-11-21,0,False
2014-11-22,0,False
2014-11-23,0,False
2014-11-24,27,False
2014-11-25,27,False
2014-11-26,27,False
2014-11-27,0,False
2014-11-28,0,False
2014-11-29,0,False
2014-11-30,0,False
2014-12-01,0,False
2014-12-02,0,False
2014-12-03,0,False
2014-12-04,0,False
2014-12-05,0,False
2014-12-06,32,False
2014-12-07,32,False
2014-12-08,28,False
2014-12-09,0,False
2014-12-10,0,False
2014-12-11,27,False
2014-12-12,0,False
2014-12-13,33,False
2014-12-14,32,False
2014-12-15,27,False
2014-12-16,27,False
2014-12-17,0,False
2014-12-18,0,False
2014-12-19,30,False
2014-12-20,34,False
2014-12-21,34,False
2014-12-22,0,False
2014-12-23,30,False
2014-12-24,0,False
2014-12-25,0,False
2014-12-26,32,False
2014-12-27,0,False
2014-12-28,33,False
2014-12-29,0,False
2014-12-30,0,False
2014-12-31,0,False
2015-01-01,35,False
2015-01-02,0,False
2015-01-03,31,False
2015-01-04,0,False
2015-01-05,27,False
2015-01-06,0,False
2015-01-07,52,False
2015-01-08,26,False
2015-01-09,0,False
2015-01-10,0,False
2015-01-11,0,False
2015-01-12,0,False
2015-01-13,0,False
2015-01-14,0,False
2015-01-15,0,False
2015-01-16,0,False
2015-01-17,31,False
2015-01-18,0,False
2015-01-19,0,False
2015-01-20,26,False
2015-01-21,26,False
2015-01-22,0,False
2015-01-23,27,False
2015-01-24,0,False
2015-01-25,0,False
2015-01-26,26,False
2015-01-27,25,False
2015-01-28,0,False
2015-01-29,0,False
2015-01-30,0,False
2015-01-31,0,False
2015-02-01,0,False
2015-02-02,25,False
2015-02-03,0,False
2015-02-04,0,False
2015-02-05,0,False
2015-02-06,27,False
2015-02-07,30,False
2015-02-08,0,False
2015-02-09,0,False
2015-02-10,0,False
2015-02-11,0,False
2015-02-12,0,False
2015-02-13,27,False
2015-02-14,31,False
2015-02-15,31,False
2015-02-16,0,False
2015-02-17,0,False
2015-02-18,0,False
2015-02-19,0,False
2015-02-20,0,False
2015-02-21,30,False
2015-02-22,30,False
2015-02-23,100,False
2015-02-24,25,False
2015-02-25,25,False
2015-02-26,0,False
2015-02-27,27,False
2015-02-28,0,False
2015-03-01,29,False
2015-03-02,25,False
2015-03-03,0,False
2015-03-04,26,False
2015-03-05,26,False
2015-03-06,0,False
2015-03-07,0,False
2015-03-08,0,False
2015-03-09,51,False
2015-03-10,0,False
2015-03-11,51,False
2015-03-12,26,False
2015-03-13,0,False
2015-03-14,0,False
2015-03-15,29,False
2015-03-16,25,False
2015-03-17,0,False
2015-03-18,26,False
2015-03-19,25,False
2015-03-20,0,False
2015-03-21,0,False
2015-03-22,0,False
2015-03-23,0,False
2015-03-24,0,False
2015-03-25,0,False
2015-03-26,0,False
2015-03-27,0,False
2015-03-28,0,False
2015-03-29,0,False
2015-03-30,0,False
2015-03-31,26,False
2015-04-01,53,False
2015-04-02,27,False
2015-04-03,0,False
2015-04-04,0,False
2015-04-05,31,False
2015-04-06,27,False
2015-04-07,0,False
2015-04-08,0,False
2015-04-09,0,False
2015-04-10,27,False
