date,O'Reilly Automotive,isPartial
2013-11-06,0,False
2013-11-07,35,False
2013-11-08,0,False
2013-11-09,0,False
2013-11-10,0,False
2013-11-11,0,False
2013-11-12,0,False
2013-11-13,34,False
2013-11-14,0,False
2013-11-15,73,False
2013-11-16,42,False
2013-11-17,0,False
2013-11-18,34,False
2013-11-19,0,False
2013-11-20,0,False
2013-11-21,35,False
2013-11-22,36,False
2013-11-23,0,False
2013-11-24,0,False
2013-11-25,34,False
2013-11-26,0,False
2013-11-27,34,False
2013-11-28,0,False
2013-11-29,37,False
2013-11-30,0,False
2013-12-01,38,False
2013-12-02,33,False
2013-12-03,33,False
2013-12-04,68,False
2013-12-05,0,False
2013-12-06,72,False
2013-12-07,41,False
2013-12-08,0,False
2013-12-09,0,False
2013-12-10,68,False
2013-12-11,69,False
2013-12-12,0,False
2013-12-13,0,False
2013-12-14,82,False
2013-12-15,83,False
2013-12-16,0,False
2013-12-17,0,False
2013-12-18,0,False
2013-12-19,0,False
2013-12-20,38,False
2013-12-21,43,False
2013-12-22,43,False
2013-12-23,76,False
2013-12-24,42,False
2013-12-25,0,False
2013-12-26,0,False
2013-12-27,0,False
2013-12-28,0,False
2013-12-29,0,False
2013-12-30,0,False
2013-12-31,42,False
2014-01-01,0,False
2014-01-02,71,False
2014-01-03,71,False
2014-01-04,39,False
2014-01-05,0,False
2014-01-06,34,False
2014-01-07,33,False
2014-01-08,0,False
2014-01-09,0,False
2014-01-10,0,False
2014-01-11,0,False
2014-01-12,0,False
2014-01-13,0,False
2014-01-14,33,False
2014-01-15,33,False
2014-01-16,0,False
2014-01-17,0,False
2014-01-18,0,False
2014-01-19,0,False
2014-01-20,0,False
2014-01-21,33,False
2014-01-22,33,False
2014-01-23,0,False
2014-01-24,0,False
2014-01-25,0,False
2014-01-26,0,False
2014-01-27,0,False
2014-01-28,32,False
2014-01-29,0,False
2014-01-30,0,False
2014-01-31,0,False
2014-02-01,0,False
2014-02-02,0,False
2014-02-03,0,False
2014-02-04,64,False
2014-02-05,66,False
2014-02-06,0,False
2014-02-07,0,False
2014-02-08,0,False
2014-02-09,0,False
2014-02-10,0,False
2014-02-11,64,False
2014-02-12,32,False
2014-02-13,0,False
2014-02-14,0,False
2014-02-15,0,False
2014-02-16,0,False
2014-02-17,0,False
2014-02-18,32,False
2014-02-19,33,False
2014-02-20,33,False
2014-02-21,34,False
2014-02-22,0,False
2014-02-23,0,False
2014-02-24,0,False
2014-02-25,32,False
2014-02-26,0,False
2014-02-27,0,False
2014-02-28,68,False
2014-03-01,0,False
2014-03-02,0,False
2014-03-03,0,False
2014-03-04,33,False
2014-03-05,0,False
2014-03-06,0,False
2014-03-07,34,False
2014-03-08,39,False
2014-03-09,0,False
2014-03-10,0,False
2014-03-11,0,False
2014-03-12,0,False
2014-03-13,0,False
2014-03-14,0,False
2014-03-15,0,False
2014-03-16,0,False
2014-03-17,0,False
2014-03-18,0,False
2014-03-19,0,False
2014-03-20,0,False
2014-03-21,68,False
2014-03-22,76,False
2014-03-23,0,False
2014-03-24,0,False
2014-03-25,32,False
2014-03-26,0,False
2014-03-27,0,False
2014-03-28,0,False
2014-03-29,0,False
2014-03-30,38,False
2014-03-31,0,False
2014-04-01,32,False
2014-04-02,32,False
2014-04-03,0,False
2014-04-04,0,False
2014-04-05,0,False
2014-04-06,38,False
2014-04-07,0,False
2014-04-08,0,False
2014-04-09,0,False
2014-04-10,33,False
2014-04-11,0,False
2014-04-12,39,False
2014-04-13,0,False
2014-04-14,0,False
2014-04-15,0,False
2014-04-16,0,False
2014-04-17,0,False
2014-04-18,0,False
2014-04-19,0,False
2014-04-20,42,False
2014-04-21,0,False
2014-04-22,0,False
2014-04-23,0,False
2014-04-24,33,False
