date,Seagate,isPartial
2012-01-26,80,False
2012-01-27,85,False
2012-01-28,84,False
2012-01-29,69,False
2012-01-30,76,False
2012-01-31,84,False
2012-02-01,85,False
2012-02-02,89,False
2012-02-03,84,False
2012-02-04,74,False
2012-02-05,77,False
2012-02-06,79,False
2012-02-07,93,False
2012-02-08,81,False
2012-02-09,76,False
2012-02-10,73,False
2012-02-11,75,False
2012-02-12,66,False
2012-02-13,78,False
2012-02-14,75,False
2012-02-15,81,False
2012-02-16,85,False
2012-02-17,84,False
2012-02-18,90,False
2012-02-19,66,False
2012-02-20,92,False
2012-02-21,94,False
2012-02-22,86,False
2012-02-23,84,False
2012-02-24,78,False
2012-02-25,68,False
2012-02-26,71,False
2012-02-27,88,False
2012-02-28,77,False
2012-02-29,85,False
2012-03-01,82,False
2012-03-02,95,False
2012-03-03,76,False
2012-03-04,73,False
2012-03-05,96,False
2012-03-06,76,False
2012-03-07,78,False
2012-03-08,69,False
2012-03-09,87,False
2012-03-10,82,False
2012-03-11,69,False
2012-03-12,73,False
2012-03-13,77,False
2012-03-14,81,False
2012-03-15,77,False
2012-03-16,82,False
2012-03-17,74,False
2012-03-18,71,False
2012-03-19,76,False
2012-03-20,85,False
2012-03-21,86,False
2012-03-22,81,False
2012-03-23,77,False
2012-03-24,76,False
2012-03-25,74,False
2012-03-26,81,False
2012-03-27,78,False
2012-03-28,78,False
2012-03-29,78,False
2012-03-30,74,False
2012-03-31,72,False
2012-04-01,78,False
2012-04-02,79,False
2012-04-03,73,False
2012-04-04,76,False
2012-04-05,69,False
2012-04-06,84,False
2012-04-07,69,False
2012-04-08,63,False
2012-04-09,67,False
2012-04-10,83,False
2012-04-11,90,False
2012-04-12,84,False
2012-04-13,75,False
2012-04-14,74,False
2012-04-15,68,False
2012-04-16,83,False
2012-04-17,81,False
2012-04-18,75,False
2012-04-19,82,False
2012-04-20,82,False
2012-04-21,71,False
2012-04-22,72,False
2012-04-23,84,False
2012-04-24,79,False
2012-04-25,83,False
2012-04-26,80,False
2012-04-27,86,False
2012-04-28,79,False
2012-04-29,76,False
2012-04-30,71,False
2012-05-01,71,False
2012-05-02,85,False
2012-05-03,78,False
2012-05-04,85,False
2012-05-05,74,False
2012-05-06,65,False
2012-05-07,73,False
2012-05-08,82,False
2012-05-09,78,False
2012-05-10,77,False
2012-05-11,81,False
2012-05-12,73,False
2012-05-13,63,False
2012-05-14,78,False
2012-05-15,79,False
2012-05-16,78,False
2012-05-17,85,False
2012-05-18,77,False
2012-05-19,73,False
2012-05-20,66,False
2012-05-21,72,False
2012-05-22,73,False
2012-05-23,79,False
2012-05-24,74,False
2012-05-25,81,False
2012-05-26,65,False
2012-05-27,66,False
2012-05-28,82,False
2012-05-29,78,False
2012-05-30,75,False
2012-05-31,79,False
2012-06-01,87,False
2012-06-02,89,False
2012-06-03,65,False
2012-06-04,73,False
