date,Seagate,isPartial
2014-03-16,74,False
2014-03-17,76,False
2014-03-18,77,False
2014-03-19,76,False
2014-03-20,75,False
2014-03-21,79,False
2014-03-22,81,False
2014-03-23,72,False
2014-03-24,80,False
2014-03-25,80,False
2014-03-26,80,False
2014-03-27,81,False
2014-03-28,75,False
2014-03-29,74,False
2014-03-30,66,False
2014-03-31,79,False
2014-04-01,79,False
2014-04-02,75,False
2014-04-03,76,False
2014-04-04,76,False
2014-04-05,82,False
2014-04-06,69,False
2014-04-07,80,False
2014-04-08,76,False
2014-04-09,74,False
2014-04-10,77,False
2014-04-11,71,False
2014-04-12,71,False
2014-04-13,75,False
2014-04-14,81,False
2014-04-15,77,False
2014-04-16,69,False
2014-04-17,72,False
2014-04-18,71,False
2014-04-19,66,False
2014-04-20,64,False
2014-04-21,76,False
2014-04-22,78,False
2014-04-23,74,False
2014-04-24,73,False
2014-04-25,71,False
2014-04-26,70,False
2014-04-27,68,False
2014-04-28,71,False
2014-04-29,71,False
2014-04-30,65,False
2014-05-01,72,False
2014-05-02,73,False
2014-05-03,72,False
2014-05-04,70,False
2014-05-05,74,False
2014-05-06,76,False
2014-05-07,78,False
2014-05-08,74,False
2014-05-09,71,False
2014-05-10,72,False
2014-05-11,67,False
2014-05-12,75,False
2014-05-13,73,False
2014-05-14,74,False
2014-05-15,73,False
2014-05-16,65,False
2014-05-17,66,False
2014-05-18,69,False
2014-05-19,73,False
2014-05-20,77,False
2014-05-21,77,False
2014-05-22,72,False
2014-05-23,68,False
2014-05-24,69,False
2014-05-25,60,False
2014-05-26,71,False
2014-05-27,68,False
2014-05-28,74,False
2014-05-29,79,False
2014-05-30,72,False
2014-05-31,70,False
2014-06-01,64,False
2014-06-02,76,False
2014-06-03,70,False
2014-06-04,77,False
2014-06-05,77,False
2014-06-06,73,False
2014-06-07,73,False
2014-06-08,63,False
2014-06-09,70,False
2014-06-10,78,False
2014-06-11,74,False
2014-06-12,71,False
2014-06-13,72,False
2014-06-14,62,False
2014-06-15,64,False
2014-06-16,70,False
2014-06-17,71,False
