date,Seagate,isPartial
2017-05-29,52,False
2017-05-30,52,False
2017-05-31,56,False
2017-06-01,56,False
2017-06-02,43,False
2017-06-03,39,False
2017-06-04,43,False
2017-06-05,49,False
2017-06-06,46,False
2017-06-07,47,False
2017-06-08,46,False
2017-06-09,44,False
2017-06-10,42,False
2017-06-11,41,False
2017-06-12,56,False
2017-06-13,48,False
2017-06-14,51,False
2017-06-15,48,False
2017-06-16,49,False
2017-06-17,44,False
2017-06-18,45,False
2017-06-19,49,False
2017-06-20,50,False
2017-06-21,53,False
2017-06-22,48,False
2017-06-23,48,False
2017-06-24,45,False
2017-06-25,42,False
2017-06-26,54,False
2017-06-27,55,False
2017-06-28,55,False
2017-06-29,50,False
2017-06-30,55,False
2017-07-01,49,False
2017-07-02,34,False
2017-07-03,55,False
2017-07-04,52,False
2017-07-05,53,False
2017-07-06,47,False
2017-07-07,50,False
2017-07-08,49,False
2017-07-09,46,False
2017-07-10,59,False
2017-07-11,70,False
2017-07-12,53,False
2017-07-13,54,False
2017-07-14,53,False
2017-07-15,51,False
2017-07-16,47,False
2017-07-17,53,False
2017-07-18,52,False
2017-07-19,52,False
2017-07-20,49,False
2017-07-21,48,False
2017-07-22,43,False
2017-07-23,45,False
2017-07-24,46,False
2017-07-25,56,False
2017-07-26,55,False
2017-07-27,56,False
2017-07-28,55,False
2017-07-29,49,False
2017-07-30,43,False
2017-07-31,56,False
2017-08-01,58,False
2017-08-02,56,False
2017-08-03,52,False
2017-08-04,47,False
2017-08-05,50,False
2017-08-06,43,False
2017-08-07,48,False
2017-08-08,54,False
2017-08-09,51,False
2017-08-10,56,False
2017-08-11,54,False
2017-08-12,48,False
2017-08-13,50,False
2017-08-14,47,False
2017-08-15,54,False
2017-08-16,52,False
2017-08-17,53,False
2017-08-18,51,False
2017-08-19,46,False
2017-08-20,41,False
2017-08-21,47,False
2017-08-22,49,False
2017-08-23,49,False
2017-08-24,49,False
2017-08-25,48,False
2017-08-26,44,False
2017-08-27,42,False
2017-08-28,50,False
2017-08-29,55,False
2017-08-30,55,False
2017-08-31,54,False
2017-09-01,46,False
2017-09-02,51,False
2017-09-03,47,False
2017-09-04,46,False
2017-09-05,48,False
2017-09-06,49,False
2017-09-07,51,False
2017-09-08,44,False
2017-09-09,42,False
2017-09-10,42,False
2017-09-11,55,False
2017-09-12,51,False
2017-09-13,50,False
2017-09-14,48,False
2017-09-15,56,False
2017-09-16,41,False
2017-09-17,46,False
2017-09-18,49,False
2017-09-19,48,False
2017-09-20,48,False
2017-09-21,56,False
2017-09-22,50,False
2017-09-23,45,False
2017-09-24,39,False
2017-09-25,45,False
2017-09-26,46,False
2017-09-27,45,False
2017-09-28,50,False
2017-09-29,47,False
2017-09-30,41,False
2017-10-01,40,False
2017-10-02,50,False
2017-10-03,47,False
2017-10-04,57,False
2017-10-05,48,False
2017-10-06,50,False
2017-10-07,42,False
2017-10-08,49,False
2017-10-09,50,False
2017-10-10,53,False
2017-10-11,50,False
2017-10-12,47,False
2017-10-13,49,False
2017-10-14,44,False
2017-10-15,43,False
2017-10-16,53,False
2017-10-17,48,False
2017-10-18,49,False
2017-10-19,48,False
2017-10-20,45,False
2017-10-21,44,False
2017-10-22,42,False
2017-10-23,56,False
2017-10-24,54,False
2017-10-25,55,False
2017-10-26,44,False
2017-10-27,56,False
2017-10-28,42,False
2017-10-29,40,False
2017-10-30,50,False
2017-10-31,49,False
2017-11-01,50,False
2017-11-02,46,False
2017-11-03,54,False
2017-11-04,48,False
2017-11-05,42,False
2017-11-06,53,False
2017-11-07,51,False
2017-11-08,53,False
2017-11-09,57,False
2017-11-10,52,False
2017-11-11,53,False
2017-11-12,46,False
2017-11-13,52,False
2017-11-14,50,False
2017-11-15,52,False
2017-11-16,52,False
2017-11-17,52,False
2017-11-18,48,False
2017-11-19,39,False
2017-11-20,56,False
2017-11-21,61,False
2017-11-22,57,False
2017-11-23,68,False
2017-11-24,100,False
2017-11-25,67,False
2017-11-26,61,False
2017-11-27,72,False
2017-11-28,59,False
2017-11-29,57,False
2017-11-30,51,False
2017-12-01,52,False
2017-12-02,47,False
2017-12-03,56,False
2017-12-04,56,False
2017-12-05,56,False
2017-12-06,51,False
2017-12-07,46,False
2017-12-08,52,False
2017-12-09,51,False
2017-12-10,48,False
2017-12-11,52,False
2017-12-12,54,False
2017-12-13,55,False
2017-12-14,58,False
2017-12-15,55,False
2017-12-16,51,False
2017-12-17,53,False
2017-12-18,57,False
2017-12-19,64,False
2017-12-20,56,False
2017-12-21,52,False
2017-12-22,54,False
2017-12-23,52,False
2017-12-24,51,False
2017-12-25,56,False
2017-12-26,67,False
2017-12-27,66,False
2017-12-28,62,False
2017-12-29,64,False
2017-12-30,60,False
2017-12-31,46,False
2018-01-01,49,False
2018-01-02,65,False
2018-01-03,58,False
2018-01-04,58,False
2018-01-05,62,False
2018-01-06,52,False
2018-01-07,52,False
2018-01-08,65,False
2018-01-09,61,False
2018-01-10,68,False
2018-01-11,52,False
2018-01-12,54,False
2018-01-13,52,False
2018-01-14,45,False
2018-01-15,55,False
2018-01-16,53,False
2018-01-17,54,False
2018-01-18,53,False
2018-01-19,56,False
2018-01-20,49,False
2018-01-21,49,False
2018-01-22,54,False
2018-01-23,57,False
2018-01-24,52,False
2018-01-25,53,False
2018-01-26,51,False
2018-01-27,46,False
2018-01-28,38,False
2018-01-29,59,False
2018-01-30,52,False
2018-01-31,50,False
2018-02-01,52,False
2018-02-02,51,False
2018-02-03,49,False
2018-02-04,43,False
2018-02-05,56,False
2018-02-06,56,False
2018-02-07,52,False
2018-02-08,52,False
2018-02-09,48,False
2018-02-10,52,False
2018-02-11,45,False
2018-02-12,48,False
2018-02-13,45,False
