date,new regulations,isPartial
2012-06-04,64,False
2012-06-05,49,False
2012-06-06,61,False
2012-06-07,45,False
2012-06-08,43,False
2012-06-09,36,False
2012-06-10,39,False
2012-06-11,38,False
2012-06-12,49,False
2012-06-13,76,False
2012-06-14,48,False
2012-06-15,52,False
2012-06-16,33,False
2012-06-17,33,False
2012-06-18,61,False
2012-06-19,58,False
2012-06-20,74,False
2012-06-21,74,False
2012-06-22,50,False
2012-06-23,30,False
2012-06-24,47,False
2012-06-25,61,False
2012-06-26,44,False
2012-06-27,59,False
2012-06-28,63,False
2012-06-29,47,False
2012-06-30,26,False
2012-07-01,41,False
2012-07-02,66,False
2012-07-03,59,False
2012-07-04,41,False
2012-07-05,56,False
2012-07-06,60,False
2012-07-07,64,False
2012-07-08,37,False
2012-07-09,63,False
2012-07-10,68,False
2012-07-11,74,False
2012-07-12,66,False
2012-07-13,41,False
2012-07-14,15,False
2012-07-15,37,False
2012-07-16,47,False
2012-07-17,68,False
2012-07-18,69,False
2012-07-19,33,False
2012-07-20,38,False
2012-07-21,45,False
2012-07-22,11,False
2012-07-23,54,False
2012-07-24,57,False
2012-07-25,63,False
2012-07-26,49,False
2012-07-27,35,False
2012-07-28,41,False
2012-07-29,26,False
2012-07-30,70,False
2012-07-31,71,False
2012-08-01,72,False
2012-08-02,61,False
2012-08-03,38,False
2012-08-04,37,False
2012-08-05,26,False
2012-08-06,57,False
2012-08-07,53,False
2012-08-08,51,False
2012-08-09,64,False
2012-08-10,47,False
2012-08-11,37,False
2012-08-12,33,False
2012-08-13,45,False
2012-08-14,33,False
2012-08-15,50,False
2012-08-16,64,False
2012-08-17,51,False
2012-08-18,38,False
2012-08-19,19,False
2012-08-20,64,False
2012-08-21,42,False
2012-08-22,45,False
2012-08-23,42,False
2012-08-24,50,False
2012-08-25,36,False
2012-08-26,32,False
2012-08-27,67,False
2012-08-28,46,False
2012-08-29,61,False
2012-08-30,56,False
2012-08-31,46,False
2012-09-01,40,False
2012-09-02,46,False
2012-09-03,54,False
2012-09-04,43,False
2012-09-05,46,False
2012-09-06,82,False
2012-09-07,93,False
2012-09-08,39,False
2012-09-09,49,False
2012-09-10,65,False
2012-09-11,48,False
2012-09-12,56,False
2012-09-13,63,False
2012-09-14,69,False
2012-09-15,45,False
2012-09-16,58,False
2012-09-17,59,False
2012-09-18,84,False
2012-09-19,57,False
2012-09-20,80,False
2012-09-21,54,False
2012-09-22,34,False
2012-09-23,34,False
2012-09-24,61,False
2012-09-25,82,False
2012-09-26,71,False
2012-09-27,57,False
2012-09-28,69,False
2012-09-29,24,False
2012-09-30,55,False
2012-10-01,70,False
2012-10-02,61,False
2012-10-03,54,False
2012-10-04,42,False
2012-10-05,41,False
2012-10-06,34,False
2012-10-07,29,False
2012-10-08,38,False
2012-10-09,54,False
2012-10-10,59,False
2012-10-11,55,False
2012-10-12,49,False
2012-10-13,34,False
2012-10-14,42,False
2012-10-15,84,False
2012-10-16,65,False
2012-10-17,73,False
2012-10-18,61,False
2012-10-19,60,False
2012-10-20,30,False
2012-10-21,16,False
2012-10-22,56,False
2012-10-23,54,False
2012-10-24,68,False
2012-10-25,69,False
2012-10-26,43,False
2012-10-27,26,False
2012-10-28,25,False
2012-10-29,50,False
2012-10-30,45,False
2012-10-31,63,False
2012-11-01,78,False
2012-11-02,82,False
2012-11-03,65,False
2012-11-04,32,False
2012-11-05,53,False
2012-11-06,55,False
2012-11-07,69,False
2012-11-08,62,False
2012-11-09,57,False
2012-11-10,23,False
2012-11-11,44,False
2012-11-12,62,False
2012-11-13,85,False
2012-11-14,61,False
2012-11-15,75,False
2012-11-16,48,False
2012-11-17,41,False
2012-11-18,38,False
2012-11-19,69,False
2012-11-20,61,False
2012-11-21,70,False
2012-11-22,20,False
2012-11-23,45,False
2012-11-24,25,False
2012-11-25,38,False
2012-11-26,54,False
2012-11-27,47,False
2012-11-28,57,False
2012-11-29,66,False
2012-11-30,69,False
2012-12-01,34,False
2012-12-02,22,False
2012-12-03,93,False
2012-12-04,28,False
2012-12-05,34,False
2012-12-06,38,False
2012-12-07,55,False
2012-12-08,29,False
2012-12-09,27,False
2012-12-10,57,False
2012-12-11,58,False
2012-12-12,61,False
2012-12-13,35,False
2012-12-14,33,False
2012-12-15,31,False
2012-12-16,43,False
2012-12-17,47,False
2012-12-18,37,False
2012-12-19,48,False
2012-12-20,38,False
2012-12-21,52,False
2012-12-22,29,False
2012-12-23,30,False
2012-12-24,13,False
2012-12-25,21,False
2012-12-26,24,False
2012-12-27,54,False
2012-12-28,43,False
2012-12-29,35,False
2012-12-30,49,False
2012-12-31,23,False
2013-01-01,54,False
2013-01-02,51,False
2013-01-03,89,False
2013-01-04,49,False
2013-01-05,54,False
2013-01-06,33,False
2013-01-07,35,False
2013-01-08,81,False
2013-01-09,92,False
2013-01-10,71,False
2013-01-11,57,False
2013-01-12,24,False
2013-01-13,26,False
2013-01-14,60,False
2013-01-15,77,False
2013-01-16,100,False
2013-01-17,89,False
2013-01-18,65,False
2013-01-19,44,False
2013-01-20,38,False
