date,new regulations,isPartial
2017-05-29,47,False
2017-05-30,87,False
2017-05-31,66,False
2017-06-01,56,False
2017-06-02,49,False
2017-06-03,37,False
2017-06-04,38,False
2017-06-05,86,False
2017-06-06,61,False
2017-06-07,79,False
2017-06-08,47,False
2017-06-09,58,False
2017-06-10,37,False
2017-06-11,50,False
2017-06-12,65,False
2017-06-13,66,False
2017-06-14,66,False
2017-06-15,85,False
2017-06-16,53,False
2017-06-17,46,False
2017-06-18,58,False
2017-06-19,80,False
2017-06-20,68,False
2017-06-21,75,False
2017-06-22,73,False
2017-06-23,61,False
2017-06-24,43,False
2017-06-25,44,False
2017-06-26,60,False
2017-06-27,76,False
2017-06-28,82,False
2017-06-29,64,False
2017-06-30,73,False
2017-07-01,41,False
2017-07-02,58,False
2017-07-03,62,False
2017-07-04,52,False
2017-07-05,61,False
2017-07-06,70,False
2017-07-07,73,False
2017-07-08,39,False
2017-07-09,39,False
2017-07-10,78,False
2017-07-11,76,False
2017-07-12,47,False
2017-07-13,68,False
2017-07-14,52,False
2017-07-15,42,False
2017-07-16,62,False
2017-07-17,66,False
2017-07-18,83,False
2017-07-19,83,False
2017-07-20,99,False
2017-07-21,75,False
2017-07-22,53,False
2017-07-23,53,False
2017-07-24,87,False
2017-07-25,53,False
2017-07-26,84,False
2017-07-27,71,False
2017-07-28,67,False
2017-07-29,43,False
2017-07-30,45,False
2017-07-31,71,False
2017-08-01,96,False
2017-08-02,81,False
2017-08-03,84,False
2017-08-04,77,False
2017-08-05,37,False
2017-08-06,40,False
2017-08-07,79,False
2017-08-08,65,False
2017-08-09,65,False
2017-08-10,63,False
2017-08-11,67,False
2017-08-12,40,False
2017-08-13,34,False
2017-08-14,60,False
2017-08-15,69,False
2017-08-16,69,False
2017-08-17,65,False
2017-08-18,47,False
2017-08-19,29,False
2017-08-20,41,False
2017-08-21,72,False
2017-08-22,58,False
2017-08-23,60,False
2017-08-24,69,False
2017-08-25,59,False
2017-08-26,39,False
2017-08-27,36,False
2017-08-28,48,False
2017-08-29,63,False
2017-08-30,87,False
2017-08-31,50,False
