date,new regulations,isPartial
2015-12-26,27,False
2015-12-27,42,False
2015-12-28,58,False
2015-12-29,55,False
2015-12-30,58,False
2015-12-31,51,False
2016-01-01,62,False
2016-01-02,28,False
2016-01-03,42,False
2016-01-04,64,False
2016-01-05,67,False
2016-01-06,71,False
2016-01-07,63,False
2016-01-08,62,False
2016-01-09,41,False
2016-01-10,40,False
2016-01-11,67,False
2016-01-12,51,False
2016-01-13,79,False
2016-01-14,51,False
2016-01-15,50,False
2016-01-16,36,False
2016-01-17,36,False
2016-01-18,54,False
2016-01-19,62,False
2016-01-20,71,False
2016-01-21,78,False
2016-01-22,47,False
2016-01-23,37,False
2016-01-24,46,False
2016-01-25,65,False
2016-01-26,81,False
2016-01-27,69,False
2016-01-28,56,False
2016-01-29,52,False
2016-01-30,36,False
2016-01-31,40,False
2016-02-01,68,False
2016-02-02,66,False
2016-02-03,73,False
2016-02-04,67,False
2016-02-05,71,False
2016-02-06,40,False
2016-02-07,35,False
2016-02-08,60,False
2016-02-09,52,False
2016-02-10,63,False
2016-02-11,70,False
2016-02-12,71,False
2016-02-13,38,False
2016-02-14,40,False
2016-02-15,47,False
2016-02-16,52,False
2016-02-17,81,False
2016-02-18,55,False
2016-02-19,53,False
2016-02-20,35,False
2016-02-21,24,False
2016-02-22,55,False
2016-02-23,72,False
2016-02-24,76,False
2016-02-25,52,False
2016-02-26,66,False
2016-02-27,28,False
2016-02-28,36,False
2016-02-29,71,False
2016-03-01,77,False
2016-03-02,77,False
2016-03-03,53,False
2016-03-04,51,False
2016-03-05,43,False
2016-03-06,39,False
2016-03-07,59,False
2016-03-08,83,False
2016-03-09,68,False
2016-03-10,78,False
2016-03-11,65,False
2016-03-12,38,False
2016-03-13,40,False
2016-03-14,67,False
2016-03-15,69,False
2016-03-16,56,False
2016-03-17,67,False
2016-03-18,55,False
2016-03-19,31,False
2016-03-20,45,False
2016-03-21,66,False
2016-03-22,76,False
2016-03-23,63,False
2016-03-24,68,False
2016-03-25,52,False
2016-03-26,34,False
2016-03-27,36,False
2016-03-28,67,False
2016-03-29,67,False
2016-03-30,57,False
2016-03-31,63,False
2016-04-01,66,False
2016-04-02,50,False
2016-04-03,54,False
2016-04-04,75,False
2016-04-05,71,False
2016-04-06,87,False
2016-04-07,85,False
2016-04-08,67,False
2016-04-09,55,False
2016-04-10,42,False
2016-04-11,74,False
2016-04-12,72,False
2016-04-13,86,False
2016-04-14,80,False
2016-04-15,66,False
2016-04-16,36,False
2016-04-17,42,False
2016-04-18,75,False
2016-04-19,76,False
2016-04-20,72,False
2016-04-21,78,False
2016-04-22,58,False
2016-04-23,40,False
2016-04-24,46,False
2016-04-25,77,False
2016-04-26,67,False
2016-04-27,68,False
2016-04-28,61,False
2016-04-29,64,False
2016-04-30,36,False
2016-05-01,40,False
2016-05-02,76,False
2016-05-03,56,False
2016-05-04,100,False
2016-05-05,97,False
2016-05-06,90,False
2016-05-07,42,False
2016-05-08,38,False
2016-05-09,84,False
2016-05-10,71,False
2016-05-11,80,False
2016-05-12,67,False
2016-05-13,54,False
2016-05-14,33,False
2016-05-15,41,False
2016-05-16,81,False
2016-05-17,75,False
2016-05-18,72,False
2016-05-19,64,False
2016-05-20,70,False
2016-05-21,41,False
2016-05-22,43,False
2016-05-23,77,False
2016-05-24,69,False
2016-05-25,70,False
2016-05-26,73,False
2016-05-27,61,False
2016-05-28,42,False
2016-05-29,42,False
2016-05-30,39,False
2016-05-31,71,False
2016-06-01,63,False
2016-06-02,68,False
2016-06-03,62,False
2016-06-04,30,False
2016-06-05,53,False
2016-06-06,55,False
2016-06-07,67,False
2016-06-08,90,False
2016-06-09,66,False
2016-06-10,60,False
2016-06-11,46,False
2016-06-12,36,False
2016-06-13,67,False
2016-06-14,70,False
2016-06-15,72,False
2016-06-16,67,False
2016-06-17,59,False
2016-06-18,37,False
2016-06-19,42,False
2016-06-20,67,False
2016-06-21,73,False
2016-06-22,73,False
2016-06-23,51,False
2016-06-24,52,False
2016-06-25,34,False
2016-06-26,35,False
2016-06-27,60,False
2016-06-28,61,False
2016-06-29,75,False
2016-06-30,57,False
2016-07-01,52,False
2016-07-02,39,False
2016-07-03,36,False
2016-07-04,55,False
2016-07-05,77,False
2016-07-06,48,False
2016-07-07,77,False
2016-07-08,52,False
2016-07-09,27,False
2016-07-10,31,False
2016-07-11,56,False
2016-07-12,61,False
2016-07-13,66,False
2016-07-14,58,False
