date,new regulations
2015-04-10,39
2015-04-11,61
2015-04-12,38
2015-04-13,80
2015-04-14,82
2015-04-15,72
2015-04-16,68
2015-04-17,69
2015-04-18,47
2015-04-19,40
2015-04-20,94
2015-04-21,74
2015-04-22,73
2015-04-23,68
2015-04-24,62
2015-04-25,35
2015-04-26,41
2015-04-27,59
2015-04-28,59
2015-04-29,82
2015-04-30,57
2015-05-01,85
2015-05-02,38
2015-05-03,48
2015-05-04,52
2015-05-05,59
2015-05-06,86
2015-05-07,70
2015-05-08,49
2015-05-09,50
2015-05-10,44
2015-05-11,59
2015-05-12,57
2015-05-13,71
2015-05-14,63
2015-05-15,45
2015-05-16,48
2015-05-17,54
2015-05-18,65
2015-05-19,71
2015-05-20,85
2015-05-21,75
2015-05-22,53
2015-05-23,36
2015-05-24,38
2015-05-25,40
2015-05-26,71
2015-05-27,56
2015-05-28,68
2015-05-29,83
2015-05-30,19
2015-05-31,46
2015-06-01,73
2015-06-02,95
2015-06-03,78
2015-06-04,66
2015-06-05,51
2015-06-06,30
2015-06-07,41
2015-06-08,67
2015-06-09,56
2015-06-10,75
2015-06-11,93
2015-06-12,70
2015-06-13,30
2015-06-14,43
2015-06-15,63
2015-06-16,74
2015-06-17,77
2015-06-18,45
2015-06-19,65
2015-06-20,30
2015-06-21,39
2015-06-22,64
2015-06-23,84
2015-06-24,48
2015-06-25,67
2015-06-26,78
2015-06-27,19
2015-06-28,17
2015-06-29,95
2015-06-30,60
2015-07-01,79
2015-07-02,65
2015-07-03,64
2015-07-04,42
2015-07-05,36
2015-07-06,57
2015-07-07,74
2015-07-08,83
2015-07-09,56
2015-07-10,57
2015-07-11,36
2015-07-12,58
2015-07-13,61
2015-07-14,59
2015-07-15,63
2015-07-16,69
2015-07-17,72
2015-07-18,29
2015-07-19,38
2015-07-20,60
2015-07-21,65
2015-07-22,67
2015-07-23,53
2015-07-24,75
2015-07-25,30
2015-07-26,33
2015-07-27,59
2015-07-28,75
2015-07-29,64
2015-07-30,58
2015-07-31,43
2015-08-01,33
2015-08-02,50
2015-08-03,88
2015-08-04,74
2015-08-05,70
2015-08-06,49
2015-08-07,38
2015-08-08,38
2015-08-09,41
2015-08-10,50
2015-08-11,77
2015-08-12,79
2015-08-13,77
2015-08-14,72
2015-08-15,25
2015-08-16,19
2015-08-17,39
2015-08-18,59
2015-08-19,76
2015-08-20,64
2015-08-21,64
2015-08-22,41
2015-08-23,29
2015-08-24,79
2015-08-25,57
2015-08-26,78
2015-08-27,52
2015-08-28,42
2015-08-29,37
2015-08-30,21
2015-08-31,53
2015-09-01,66
2015-09-02,53
2015-09-03,67
2015-09-04,46
2015-09-05,34
2015-09-06,45
2015-09-07,58
2015-09-08,66
2015-09-09,65
2015-09-10,80
2015-09-11,59
2015-09-12,20
2015-09-13,35
2015-09-14,58
2015-09-15,72
2015-09-16,57
2015-09-17,65
2015-09-18,50
2015-09-19,28
2015-09-20,35
2015-09-21,78
2015-09-22,60
2015-09-23,54
2015-09-24,65
2015-09-25,39
2015-09-26,34
2015-09-27,41
2015-09-28,67
2015-09-29,79
2015-09-30,95
2015-10-01,48
2015-10-02,68
2015-10-03,31
2015-10-04,49
2015-10-05,58
2015-10-06,62
2015-10-07,66
2015-10-08,73
2015-10-09,58
2015-10-10,48
2015-10-11,43
2015-10-12,57
2015-10-13,72
2015-10-14,70
2015-10-15,59
2015-10-16,36
2015-10-17,30
2015-10-18,62
2015-10-19,100
2015-10-20,57
2015-10-21,62
2015-10-22,69
2015-10-23,74
2015-10-24,40
2015-10-25,41
2015-10-26,76
2015-10-27,75
2015-10-28,42
2015-10-29,56
2015-10-30,56
2015-10-31,28
2015-11-01,41
2015-11-02,53
2015-11-03,78
2015-11-04,68
2015-11-05,70
2015-11-06,47
2015-11-07,59
2015-11-08,45
2015-11-09,63
2015-11-10,63
2015-11-11,52
2015-11-12,52
2015-11-13,69
2015-11-14,32
2015-11-15,15
2015-11-16,76
2015-11-17,54
2015-11-18,46
2015-11-19,73
2015-11-20,51
2015-11-21,44
2015-11-22,29
2015-11-23,74
2015-11-24,50
2015-11-25,51
2015-11-26,53
2015-11-27,34
2015-11-28,25
2015-11-29,41
2015-11-30,79
2015-12-01,60
2015-12-02,44
2015-12-03,51
2015-12-04,61
2015-12-05,18
2015-12-06,34
2015-12-07,57
2015-12-08,69
2015-12-09,51
2015-12-10,65
2015-12-11,33
2015-12-12,28
2015-12-13,24
2015-12-14,40
2015-12-15,74
2015-12-16,66
2015-12-17,83
2015-12-18,68
2015-12-19,24
2015-12-20,23
2015-12-21,50
2015-12-22,32
2015-12-23,55
2015-12-24,35
2015-12-25,37
2015-12-26,24
