date,new regulations,isPartial
2018-02-13,46,False
2018-02-14,49,False
2018-02-15,54,False
2018-02-16,45,False
2018-02-17,35,False
2018-02-18,24,False
2018-02-19,44,False
2018-02-20,46,False
2018-02-21,43,False
2018-02-22,36,False
2018-02-23,36,False
2018-02-24,27,False
2018-02-25,25,False
2018-02-26,37,False
2018-02-27,58,False
2018-02-28,58,False
2018-03-01,56,False
2018-03-02,44,False
2018-03-03,28,False
2018-03-04,23,False
2018-03-05,47,False
2018-03-06,47,False
2018-03-07,47,False
2018-03-08,45,False
2018-03-09,46,False
2018-03-10,23,False
2018-03-11,43,False
2018-03-12,48,False
2018-03-13,45,False
2018-03-14,49,False
2018-03-15,42,False
2018-03-16,37,False
2018-03-17,27,False
2018-03-18,26,False
2018-03-19,40,False
2018-03-20,48,False
2018-03-21,41,False
2018-03-22,40,False
2018-03-23,43,False
2018-03-24,25,False
2018-03-25,26,False
2018-03-26,35,False
2018-03-27,53,False
2018-03-28,39,False
2018-03-29,44,False
2018-03-30,34,False
2018-03-31,36,False
2018-04-01,36,False
2018-04-02,54,False
2018-04-03,52,False
2018-04-04,51,False
2018-04-05,40,False
2018-04-06,38,False
2018-04-07,30,False
2018-04-08,42,False
2018-04-09,37,False
2018-04-10,51,False
2018-04-11,52,False
2018-04-12,51,False
2018-04-13,38,False
2018-04-14,26,False
2018-04-15,27,False
2018-04-16,48,False
2018-04-17,58,False
2018-04-18,53,False
2018-04-19,46,False
2018-04-20,37,False
2018-04-21,26,False
2018-04-22,40,False
2018-04-23,50,False
2018-04-24,51,False
2018-04-25,56,False
2018-04-26,44,False
2018-04-27,33,False
2018-04-28,22,False
2018-04-29,41,False
2018-04-30,39,False
2018-05-01,59,False
2018-05-02,48,False
2018-05-03,41,False
2018-05-04,42,False
2018-05-05,31,False
2018-05-06,25,False
2018-05-07,35,False
2018-05-08,50,False
2018-05-09,53,False
2018-05-10,49,False
2018-05-11,35,False
2018-05-12,35,False
2018-05-13,35,False
2018-05-14,53,False
2018-05-15,64,False
2018-05-16,100,False
2018-05-17,64,False
2018-05-18,56,False
2018-05-19,32,False
2018-05-20,72,False
2018-05-21,99,False
2018-05-22,91,False
2018-05-23,81,False
2018-05-24,73,False
2018-05-25,63,False
2018-05-26,39,False
2018-05-27,30,False
2018-05-28,34,False
2018-05-29,58,False
2018-05-30,49,False
2018-05-31,52,False
2018-06-01,59,False
2018-06-02,34,False
2018-06-03,35,False
2018-06-04,39,False
2018-06-05,54,False
2018-06-06,62,False
2018-06-07,48,False
2018-06-08,45,False
2018-06-09,32,False
2018-06-10,36,False
2018-06-11,46,False
2018-06-12,36,False
2018-06-13,37,False
2018-06-14,43,False
2018-06-15,37,False
2018-06-16,30,False
2018-06-17,33,False
2018-06-18,40,False
2018-06-19,34,False
2018-06-20,40,False
2018-06-21,42,False
2018-06-22,42,False
2018-06-23,27,False
2018-06-24,28,False
2018-06-25,53,False
2018-06-26,43,False
2018-06-27,43,False
2018-06-28,41,False
2018-06-29,35,False
