date,dow,isPartial
2015-08-18,17,False
2015-08-19,16,False
2015-08-20,21,False
2015-08-21,40,False
2015-08-22,19,False
2015-08-23,12,False
2015-08-24,100,False
2015-08-25,81,False
2015-08-26,66,False
2015-08-27,50,False
2015-08-28,41,False
2015-08-29,15,False
2015-08-30,10,False
2015-08-31,30,False
2015-09-01,41,False
2015-09-02,39,False
2015-09-03,33,False
2015-09-04,33,False
2015-09-05,13,False
2015-09-06,8,False
2015-09-07,13,False
2015-09-08,28,False
2015-09-09,31,False
2015-09-10,30,False
2015-09-11,27,False
2015-09-12,11,False
2015-09-13,9,False
2015-09-14,26,False
2015-09-15,26,False
2015-09-16,24,False
2015-09-17,27,False
2015-09-18,27,False
2015-09-19,10,False
2015-09-20,8,False
2015-09-21,23,False
2015-09-22,26,False
2015-09-23,26,False
2015-09-24,27,False
2015-09-25,24,False
2015-09-26,10,False
2015-09-27,8,False
2015-09-28,23,False
2015-09-29,28,False
2015-09-30,24,False
2015-10-01,23,False
2015-10-02,23,False
2015-10-03,10,False
2015-10-04,8,False
2015-10-05,20,False
2015-10-06,21,False
2015-10-07,21,False
2015-10-08,21,False
2015-10-09,20,False
2015-10-10,9,False
2015-10-11,8,False
2015-10-12,18,False
2015-10-13,19,False
2015-10-14,20,False
2015-10-15,19,False
2015-10-16,19,False
2015-10-17,9,False
2015-10-18,7,False
2015-10-19,17,False
2015-10-20,18,False
2015-10-21,18,False
2015-10-22,19,False
2015-10-23,21,False
2015-10-24,9,False
2015-10-25,7,False
2015-10-26,17,False
2015-10-27,17,False
2015-10-28,18,False
2015-10-29,18,False
2015-10-30,18,False
2015-10-31,8,False
2015-11-01,6,False
2015-11-02,17,False
2015-11-03,18,False
2015-11-04,18,False
2015-11-05,16,False
2015-11-06,17,False
2015-11-07,9,False
2015-11-08,7,False
2015-11-09,16,False
2015-11-10,16,False
2015-11-11,15,False
2015-11-12,17,False
2015-11-13,16,False
2015-11-14,9,False
2015-11-15,7,False
2015-11-16,17,False
2015-11-17,17,False
2015-11-18,17,False
2015-11-19,18,False
2015-11-20,16,False
2015-11-21,9,False
2015-11-22,6,False
2015-11-23,14,False
2015-11-24,15,False
2015-11-25,14,False
2015-11-26,9,False
2015-11-27,11,False
2015-11-28,8,False
2015-11-29,7,False
2015-11-30,14,False
2015-12-01,15,False
2015-12-02,15,False
2015-12-03,15,False
2015-12-04,17,False
2015-12-05,9,False
2015-12-06,7,False
2015-12-07,15,False
2015-12-08,16,False
2015-12-09,24,False
2015-12-10,20,False
2015-12-11,26,False
2015-12-12,12,False
2015-12-13,8,False
2015-12-14,19,False
2015-12-15,19,False
2015-12-16,22,False
2015-12-17,20,False
2015-12-18,20,False
2015-12-19,10,False
2015-12-20,8,False
2015-12-21,17,False
2015-12-22,18,False
2015-12-23,16,False
2015-12-24,15,False
2015-12-25,8,False
2015-12-26,7,False
2015-12-27,7,False
2015-12-28,15,False
2015-12-29,16,False
2015-12-30,17,False
2015-12-31,17,False
2016-01-01,10,False
2016-01-02,7,False
2016-01-03,7,False
2016-01-04,29,False
2016-01-05,26,False
2016-01-06,25,False
2016-01-07,39,False
2016-01-08,36,False
2016-01-09,13,False
2016-01-10,8,False
2016-01-11,27,False
2016-01-12,27,False
2016-01-13,29,False
2016-01-14,31,False
2016-01-15,45,False
2016-01-16,15,False
2016-01-17,9,False
2016-01-18,22,False
2016-01-19,33,False
2016-01-20,50,False
2016-01-21,41,False
2016-01-22,33,False
2016-01-23,12,False
2016-01-24,8,False
2016-01-25,27,False
2016-01-26,31,False
2016-01-27,29,False
2016-01-28,29,False
2016-01-29,26,False
2016-01-30,11,False
2016-01-31,8,False
2016-02-01,24,False
2016-02-02,26,False
2016-02-03,29,False
2016-02-04,27,False
2016-02-05,26,False
2016-02-06,11,False
2016-02-07,8,False
2016-02-08,29,False
2016-02-09,31,False
2016-02-10,28,False
2016-02-11,36,False
2016-02-12,32,False
2016-02-13,12,False
2016-02-14,8,False
2016-02-15,18,False
2016-02-16,28,False
2016-02-17,27,False
2016-02-18,27,False
2016-02-19,25,False
2016-02-20,10,False
2016-02-21,7,False
2016-02-22,23,False
2016-02-23,24,False
2016-02-24,25,False
2016-02-25,25,False
2016-02-26,23,False
2016-02-27,9,False
2016-02-28,7,False
2016-02-29,20,False
2016-03-01,23,False
2016-03-02,23,False
2016-03-03,23,False
2016-03-04,22,False
2016-03-05,10,False
2016-03-06,7,False
2016-03-07,21,False
2016-03-08,22,False
2016-03-09,22,False
2016-03-10,22,False
2016-03-11,22,False
2016-03-12,9,False
2016-03-13,7,False
2016-03-14,20,False
2016-03-15,20,False
2016-03-16,21,False
2016-03-17,21,False
2016-03-18,21,False
2016-03-19,8,False
2016-03-20,8,False
2016-03-21,20,False
2016-03-22,21,False
2016-03-23,20,False
2016-03-24,20,False
2016-03-25,14,False
2016-03-26,7,False
2016-03-27,7,False
2016-03-28,18,False
2016-03-29,19,False
2016-03-30,20,False
2016-03-31,20,False
2016-04-01,20,False
2016-04-02,8,False
2016-04-03,7,False
2016-04-04,18,False
2016-04-05,19,False
2016-04-06,18,False
2016-04-07,19,False
2016-04-08,19,False
2016-04-09,9,False
2016-04-10,7,False
