date,dow
2011-09-18,31
2011-09-19,54
2011-09-20,57
2011-09-21,60
2011-09-22,100
2011-09-23,100
2011-09-24,44
2011-09-25,35
2011-09-26,72
2011-09-27,71
2011-09-28,66
2011-09-29,67
2011-09-30,59
2011-10-01,42
2011-10-02,36
2011-10-03,67
2011-10-04,77
2011-10-05,67
2011-10-06,68
2011-10-07,63
2011-10-08,36
2011-10-09,29
2011-10-10,58
2011-10-11,66
2011-10-12,59
2011-10-13,60
2011-10-14,56
2011-10-15,34
2011-10-16,28
2011-10-17,55
2011-10-18,60
2011-10-19,59
2011-10-20,56
2011-10-21,57
2011-10-22,36
2011-10-23,32
2011-10-24,54
2011-10-25,62
2011-10-26,56
2011-10-27,71
2011-10-28,68
2011-10-29,34
2011-10-30,33
2011-10-31,53
2011-11-01,72
2011-11-02,63
2011-11-03,63
2011-11-04,57
2011-11-05,31
2011-11-06,29
2011-11-07,55
2011-11-08,55
2011-11-09,65
2011-11-10,64
2011-11-11,58
2011-11-12,34
2011-11-13,32
2011-11-14,51
2011-11-15,54
2011-11-16,51
2011-11-17,52
2011-11-18,53
2011-11-19,32
2011-11-20,27
2011-11-21,55
2011-11-22,54
2011-11-23,55
2011-11-24,38
2011-11-25,43
2011-11-26,32
2011-11-27,29
2011-11-28,53
2011-11-29,53
2011-11-30,65
2011-12-01,67
2011-12-02,60
2011-12-03,36
2011-12-04,28
2011-12-05,53
2011-12-06,55
2011-12-07,54
2011-12-08,49
2011-12-09,59
2011-12-10,33
2011-12-11,31
2011-12-12,52
2011-12-13,51
2011-12-14,43
2011-12-15,53
2011-12-16,48
2011-12-17,30
2011-12-18,28
2011-12-19,46
2011-12-20,47
2011-12-21,46
2011-12-22,47
2011-12-23,42
2011-12-24,32
2011-12-25,30
2011-12-26,34
2011-12-27,45
2011-12-28,45
2011-12-29,41
2011-12-30,46
2011-12-31,34
2012-01-01,29
2012-01-02,36
2012-01-03,48
2012-01-04,48
2012-01-05,44
2012-01-06,46
2012-01-07,30
2012-01-08,27
2012-01-09,44
2012-01-10,43
2012-01-11,43
2012-01-12,46
2012-01-13,43
2012-01-14,27
2012-01-15,25
2012-01-16,36
2012-01-17,42
2012-01-18,41
2012-01-19,47
2012-01-20,44
2012-01-21,30
2012-01-22,27
2012-01-23,43
2012-01-24,41
2012-01-25,43
2012-01-26,44
2012-01-27,44
2012-01-28,25
2012-01-29,24
2012-01-30,40
2012-01-31,43
2012-02-01,44
2012-02-02,44
2012-02-03,48
2012-02-04,33
2012-02-05,26
2012-02-06,42
2012-02-07,48
2012-02-08,41
2012-02-09,47
2012-02-10,42
2012-02-11,31
2012-02-12,28
2012-02-13,40
2012-02-14,41
2012-02-15,44
2012-02-16,46
2012-02-17,48
2012-02-18,30
2012-02-19,28
2012-02-20,39
2012-02-21,54
2012-02-22,49
2012-02-23,45
2012-02-24,42
2012-02-25,34
2012-02-26,29
2012-02-27,45
2012-02-28,47
2012-02-29,48
2012-03-01,47
2012-03-02,44
2012-03-03,31
2012-03-04,26
2012-03-05,41
2012-03-06,49
2012-03-07,44
2012-03-08,46
2012-03-09,43
2012-03-10,27
2012-03-11,27
2012-03-12,40
2012-03-13,45
2012-03-14,47
2012-03-15,46
2012-03-16,43
2012-03-17,30
2012-03-18,24
2012-03-19,42
2012-03-20,41
2012-03-21,46
2012-03-22,41
2012-03-23,44
2012-03-24,26
2012-03-25,23
2012-03-26,41
2012-03-27,42
2012-03-28,43
2012-03-29,41
2012-03-30,42
2012-03-31,25
2012-04-01,26
2012-04-02,43
2012-04-03,42
2012-04-04,43
2012-04-05,43
2012-04-06,36
2012-04-07,25
2012-04-08,27
2012-04-09,39
2012-04-10,50
2012-04-11,45
2012-04-12,41
2012-04-13,45
2012-04-14,25
2012-04-15,24
2012-04-16,43
2012-04-17,41
2012-04-18,42
2012-04-19,43
2012-04-20,40
2012-04-21,26
2012-04-22,22
2012-04-23,41
2012-04-24,41
2012-04-25,38
2012-04-26,41
2012-04-27,39
2012-04-28,25
2012-04-29,25
2012-04-30,39
2012-05-01,46
2012-05-02,37
2012-05-03,38
2012-05-04,39
2012-05-05,26
2012-05-06,24
2012-05-07,44
2012-05-08,42
2012-05-09,43
2012-05-10,42
2012-05-11,41
2012-05-12,27
2012-05-13,25
2012-05-14,42
2012-05-15,43
2012-05-16,47
2012-05-17,45
2012-05-18,49
2012-05-19,27
2012-05-20,23
2012-05-21,39
2012-05-22,43
2012-05-23,44
2012-05-24,43
2012-05-25,40
2012-05-26,27
2012-05-27,23
2012-05-28,28
2012-05-29,40
2012-05-30,39
2012-05-31,44
2012-06-01,49
2012-06-02,30
2012-06-03,26
2012-06-04,48
