date,dow,isPartial
2012-06-04,48,False
2012-06-05,42,False
2012-06-06,43,False
2012-06-07,46,False
2012-06-08,40,False
2012-06-09,22,False
2012-06-10,25,False
2012-06-11,38,False
2012-06-12,40,False
2012-06-13,41,False
2012-06-14,36,False
2012-06-15,37,False
2012-06-16,23,False
2012-06-17,22,False
2012-06-18,40,False
2012-06-19,37,False
2012-06-20,39,False
2012-06-21,44,False
2012-06-22,44,False
2012-06-23,27,False
2012-06-24,24,False
2012-06-25,40,False
2012-06-26,38,False
2012-06-27,37,False
2012-06-28,45,False
2012-06-29,43,False
2012-06-30,29,False
2012-07-01,27,False
2012-07-02,42,False
2012-07-03,38,False
2012-07-04,28,False
2012-07-05,35,False
2012-07-06,37,False
2012-07-07,25,False
2012-07-08,21,False
2012-07-09,35,False
2012-07-10,36,False
2012-07-11,39,False
2012-07-12,38,False
2012-07-13,39,False
2012-07-14,23,False
2012-07-15,24,False
2012-07-16,40,False
2012-07-17,36,False
2012-07-18,38,False
2012-07-19,41,False
2012-07-20,36,False
2012-07-21,23,False
2012-07-22,26,False
2012-07-23,39,False
2012-07-24,41,False
2012-07-25,40,False
2012-07-26,38,False
2012-07-27,42,False
2012-07-28,25,False
2012-07-29,23,False
2012-07-30,39,False
2012-07-31,39,False
2012-08-01,39,False
2012-08-02,36,False
2012-08-03,38,False
2012-08-04,25,False
2012-08-05,22,False
2012-08-06,42,False
2012-08-07,41,False
2012-08-08,39,False
2012-08-09,37,False
2012-08-10,37,False
2012-08-11,22,False
2012-08-12,22,False
2012-08-13,38,False
2012-08-14,39,False
2012-08-15,38,False
2012-08-16,37,False
2012-08-17,38,False
2012-08-18,25,False
2012-08-19,24,False
2012-08-20,36,False
2012-08-21,41,False
2012-08-22,39,False
2012-08-23,33,False
2012-08-24,36,False
2012-08-25,22,False
2012-08-26,19,False
2012-08-27,34,False
2012-08-28,35,False
2012-08-29,37,False
2012-08-30,33,False
2012-08-31,34,False
2012-09-01,22,False
2012-09-02,20,False
2012-09-03,26,False
2012-09-04,36,False
2012-09-05,35,False
2012-09-06,40,False
2012-09-07,43,False
2012-09-08,25,False
2012-09-09,21,False
2012-09-10,36,False
2012-09-11,37,False
2012-09-12,40,False
2012-09-13,42,False
2012-09-14,49,False
2012-09-15,27,False
2012-09-16,23,False
2012-09-17,37,False
2012-09-18,40,False
2012-09-19,37,False
2012-09-20,38,False
2012-09-21,34,False
2012-09-22,27,False
2012-09-23,28,False
2012-09-24,37,False
2012-09-25,37,False
