date,dow,isPartial
2014-03-16,24,False
2014-03-17,48,False
2014-03-18,44,False
2014-03-19,47,False
2014-03-20,48,False
2014-03-21,47,False
2014-03-22,26,False
2014-03-23,21,False
2014-03-24,45,False
2014-03-25,45,False
2014-03-26,44,False
2014-03-27,45,False
2014-03-28,43,False
2014-03-29,22,False
2014-03-30,19,False
2014-03-31,43,False
2014-04-01,45,False
2014-04-02,49,False
2014-04-03,45,False
2014-04-04,46,False
2014-04-05,24,False
2014-04-06,22,False
2014-04-07,45,False
2014-04-08,45,False
2014-04-09,45,False
2014-04-10,49,False
2014-04-11,54,False
2014-04-12,28,False
2014-04-13,23,False
2014-04-14,50,False
2014-04-15,47,False
2014-04-16,45,False
2014-04-17,46,False
2014-04-18,35,False
2014-04-19,20,False
2014-04-20,20,False
2014-04-21,43,False
2014-04-22,43,False
2014-04-23,44,False
2014-04-24,48,False
2014-04-25,44,False
2014-04-26,25,False
2014-04-27,21,False
2014-04-28,44,False
2014-04-29,44,False
2014-04-30,47,False
2014-05-01,45,False
2014-05-02,44,False
2014-05-03,25,False
2014-05-04,23,False
2014-05-05,39,False
2014-05-06,44,False
2014-05-07,42,False
2014-05-08,42,False
2014-05-09,42,False
2014-05-10,24,False
2014-05-11,19,False
2014-05-12,40,False
2014-05-13,47,False
2014-05-14,41,False
2014-05-15,43,False
2014-05-16,45,False
2014-05-17,24,False
2014-05-18,21,False
2014-05-19,37,False
2014-05-20,40,False
2014-05-21,44,False
2014-05-22,41,False
2014-05-23,39,False
2014-05-24,23,False
2014-05-25,19,False
2014-05-26,24,False
2014-05-27,37,False
2014-05-28,41,False
2014-05-29,41,False
2014-05-30,45,False
2014-05-31,23,False
2014-06-01,22,False
2014-06-02,39,False
2014-06-03,40,False
2014-06-04,41,False
2014-06-05,38,False
2014-06-06,43,False
2014-06-07,25,False
2014-06-08,23,False
2014-06-09,43,False
2014-06-10,45,False
2014-06-11,42,False
2014-06-12,43,False
2014-06-13,46,False
2014-06-14,22,False
2014-06-15,20,False
2014-06-16,39,False
2014-06-17,42,False
2014-06-18,39,False
2014-06-19,45,False
2014-06-20,42,False
2014-06-21,24,False
2014-06-22,21,False
2014-06-23,38,False
2014-06-24,42,False
2014-06-25,44,False
2014-06-26,39,False
2014-06-27,40,False
2014-06-28,26,False
2014-06-29,21,False
2014-06-30,34,False
2014-07-01,42,False
2014-07-02,45,False
2014-07-03,55,False
2014-07-04,30,False
2014-07-05,22,False
